 date ,Condition,region/,season,TEMPERATURE UNIT,forecast_provider,alertLevel/, time_of_day ,Cloud Cover, wind_direction /,uvIndexCategory,precip_type,humidity category, visibility band ,stormName/, day/Night , Temperature °C ?,temperature °f,humidity_%,wind speed kph,rainfallMm, Pressure Hpa ,visibility_km, DEWPOINT °C ,feelslike_°c,snowfall_cm
,SLEET,MIDLANDS,WINTER,Kelvin,bbc,,afternoon, CLEAR , w ,Very High,-999, OPPRESSIVE ,GOOD, CORRIE ,day,"12,838",4565,£114,missing,10334,2240,10706,£12208,452,12461
04/09/2021,sleet, south ,Spring,Kelvin, Noaa ,none,EVENING,partly_cloudy,se, high ,none,OPPRESSIVE,-999,eunice,DAY,£3268,19630,17434,8835,14767,15693,6167,1612,5915,7924
23/12/2024,Foggy,East,winter, CELSIUS , Bbc ,yellow, evening ,partly cloudy,W,extreme,none,Dry,MODERATE,corrie,day,5515,£957,18325,9910,£9192,177,£12004,4112,"19,434",13631
2022-02-23,RAINY, inland ,AUTUMN,fahrenheit,met office,red,night,,Ne,low,none, comfortable ,VERY POOR,eunice,night,£11609,10681,9586,2417,£8072,,16766,16812,NaN,7869
2024-10-24,Foggy,COASTAL,winter,KELVIN,ACCUWEATHER,,afternoon,partly cloudy,,low,HAIL,dry,MODERATE,EUNICE,NIGHT,£13112,8138,£15442,19643,-999,£13206,14798,7826,16804,11129
03/03/2023,sleet,coastal,Summer,Fahrenheit,WEATHER.COM,NA,night,Clear,E, high ,none,humid,very poor,CORRIE,night,5259,£1114,"13,300",9958,6164,12269,14946,£893,1048,£19504
29/10/2023,, NORTH ,summer,fahrenheit,accuweather,amber,NIGHT,missing,NW,,-999,COMFORTABLE,POOR,dudley,NA,7919,£9937,18949,8264,16604,-999,18883,12916,4926,NaN
11/09/2024,WINDY,inland,SPRING,celsius,accuweather,NONE,missing,Clear,Nw,extreme,,humid,MODERATE,BARRA, night ,"11,089",£6037,14063,12728,"18,461",NaN,4289,9853,"16,677",16167
2021-05-29,FOGGY,NORTH,winter,fahrenheit,accuweather,NONE,NIGHT,NA,sw, very_high ,sleet,NaN,moderate,missing,missing,7435,10965," 8,506","12,365",NaN,    62,-999,,NaN,19258
16/03/2021,NaN,north,SUMMER,fahrenheit,ACCUWEATHER,yellow, night ,overcast,w,very high,hail,humid,excellent,ARWEN,night,," 1,509",£1788,1211,£8133,NaN,1625,-999,6505,11834
2023-08-31,snowy,east,autumn,FAHRENHEIT,Weather.com,NaN,morning,partlyCloudy,S,high,SNOW,dry,very poor,dudley,day,454,10667,NA,2704,-999,£10691,£18170,NaN,"10,510",16551
2024-10-23,stormy,EAST,Winter,fahrenheit,weather.com,amber,NIGHT,mostlyCloudy,e,MODERATE, snow ,dry,VERY POOR,corrie,day,9187,NaN,17544,303,£10784,12295," 8,675",16116," 1,368",3999
2024-09-06,windy,coastal,SPRING,kelvin,WEATHER.COM,AMBER, afternoon ,NaN,N, Low ,NA,COMFORTABLE,excellent,EUNICE,night,16095,16967,NA," 9,655",11410,3849,6089,£12252,£4053,£7673
29/06/2023,rainy,Coastal,Spring,kelvin,bbc,Amber,morning,-999,NE,moderate,snow,-999,good,arwen,NIGHT,,14562,9206,18863,15820,NA,5535,11095,9603,7759
"Mar 26, 2022",foggy,Midlands,spring,celsius,Bbc,Yellow,-999,overcast,sw,NaN,rain,Dry,Very Poor,EUNICE,NaN,17552,12789,1689,13613,9286,£16490,19287,6812,16429,£6794
18/12/2023,,-999,-999,kelvin,Met Office,yellow,Evening,overcast,e,low,missing,NaN,good,NA,NIGHT,13099,1303,1443,2994,643,,18036,NaN,£8249,11090
21/06/2022,Sunny,inland,Autumn,celsius,Accuweather,none,night,overcast,SE,extreme,Hail,oppressive,EXCELLENT,Arwen,night,NaN,NaN,14906,£2159,7034,,6,£5677,£5389,4330
NaN,Rainy,NaN,summer,-999,weather.com,Red,afternoon,OVERCAST,Ne,-999,NONE, oppressive ,,barra,DAY,499,5295,10275,12941,NaN,missing,11518,12622,18818,10337
15/08/2023,Foggy,east,NA,celsius,accuweather,amber,Evening,Partly Cloudy,S,moderate, rain ,dry,good,Eunice, NIGHT ,10257,8824,10749," 4,443",6143," 9,286",7746,18145,"15,181",4511
01/02/2021,windy,missing,summer,celsius,NOAA,RED,AFTERNOON, partlyCloudy , se ,moderate, Sleet ,comfortable,VERY POOR,NaN,night,£10925,12980,NA,19010,£10508,14825,£654,10196,£11666,2348
2024-05-30,stormy,,autumn,Fahrenheit,-999,red,-999,mostly_cloudy,-999,high,RAIN,Comfortable,moderate,dudley,NIGHT,4657,£10832,3796,19023,£3823,8435,7741,15377,1577,10789
2022-07-27,windy,Midlands,winter,kelvin,met office,AMBER,MORNING,NA,ne,very high,hail,NA,good,dudley,Day,£8906," 9,152",9810,7657,467,15595,£12293,6436,3151,6008
2021-10-27,Sleet, inland ,-999,kelvin,bbc,missing,Night,OVERCAST,nw,high,NONE,dry,Good,dudley,night,"15,460",17984," 2,997","18,467"," 3,481",17679,missing,17008,10924,8965
,-999,NaN,winter,Fahrenheit,weather.com,red,Evening,Overcast,E,LOW,sleet,dry,poor,eunice,day,-999,   293," 3,068",4511,7132,1433,6617,15775,13928,17102
09/03/2022,cloudy,south,Autumn,kelvin,MET OFFICE,None,AFTERNOON,missing,ne,extreme,SLEET,HUMID,Good,NA,day,NA,16232,3128,-999,12985,£11381,NA,"10,859",13416,"13,077"
2022-03-10,sleet,NORTH,spring,kelvin,bbc,RED,MORNING,overcast,NA,high,HAIL,dry,excellent,,NIGHT,8617,,1586," 5,714",£2327,15276,12639,£12071,19260,2131
"Mar 06, 2022",STORMY,coastal,winter,NA,bbc,red,NA,mostly_cloudy,W,HIGH,none,COMFORTABLE,NaN,NA,day,missing,14103,"18,513",17172,15405,6871,NA,14429,2910,NA
06/01/2021,SNOWY,,SPRING,fahrenheit,NaN,Yellow,,missing,n,moderate,NONE,comfortable,moderate,dudley,DAY,2031,7383,1757,£16615,,1838,3795,3930,-999,"10,160"
26/09/2023,Stormy,north,AUTUMN,Kelvin,accuweather,red,night,partlyCloudy,NW,moderate,hail, humid ,Good,eunice,DAY,"18,420",   325,8893," 5,488",15307,7122,£7818,3485,£7310,676
06/12/2022,Stormy,East,-999,missing,noaa,amber,AFTERNOON,mostly_cloudy,NW,extreme,rain,comfortable,-999,corrie,Night," 1,766",,"13,781",9125,4958,-999,12300,3261,7017,£9153
2022-12-28,foggy,NORTH,Autumn, kelvin ,ACCUWEATHER,yellow,Evening,mostlyCloudy,Se,moderate,none,Humid,Good,barra,night,17464,"11,427",£2513,-999,missing,6398,-999,14750," 1,274",-999
25/07/2024,-999,east,NA,celsius,Weather.com,yellow,evening,clear,w,NaN,Rain,humid,NaN,-999,missing,19105,£5206,£2254,"12,991",£11756," 6,794",£3704,6096,"11,959",19741
"Aug 06, 2021",RAINY,midlands,summer,kelvin,missing,-999,evening,mostly cloudy,NW,high,None,comfortable,good,barra,Day," 3,879"," 9,398"," 7,289",15736,16419,£11416,14986,"10,806",2647,14943
07/02/2024,sleet,west,winter,Kelvin,bbc,Red,afternoon, overcast ,e,very_high,Sleet,OPPRESSIVE,Good,EUNICE,night,6256,NA,NaN,521,10026,£14009,2015,11606,1615," 6,633"
24/10/2024, rainy ,MIDLANDS,Spring,-999,, amber ,evening,Clear,w, Extreme ,snow,NaN, poor ,,-999,12013,11264,2642,19843,£14530,£13197,10399,16328,"14,539",£10196
2021-07-07,,north,autumn, fahrenheit ,Weather.com,AMBER,AFTERNOON, Overcast ,S,moderate, none ,,Good,corrie,day,10946,12058,£11909,19657,£139,10232,14513,1085,15188,£1651
24/02/2022,SUNNY,inland,winter,fahrenheit,NOAA,amber, afternoon ,OVERCAST,E,extreme,sleet,COMFORTABLE,GOOD,,DAY,3845,12144,NaN,£12036,-999,-999,£12803,£1137,-999,£10382
2022-01-20,sunny,North,summer,kelvin,MET OFFICE,none,afternoon, OVERCAST ,E,extreme, Hail ,dry, very poor ,NaN,day,13139,3142,7798,2171,1073,11239,5455,£6192,2652,-999
07/04/2022,Sleet,coastal,spring,Fahrenheit,met office,None,afternoon,NA,SW,very high,NA,Dry,Moderate,ARWEN,NA," 8,206",8414,9930,2514,,14038,7084,2286,,5331
14/06/2024,RAINY,east,summer,celsius,NOAA,red,Morning,overcast, ne ,MODERATE,hail,COMFORTABLE, MODERATE ,barra,DAY,-999,7311,missing,"14,320",8424,7019,£3121,8457,1775,£13519
"Aug 20, 2024",Sleet,EAST,WINTER,,accuweather,Red,Afternoon,OVERCAST,S,High,NA,dry,moderate, DUDLEY ,Night,NA,9972,"18,734",16274,16899,"14,662",£15256,8962,,£9181
23/03/2024,NA,Coastal,,fahrenheit,accuweather,amber,evening,clear,N,veryHigh,none,Humid, Very Poor ,franklin,night,6805,18995,8532,5435,14559,missing,11485,6790,missing,9431
03/07/2024,rainy,missing,Winter,celsius,bbc,Red,NA,Partly Cloudy,se,extreme,-999,Humid,NA,ARWEN,night,NaN,6961,£11334,818,,NaN,15908,," 1,867",10878
NaN,CLOUDY,inland,SPRING,CELSIUS,weather.com,RED,morning,clear,W,NaN,missing,OPPRESSIVE,moderate,arwen,Day,7178,"10,603",8425,1554,£11186,£6009,1794," 1,179",8710,10597
2021-08-20,Foggy,east,spring,kelvin,noaa,RED,evening,clear,nw,low,rain, humid ,good, franklin ,Night,16733,NaN,12492,9813,£4521,14348,13893,8016,£354,18545
07/12/2021,windy,EAST,Spring,fahrenheit,Accuweather, Yellow ,night,mostlyCloudy,ne,EXTREME, Hail ,comfortable,Moderate, dudley ,-999,17675,19003," 2,365",2333,4982,13763,16585,19899,£8376,4166
missing,sunny,MIDLANDS,Spring,kelvin,Noaa, AMBER ,evening,PARTLY CLOUDY,w,very_high,-999,comfortable,GOOD,arwen,night,6405,17264,3592,10317,,18695,1849,   289,9802,18932
2022-03-22,Cloudy,South,summer,Fahrenheit,,yellow,night,,w,HIGH,missing,dry,excellent,DUDLEY,night,2346,15333,10207,3670,8940,18024,NaN,5731,"19,490",6351
24/12/2023,Foggy,west,autumn, KELVIN ,MET OFFICE,missing,evening,Mostly Cloudy,nw,extreme,snow,dry,moderate,corrie,night,2116,1477,3343,1248,3710,"18,518",4757,1373,£14896,16554
16/07/2022,SUNNY,midlands,SUMMER,kelvin,noaa,amber,afternoon,mostly_cloudy,E,high,hail,COMFORTABLE,EXCELLENT,barra,night,"12,714",16451,   462,9290,£9791,19972,£14404,9784,"18,572",2363
07/08/2023,rainy,,spring,fahrenheit,Bbc,amber,Evening,PARTLY CLOUDY, Ne ,moderate,none,humid,very_poor,ARWEN,day,"12,187",NA,8884," 4,795",£11721,"19,921",4949,"18,166",8467,"13,358"
2021-07-15,rainy, South ,Winter,KELVIN,accuweather,YELLOW,night,partlyCloudy,N,Extreme,Sleet,NaN,Poor,barra,day,1901,NA,13886,8633,14688,17189,6023,£4137,£16325,7914
2022-05-17,missing,INLAND,summer,NaN,Bbc,NaN,evening,PARTLY CLOUDY,Se,Extreme,hail,missing, poor ,franklin, NIGHT ,15180,   677,3886,NA,378,1233,£16139,18522,18843,£13460
2024-08-18,stormy,east,autumn,fahrenheit,met office,,evening,partly_cloudy,NE,missing,snow,oppressive,moderate,EUNICE,night,2990,16386,10219,"17,125",12269,7049,4615,," 5,132",19150
2021-02-19,Stormy,west,Winter,fahrenheit,ACCUWEATHER,none,MORNING,Mostly Cloudy,s,very_high,SNOW,OPPRESSIVE,EXCELLENT,ARWEN,NIGHT,16662,4967,7597,"14,059",NA,17747," 7,431",£1771,missing,17010
"Jul 01, 2021",Sunny,NA,Summer,missing,WEATHER.COM,red,Afternoon,Overcast,ne,VERY HIGH,hail,comfortable,POOR,EUNICE,night,£10971,missing,16513,5520,3040,NA,5231,£19324,5216,
2024-05-08,Sleet,-999,spring,FAHRENHEIT,noaa,none,morning,partly cloudy,s,veryHigh,snow,oppressive,poor,barra,Night,3039,,7372,11480,NaN,£15938,1238,13453,8533,7393
24/02/2021,Cloudy,WEST,spring,FAHRENHEIT,met_office,red, morning ,clear,E,high,Rain,humid,Very Poor,Franklin,day," 7,645",NaN,5998,3783,10313,16609,£12940,8297,3575,£8575
2024-06-10, rainy ,north,winter,celsius,accuweather,YELLOW,afternoon,MOSTLY CLOUDY,w, MODERATE , SNOW ,COMFORTABLE,POOR, ARWEN ,day,NA,2558,4206,16434,£10373,£911,£15129,£9828,6908,19885
2023-03-27,snowy,east,AUTUMN,celsius,bbc,red,morning,clear,E,low,snow,oppressive,Excellent,arwen,DAY,£11262,11163,-999,£8465,4906,£464,9029,16867,"12,201",5720
25/05/2021,cloudy,midlands,summer,KELVIN,NOAA,yellow,morning,Overcast,ne,very_high,SNOW, dry ,excellent,,day,11330,14241,2572,10347,£6154," 2,041",,£5051,12081,18548
missing,SUNNY,west,autumn, FAHRENHEIT ,Bbc,amber,morning,,E,missing,RAIN,OPPRESSIVE,GOOD,dudley,-999,£15303,845,16389,16499,15984,18621,£17986,10218,£12415," 2,571"
01/05/2021,sunny,inland,summer,KELVIN,ACCUWEATHER,NaN,morning,partlyCloudy, SW ,low,missing,Comfortable,poor,corrie,day,1957,18883,16237,15365,17158,16897,8343,7439,2294,16787
2021-03-07,missing,Inland,autumn,fahrenheit,weather.com,NONE,EVENING,overcast, Nw ,very_high,hail,humid,poor,barra,day,19593,5376,1764,12237,18040,12757,19765,15223,,3156
2024-11-08,stormy,north,NaN,fahrenheit,weather.com,Red,MORNING,partly cloudy,,low,Sleet,comfortable, moderate ,FRANKLIN,day,-999,"17,438",14280,14108,,18095,-999,£12748,904,11068
19/06/2024,CLOUDY,east,AUTUMN,Kelvin,noaa,none,Evening,overcast,W,very_high,none, OPPRESSIVE , Poor ,BARRA,night,19291,15163,9075,17332," 5,850",£11071,7014,9213,13742," 5,825"
2021-03-19,foggy,,autumn,kelvin,ACCUWEATHER,AMBER,morning,OVERCAST,NE,High,-999,-999,MODERATE,franklin,day,£17367,£6542,missing,£14315,NA,10403,£15316,7545,"15,542",8584
16/04/2022,sunny,west,SPRING,FAHRENHEIT,met_office,AMBER,night,mostly_cloudy,SW,HIGH,snow,humid,missing,EUNICE,,2500,7457,14512,,7490,11836,17919,7503,,"15,022"
14/07/2023,foggy,WEST,summer,KELVIN,weather.com,Red,NaN,PARTLY CLOUDY,N,high,NA,NaN,moderate,NA,,£14562,,7759,NA,10014,NA,7288,6577,4233,£10434
30/03/2023,foggy,east,Autumn,Kelvin,missing,Amber,afternoon,mostly_cloudy,W,Extreme,snow,Oppressive,poor,franklin,day,6005,4991,15422,16560,£6251,8623,£14912,2348,"17,851",missing
03/09/2024,SLEET,north,SPRING,kelvin,bbc,RED,MORNING,clear,NE,low, Snow ,humid,POOR,franklin,day,-999," 9,225","11,500",£14244,£16623,5296,£5302,-999,-999,"14,225"
"Jul 30, 2022",stormy,west,NA,kelvin,accuweather,yellow, afternoon ,partly cloudy,E,low,snow,oppressive,excellent,ARWEN,night,,14623,12279,13045,"12,150",4218,8516,2484,5806,19072
"Oct 05, 2023",missing,EAST,winter,kelvin,NA,red,afternoon,CLEAR,se,Very High,rain,oppressive,NA,eunice,DAY,-999,15753,,13133,4894,1738,15619,   823,14012,14359
21/09/2022,Windy,North,Summer,kelvin,Bbc,yellow,EVENING,NA, ne ,high,sleet,NaN,VERY POOR,BARRA,Day,4986,"15,564",£17785,   244,3727,3430,5704,£2349,3265,1437
2021-08-16, Sleet ,coastal,spring,celsius,NA,amber,AFTERNOON,partly cloudy,NA,veryHigh,rain,DRY,MODERATE,BARRA,day,-999,7959,9575,5193,"17,525",17979,£7317,-999,2966,14202
2021-05-14,windy,coastal,spring, kelvin ,Noaa,None,EVENING,mostlyCloudy,se,moderate, hail , COMFORTABLE ,veryPoor,franklin,NIGHT,£19580,13764,8161,4286,600,"18,501","19,616","13,993",16876,14662
2022-09-05,SUNNY,north, Summer ,NA,Met Office,amber,evening,clear,SE,EXTREME,rain,-999,very poor,-999, night ,12685,NaN,£3547,"15,234",£5547,7862,"18,925",1450,1525,4067
2021-02-09,Sleet,north,winter,celsius,weather.com,none, EVENING ,Overcast,NE,moderate,Sleet,HUMID,moderate,franklin,day,8307,12518,15946,16,£14750,9702,-999,NA,-999,2920
15/02/2021,rainy,North,autumn, fahrenheit , Weather.com ,red,night,NaN,se,high,none,HUMID,,Barra,Night,19349,-999,6399,314,£8527,1105,1651,NA," 9,813",
2022-05-07,sunny,coastal,NA,fahrenheit,weather.com,NONE,NaN,Mostly Cloudy,nw,,SLEET,oppressive,excellent,corrie,NIGHT,,8152,£13972,4297,3513,18364,"12,813",4498,£4170,17504
2021-01-24,windy,west,NA,KELVIN,Bbc,AMBER,morning,overcast,s,extreme,none, dry , Excellent ,Eunice, day ,-999,5315,NA,5074,"19,174",missing,352,"11,603",£7476,£7021
2021-04-09,snowy,west, spring ,celsius,Bbc,NONE,MORNING,overcast,,very_high,hail,dry,very_poor,Eunice,night,"18,058",12642,11065,1344,10346,£16754,4390,NaN,4668,£6341
missing,RAINY, south ,SUMMER,FAHRENHEIT,WEATHER.COM,none,missing,mostlyCloudy, w ,HIGH,snow,DRY,veryPoor,NaN,day,£17729,-999,NaN,NA,15570,16976,£8545,17781,12213,17610
31/10/2024, sunny ,MIDLANDS,,FAHRENHEIT,Met Office,amber,Evening,Mostly Cloudy,se,MODERATE,snow,dry,poor,dudley, night ,14157,7308,   771,£9839,£2247,4615,£5866,£17242,3233,8366
14/09/2021,WINDY,NA, spring ,missing, accuweather ,amber,morning,OVERCAST,S,high,rain,Comfortable,Good,dudley,night,3432,"16,858",17903,£9417,-999,"14,318",2216,18476,18754,8132
2022-01-31,Snowy,West, winter ,fahrenheit,NaN,amber,morning,partly cloudy,S,low,None,humid,excellent, FRANKLIN ,NIGHT,"10,760",£10757,11024,2274,"16,820",321," 4,131",£14224,NaN,"14,756"
10/03/2022,NA,MIDLANDS,AUTUMN,Fahrenheit,accuweather,AMBER,afternoon,clear,N,veryHigh,rain,OPPRESSIVE,moderate,eunice,day,£5889,"18,345",9774,"15,237",8036,15081,NaN,7591,£19532,10904
10/08/2024,Foggy,east,autumn,kelvin,Accuweather,YELLOW,afternoon,overcast,e, MODERATE ,rain,humid,poor,dudley,Day,460,1274,4530,"13,519","14,763",10831,6082,NaN,"13,766",£12139
2021-04-06,FOGGY,West,SUMMER,CELSIUS,met_office,NONE,night,clear,sw,very high,Sleet,DRY,POOR,Eunice,night,12671,5920,NaN,£58,"13,595",8596,"19,622"," 6,661",6737,£12952
2021-06-25,-999,MIDLANDS,Summer,kelvin,bbc,none, EVENING ,overcast,SW,Very High,snow,oppressive,veryPoor,missing,Day,1856," 7,085",975,18643,missing,NA,5320,5899,1940,10075
27/01/2023,Stormy,NORTH,winter,FAHRENHEIT,weather.com, None ,morning,Clear,NE,extreme,NA,humid,good, Barra ,day,NA,15199,2876,£19183,£2666,4557," 2,025",4053,2083,12800
"May 30, 2023",sunny,inland,,fahrenheit,MET OFFICE,,Afternoon,partly_cloudy,s,NaN,NA,dry,MODERATE,Barra,Day,,16027,6870,£12142,9540,£12363,NaN,"10,122",£4026,2862
20/01/2023,sunny, midlands ,winter,CELSIUS,Weather.com,None,-999,clear,NA,high,snow,HUMID,moderate,eunice, Night ,,£8675,13191,£9220,3431,12098,9039,1246,6503," 9,424"
2022-12-16, sleet ,Midlands,spring,Celsius,-999,none,EVENING,mostlyCloudy,w,missing,snow,humid,good,NA,day,17828,£6422,£772,2275,12840,£889,9220,£9163,16285,NA
2022-07-22,Windy,COASTAL,AUTUMN,, bbc ,yellow,-999,clear,w,high,missing,comfortable,GOOD,FRANKLIN,night,8431,13622,"17,490"," 8,725",18081,£17002,£1342,-999,£9820,
"Oct 01, 2024",Cloudy,MIDLANDS,WINTER,celsius,accuweather,yellow,Morning,NaN,s,Low,RAIN,HUMID,moderate,Arwen,day,NA,NA,4781,15221,18567,15747,3608,5306,"13,325",18714
21/02/2024,snowy,north,summer,kelvin,ACCUWEATHER,None,MORNING, OVERCAST ,E,Low,RAIN,Humid,moderate,dudley, day ,,7329,"12,074","13,900",NA,£7229," 9,478",,£1552,8925
NA,Sleet, inland ,SUMMER,FAHRENHEIT,accuweather,none,EVENING,overcast, se , EXTREME ,Rain,comfortable,excellent,DUDLEY,day," 6,423",7450,10860,3995," 3,548",8681,15919,£17184,6424,3298
-999,cloudy,,Autumn,celsius,noaa,AMBER,EVENING,clear, Nw ,Very High,snow,-999, Very Poor ,NA,Day,5305,£2425,NaN,2341,,4669,13224,"10,598",19786,£19387
2021-01-14,NaN,midlands,autumn, celsius , metOffice ,None,night, clear ,n,low,sleet,OPPRESSIVE, poor ,franklin,night,13567,3651,"14,502",,15582,9754,11173,449,NaN,4233
2024-12-26,Stormy,coastal,-999,fahrenheit,Met Office,red,missing,overcast,W,moderate,Sleet,humid,MODERATE,arwen,Day,3368,1098,384,£16748,17888,3821,18045,14761,15470,NA
2021-04-16,Sunny, west ,spring,,metOffice,none,evening,CLEAR,n,low,-999,comfortable,moderate,Dudley, day ," 2,474",919,NA,£17567,£884,-999,12770,£7581,9744,£232
2023-09-10,missing,-999,missing,Fahrenheit,weather.com,none,afternoon,Overcast, sw ,VERY HIGH,-999, comfortable , veryPoor ,eunice,NIGHT,1766,10913,7797," 4,915",1462,"12,726",9857,11025,1401,16212
21/03/2024,snowy,midlands,spring,Fahrenheit,NA,none,evening,overcast,SW,very high,NaN,comfortable,excellent,eunice,Night,19063,£63,17053,5584,£9115,16759,16169,13752,15597,2519
2023-04-26,rainy,coastal,Winter,celsius,weather.com,amber,afternoon,-999,NaN,moderate,RAIN,,EXCELLENT,barra,day,4841,7750,,2761,1221,15453,3021,17812," 5,037",£14164
2021-03-07,sleet,midlands,Winter,,metOffice,NaN,Afternoon,partly cloudy,SE,moderate,Sleet,COMFORTABLE,poor,corrie,night,4005,18092,10778,17074,15352,16932,4869,17905,missing,10352
07/02/2024, Cloudy ,inland,Winter,KELVIN,ACCUWEATHER,Amber,,MOSTLY CLOUDY,W,low, rain ,HUMID,EXCELLENT,CORRIE,Day,"18,300",8446,4062," 4,818",185,10076,1301,13456,"16,318",
22/11/2024,sleet,Inland,winter,celsius,WEATHER.COM,missing,Morning,mostly_cloudy,w,HIGH,hail,oppressive,good,CORRIE,day,13876,£12335,£16478,missing,13136,£3738,"12,669",18053,12728,2873
2022-03-09,,WEST,autumn,celsius,accuweather, amber ,morning,overcast,Nw,moderate,Hail,oppressive,moderate,barra,day,5765,16761," 8,921",12950,11041,£4334,NaN,4011,17134,9765
missing,snowy,west, winter ,fahrenheit,Accuweather,red,AFTERNOON,overcast, ne ,LOW,NA,Comfortable,VERY POOR,franklin, night ,-999,17879,8491,1674,9583,13740,8008,6228,406,4142
01/01/2022,sleet,MIDLANDS,SPRING,fahrenheit,,none,night,Partly Cloudy,SW,NA,rain,oppressive,,CORRIE,NA,16068,598,11512,6116," 2,139",£6214,6491,NA,4006,-999
29/01/2023,rainy,west,-999,celsius,noaa,Amber,afternoon,clear,nw,low,none,oppressive,good,Corrie,day,863,6708,£6545,missing,,£11323,6765,8567,7729,1206
2022-05-13,SUNNY,midlands,NaN,kelvin,bbc,none,evening,Overcast,missing,low,-999,dry,excellent,corrie,day," 5,606",NA,-999,16941,16602,19991,NA,7879," 2,171",7005
2024-01-30,Cloudy,Midlands,winter,KELVIN,weather.com,Red,evening,clear,E,low,hail,comfortable,good,Franklin,night,£3440,11962,£10103,"12,712",755," 1,294",5758,9533,11947,missing
NaN, windy ,coastal,SPRING,KELVIN,met office,None,Evening, clear ,Nw,moderate,snow,comfortable,veryPoor,arwen, DAY ,5102,6401," 7,492",NA,"11,852","13,093",17675,"15,720",NA,NA
2023-11-16,foggy,east,SUMMER,celsius,Bbc,Amber,MORNING,overcast,se,moderate,none,humid,poor,Dudley,day,19518,9057,8883,£8939,"12,682",18102,5178,-999,10155,2584
"Feb 08, 2024",Sleet,west, SUMMER ,celsius,,Yellow,Afternoon,,ne,extreme,rain,humid,Poor,Franklin,Day,11961,"12,039","16,852"," 4,014",4058,missing,£4161,6294," 9,736",13020
26/10/2024,cloudy,north,autumn,fahrenheit,WEATHER.COM,none,night,MOSTLY CLOUDY,NaN,moderate,Rain,humid,missing, arwen , day ,NaN,13396,4053,19872,15989,674,,9365," 3,281",9573
21/07/2022,snowy,west,winter,kelvin,met_office,red,night,mostly_cloudy,NA,very high, RAIN ,OPPRESSIVE,excellent,arwen,DAY,£5304,3324,17836,missing,17331,12757,2095,   698,£6542,8485
17/03/2023,missing,missing,spring,KELVIN,, AMBER ,Afternoon,clear,e,Moderate,snow,NaN,Poor,dudley,day,NaN,10753,18928,9024,5651,1873,956,19972,£5899,16034
26/01/2023,foggy,west,summer,fahrenheit,NOAA,Amber,-999,mostly cloudy,se,very high,hail,comfortable,Moderate,Eunice,,-999,5033,"19,548",18624,£5253,,8610,-999,7423,1572
NA,sleet,north,winter,NaN,Met Office, none ,NaN, partly cloudy ,Sw,very high,hail,comfortable,Very Poor, corrie ,night,10871,£16177,,£19889,13551,3254,"14,605",8284,,3997
2021-11-01,stormy,coastal,Spring,celsius,weather.com,NA,-999,overcast, e ,EXTREME,Snow,oppressive,Excellent,barra,day,"15,095",3004,10544,£4964,£10321,£17068,18943,-999,10894,754
2023-08-22,cloudy,west,Autumn,fahrenheit,accuweather,amber,evening,PARTLY CLOUDY,n,Extreme,hail,humid,veryPoor,Dudley,night,11434,10271,NA,3433,16745,NA," 5,755",13759,16075," 2,150"
"Apr 06, 2024",snowy,east,winter,NA,BBC, amber , Morning ,partlyCloudy,NA,LOW,sleet,comfortable,missing,corrie,NIGHT,-999," 9,322",-999,4737,£9810,11273,12540,16284,3244,£11122
2024-08-21,stormy,north,autumn,celsius,accuweather,amber,night,Overcast,missing,Moderate,Snow,dry,VERY POOR,EUNICE,day,   135,£11306,10735," 5,578",13445,12575," 5,275",18434,NA,18647
2021-09-25,NA,NaN,winter,KELVIN,bbc,none,afternoon,overcast,se,Low,RAIN,comfortable,veryPoor,dudley,night,,3616,£17731,," 6,784",17487,£2563,16341,11104,11737
2022-02-15,Sleet,north,NA,Celsius,Accuweather,Red,AFTERNOON,partly_cloudy,,moderate,SLEET,humid,moderate,Eunice,Day,10537,4239,missing,13651,6746,905,10659,15974,364,15961
15/06/2024,windy,south,autumn,Fahrenheit,Bbc,amber,Morning,CLEAR,W,High,missing,dry,poor,dudley,Day,missing,16626,8766,15527,£11423,1302," 8,812",18151,2649,8421
10/12/2021,SUNNY,east,winter,fahrenheit,BBC,None,Morning,MOSTLY CLOUDY,SE,Low,Snow,COMFORTABLE,Moderate, Eunice ,night,"13,482",15677,16082,"10,632",3296,6456,17059,,19375,13845
08/08/2022,Sleet,INLAND,spring,Celsius,BBC,none,afternoon,overcast,NaN,VERY HIGH,SLEET,dry,GOOD,,missing,11902,1669,4692,-999,"12,471",£14218," 6,181",£5656,19353,NaN
"Apr 28, 2024",sleet,inland,autumn,, accuweather ,none,evening,Mostly Cloudy,SE, moderate ,NONE,comfortable,MODERATE,BARRA, Day ,8899,£16003,16785,£1705,-999,£15841,16489,4386," 6,063",5809
-999,SUNNY,NA,summer,Kelvin,NaN,Yellow,afternoon,Overcast, e ,low,snow,humid, moderate ,barra,NA,17945,NaN,18244,8351,3655,9007,15212,£16892," 8,615",18247
09/04/2023,Stormy,north,autumn,-999,MET OFFICE,YELLOW,,PARTLY CLOUDY,Sw,moderate,rain,Comfortable,good,Corrie, night ,£7559,"12,710",NaN,2940,7883,"17,465",5815,£13498,"17,942",16008
14/12/2023,snowy,COASTAL,spring,celsius,weather.com,yellow, morning ,clear,-999,Extreme,Rain,comfortable,moderate,franklin,night,,9029," 8,082",9726,1574,14477,19368,NaN,7130,£4604
