date,Genre,RATING,language,Format,franchise?, PRODUCTION STUDIO , release season , budget band ,distribution?,SEQUEL,Award Noms, filmingLocation , CINEMATOGRAPHY ,Lead Actor, soundMix , runtimeMin ,box office $m,metascore,userscore,screens, opening $m ,marketing_$m,CGI SHOTS,IMDB VOTES, oscarWins 
03/04/2021, DOCUMENTARY ,18,Hindi,3D, FRANCHISE ,Paramount, summer ,<$10M,LIMITED,no,8+, us ,digital,B-List,atmos,5916,18442,19971,16062,missing,5317,"13,903"," 6,874",11922,"16,069"
2023-03-21,comedy,NaN, Spanish ,streaming,spin-off,UNIVERSAL,SUMMER,missing,streaming,YES,1-3,nz,FILM,newcomer, dolby ,18343,£3306,6781,-999,8864,5793,missing,19800,16998,11862
2023-01-31,Documentary,12A,-999,2d,spin-Off,warner,WINTER,$50-150m,direct-to-dvd,no,4-7,us,digital,a-List,dts,£3888,11026,8784,9103,7426,4385,2810,,15106,8208
03/12/2024,documentary,g, Hindi ,NA,FRANCHISE,paramount,SUMMER,<$10m,Streaming,no,0,us,digital, B-List ,atmos,13942,£19879,NA,£8675,4430,-999,14490," 3,452",16802,£12514
2022-12-23, action ,PG,Hindi, Streaming ,missing,universal,spring,$50-150m, direct-to-dvd , yes ,1-3,NaN,Film,a-List,DTS,16893,3255,£16762,11134,-999,"15,094",5838,18897,"16,265",
24/10/2022,ANIMATION,NaN, spanish , streaming ,Reboot,sony,winter,missing,limited,yes, 0 ,NZ, FILM ,newcomer,DTS,8292,15572,£6428," 8,514",12362,18056,5813,8812,11971,15477
19/09/2022,drama,NA,hindi,3d,spin-off,disney,summer,$10-50m,limited,Yes,8+,Australia,NaN,a-List,dts,2254,"13,553",£15487,£8691,17831,NA," 7,511",19589,-999,£7609
2023-07-30,drama,r,,imax,REBOOT,Disney,summer,$10-50m,streaming,no, 8+ ,NA,digital,a-list,Dts,3122,"18,681",9797,"10,807",-999,7858,"19,596",9529,£13380,£17336
30/03/2021,Documentary,G,french,imax,spin-off, Disney ,missing,NA,NA,no,1-3,uk,imax 70mm,newcomer,Dts,19365,NaN,10969,8933,11301,,£5875,17800,12711,5237
NA,horror,r,,missing,franchise,Sony,Summer,$10-50m,limited,no,0,us,DIGITAL,B-List,ATMOS,£9380,1507,3773,£2701,missing,NaN,2921,14219," 2,971",9260
22/09/2021,horror,missing,HINDI,Imax,spin-off,UNIVERSAL,Autumn,$10-50m,streaming,NO,0,-999,Film,newcomer,dolby,8733,"10,660",missing," 7,737",7641,   600,14737,13739,NA,-999
15/05/2024,animation,pg,English,Streaming,spin-off,DISNEY,spring, <$10m ,streaming,Yes, 4-7 ,us,film,missing,dts,372,11094,7012,6157,5986,7541,-999,18785,15027,"12,722"
2024-03-20,action,12A, Mandarin ,3d,NaN,paramount,Spring,,direct-to-dvd,no,0,NA,Film,b-list,DTS,6318,£10071,8592,12708,"17,826"," 3,784",NA,£6773,16739,1903
"Nov 22, 2022",animation,18,french,2d,reboot,-999,autumn,>$150m, limited ,-999,0,uk,imax 70mm,b-List, Atmos ,,10380,,NaN,6156," 3,296",£14735,11369,8936,missing
05/07/2024,Documentary, 18 ,french,IMAX,standalone,disney,winter,$50-150m,STREAMING,no,missing,us,imax 70mm,newcomer,missing,£3580,3144,17135,227,£18505,15310,18574,15031,6975," 3,140"
06/03/2024,action,18,SPANISH,3D,franchise,disney,Summer,-999,direct-to-dvd,Yes,NaN,us,Film,a-list,DOLBY,9503,5236,14491," 1,777",11151,NA,"15,341",NA,missing,13011
22/08/2023,COMEDY,r,FRENCH,NA,standalone,Sony,Autumn,<$10m,cinema,no,8+,canada,imax70mm,b-list,dts,592,6064,17405,,8388," 8,016",£11038,£17718,14290,£19823
20/04/2022,documentary,12a,french,2D,Franchise,universal,winter,>$150M,,no,8+, us ,Imax 70mm,a-list,Dolby,17954,5831,17289,11078," 3,535",17346,16176,19572,NA,£543
2024-03-25,horror,R,English,2d,Reboot,-999,NA,$50-150M,LIMITED,NO,1-3,australia,Digital,newcomer,dolby,NaN,8127,8380,18211,£11022,7059,17331,13302,11166,15825
2022-04-20,documentary,15,hindi,Streaming,reboot,UNIVERSAL,winter,-999,direct-to-dvd,-999,8+,US,imax_70mm,B-LIST,ATMOS,682,10850,3592,16047,-999,17998,4335,8020,-999,
2022-05-19,comedy,18,Mandarin,imax, standalone ,Universal,missing,>$150M, direct-to-dvd ,YES,0,Nz,imax70mm,b-list,Dts,9188,£1729,16030,14686,18535,13831,16922,£13896,"11,768",935
"May 28, 2023",animation,12a,english,NaN,reboot,paramount,summer,-999,STREAMING,NO,4-7,Uk,film,newcomer,atmos,4166,8556,18078,"16,392",17139,-999,361,17001,853,8148
05/04/2021,animation, r ,french,streaming,reboot,Paramount,Autumn,$50-150m,limited,YES,0,NA,film,a-list, dolby ,5216,14804,missing,£4629,8803,13885,£12214,£6487,10652,
2021-08-08,comedy,g,FRENCH,2d,franchise,missing,summer,$10-50m,streaming,NO,8+,canada,Film,NEWCOMER,dolby,13706,missing,£17410,£6847,16019,NA,14726,12928,6178,missing
09/03/2022,animation,missing,Mandarin,3d, Reboot ,warner,summer,$50-150m,cinema,no,1-3,Nz,film,b-list,atmos,£14978,610,434,1764,18526,7177,12082,"13,651",15485,£8555
12/06/2021,horror, g ,french,Streaming,franchise,warner, spring , $10-50M ,CINEMA,,8+,nz,IMAX 70MM,b-list,Atmos,£14374,£12734,8056," 9,714",9800,10504,£12365," 6,307",NA,11983
,Horror,g,hindi,imax,Standalone,PARAMOUNT,SUMMER,<$10m,limited,Yes,-999,CANADA,imax70mm,newcomer, DTS ,10283,17466,missing,   114,8556,£9682,11493,15784,NA," 6,257"
2024-08-12,NA,-999,spanish,missing,reboot,sony,Autumn,missing,cinema,No,1-3,NaN,digital,B-List,dolby,3520,£819,12674,£18095," 3,572",£8843,6433," 5,534","16,500"," 3,586"
16/02/2024,Animation,15,ENGLISH,Streaming,FRANCHISE,Universal,Spring,$10-50m,cinema,No,4-7,AUSTRALIA,Film,a-list,Dolby,9159,£1471,17880,NaN,6115,3844,13703,12785,11586,8362
03/03/2023,action,18, french ,NA,Franchise,missing,autumn,<$10m,LIMITED,yes,4-7,us,NA,,dolby,13204,16891," 3,217",18925,16348,16792,£4372,7986,NA,10193
2023-10-29,comedy,12a,hindi,imax,reboot,Sony,summer,$50-150m, Streaming , No ,0,Us,Film,newcomer,atmos,17974,£2671,10377,320,12412,15910,NA,17104,missing,10358
2023-02-10,documentary, G ,hindi,2d,franchise,Paramount, autumn ,$50-150M,cinema, no ,0,NZ, film ,b-List,atmos,£10843,17189,"10,174",£15593," 9,163",-999,18911,£10279,11702," 1,435"
2023-02-15,action,18,,3D,franchise,sony,WINTER,NA,direct-to-dvd,No,4-7,Nz,Digital,,dolby,£14321,6102,17413,NaN,£9511,17276,£8455,5711,4248," 7,480"
07/09/2021,Documentary,15,,3d,SPIN-OFF,universal,Spring,<$10m,Cinema,yes, 4-7 , US ,FILM,newcomer,dts,2285,5399,missing,11449,NA,9504,8240,NaN,12601,£6309
11/05/2022, drama ,r,Hindi, Streaming ,franchise,disney,AUTUMN,<$10m,Direct-To-Dvd,YES,NA,us,IMAX 70MM,a-list, dolby ,14252,13574,£11284,£8904,£696,8688,"13,609",6706,1220,4624
2021-03-05,comedy,g,HINDI,Streaming,Standalone,paramount,winter,<$10m,streaming,no,8+,uk,digital,NA, Atmos ,11530,-999,"12,964",7743," 8,864",10816,10178,£12691,10002,19295
2024-10-27,HORROR,12A,english,3d,SPIN-OFF,sony,spring,$10-50m,direct-to-dvd,YES,8+,Nz, imax 70mm ,B-LIST,atmos,8785,17710,14444,10502," 4,874",8474,19319,7664,£905,
2023-10-12,action,12a,english,STREAMING,spin-off,universal,winter,$10-50m,-999,no,0, australia ,Digital,b-list,Atmos,19768,14794,NaN,-999,12467,1708,15295,4870,£3221,16540
NA,documentary,-999,hindi,imax,standalone,warner,SPRING,<$10m,LIMITED,no,4-7,Nz,film,A-List,dts,£13952,15034,17413,19698,14060,13489,2805,£6184,"11,449","16,238"
20/01/2021, Action ,r, spanish ,2d,Franchise,universal,SPRING,missing,cinema,,4-7,nz,imax_70mm,b-list, DOLBY ,17699,7936,£1402,3216,14290,£7062,,NaN,"12,354"," 9,584"
07/12/2023,NA,missing,Spanish,2d,-999,sony,autumn,$50-150M, streaming ,,1-3,canada,digital,a-list,atmos,2831,,9351,6871,£77,missing,4972,15528,-999,115
30/11/2022,comedy,g,ENGLISH,2D,franchise,warner,summer,>$150m,Streaming,yes,8+,australia,imax_70mm,a-list,NaN,6768,£15329,-999,13051,15364,13728,£1068,15461,12452,15680
2023-05-24,ANIMATION,12a,hindi,streaming,-999,sony,Winter,<$10m,cinema,no,0,US,-999,b-list,dts,4048,£15939,missing,15443,8218,14489,NaN,12520,15918,"16,756"
07/01/2023,ACTION,NA,spanish,streaming,reboot,NaN,summer,>$150m,STREAMING,yes,1-3, us ,film,, Dts ,£13240,7039,7090,"12,805",,9628,4934,"10,040",10343,7614
30/10/2024,animation,12a,MANDARIN,3d,Spin-Off,warner,Summer,$10-50m,Streaming,yes,4-7,nz,imax_70mm,newcomer,atmos,3779,10582,16583,7880,14555,18992,"13,962","14,997",£5323,18914
NA,Action,r, English ,-999,reboot,WARNER,Summer,,Direct-To-Dvd,yes,8+,,FILM,a-list,DOLBY,£379,7158,3553,1777,£1489,14002,-999,£13026,17469,£17852
26/08/2021,comedy,g,SPANISH,imax,franchise,PARAMOUNT,winter,$50-150M,missing, Yes ,NaN,canada,Digital,B-List,dolby,19003,£220,19018,missing,"13,291",15528,8882,17898,£5897,12668
2021-05-09,Horror,12a,HINDI,3d,Spin-Off,WARNER,SUMMER,$10-50m,limited,Yes,4-7,NA,digital,B-LIST,atmos,1728,14273,£11661,NA,13897," 1,145",3003,6076,3918,£13244
2023-12-25,,-999,HINDI,NA,reboot,universal,SUMMER,$50-150m,direct-to-dvd,missing,NaN,Us,imax_70mm,b-list,ATMOS,14528,12115,15098,13343,   210,3349,NaN,8181,4320,13231
30/08/2021,animation,12a,mandarin,3d,franchise,warner,WINTER,$10-50m,streaming, Yes ,1-3,US,NA,a-List,dts,1296,NaN,16850,"12,564",4477,12928,10534,£345,"17,517"," 6,537"
2021-01-26,comedy,missing,hindi,3D,reboot,,NA,<$10m,CINEMA,NO,missing,canada,film,NEWCOMER,atmos,£1117,12752,11830,"12,216",16945,11071,15344,14582,11631,8430
2023-04-16,comedy,12a,Spanish,missing, Standalone ,paramount, SPRING , $10-50M ,cinema,Yes,1-3,NaN,imax70mm,A-List,DTS,12963," 6,244",,7607,1251,,£12053,5910,18740,15890
"May 12, 2021",ANIMATION,PG,spanish,2d,standalone,universal,SPRING,$50-150m,Direct-To-Dvd,NO,missing,uk,IMAX 70MM,a-list,dts,-999," 6,524",15216,NA,£1253,5280,,NA," 5,227","15,018"
NaN,COMEDY, 15 ,,3d,standalone,NA,Winter,$50-150m,direct-to-dvd,no,8+,australia,Digital,newcomer,dolby,-999,-999,16981,13336,£16066,9426,14408,17830,missing,19575
2024-07-19,ANIMATION,15,english,imax,reboot,paramount,-999,>$150m,DIRECT-TO-DVD, NO ,1-3,NZ,imax 70mm,b-list,Dolby,£472,,14896,NA,19393,6348,6517,"11,768",17797,6073
13/06/2024,action,12A,spanish,imax,Spin-Off,sony,WINTER,$10-50M,direct-to-dvd,NO,4-7,canada,Digital,a-list,dolby,16136,5587,14202,8955,missing,16133,15010,£19458,£19343,1586
2023-07-26,Animation,12a,hindi,3d,reboot,DISNEY,Summer,missing,streaming, No ,8+,CANADA,digital,a-List,Atmos,19075,NaN,3877,£1240,15242,£16847,-999,"13,818",4882,6047
2024-06-04,,r,-999,streaming,Franchise,,winter,>$150m,STREAMING,no,4-7,Uk,Film,newcomer,dts,,2257," 2,170",16761,11591,14967,"13,587",5735,NaN,"19,696"
04/07/2022,missing,G,Spanish,3d,-999,UNIVERSAL,spring,<$10m,missing,no,4-7,NZ,imax_70mm,a-List,atmos,£16150,6998,3233,8627,£2571,1094,"13,657",£13993,2246,missing
NaN,horror,G,hindi,3d,reboot,disney,Summer,>$150m,direct-to-dvd,no,0,australia,missing,B-LIST,NaN,£7986,7544,missing,£11254,12972,"14,931",missing,18502,17407," 9,137"
07/08/2021,action,g,Hindi,STREAMING,,warner,Summer, <$10m ,Limited,Yes,4-7,canada,DIGITAL,a-list,atmos,13411,£13137,£18334,"14,017",7819,£35,18539,8724,644,14379
"Dec 02, 2024",Animation,18,spanish,-999,standalone,Warner,AUTUMN,NA,-999,YES,4-7,uk,digital,a-list,Dolby,NA,11501,19225,£6959,10799,15508," 9,965",14623,-999,£1858
09/09/2022,,15,spanish,-999,Standalone,NA, spring ,>$150m,Direct-To-Dvd, NO ,8+, nz ,,b-list,atmos,10578,14982,£13262,NaN,15496,£12841," 9,526",9391,£4813,£15034
"Mar 29, 2022",NA,r,FRENCH,2d,standalone,warner,NA, <$10m ,direct-to-dvd,no,0,NZ,IMAX 70MM,newcomer,dts,11425,£8182,£5025,7431,NaN,missing,4901,£10477,15236,6412
08/07/2024,comedy,pg,Hindi,imax,reboot,UNIVERSAL,spring,$10-50m,cinema,YES,8+,us,imax 70mm,newcomer,dolby,17750,18607,NaN,£2741,7767,3322,19055,10073,"12,756",12289
2023-03-30,Comedy,R, FRENCH ,3d,franchise,disney,autumn,$10-50m,cinema,No,8+,,Imax 70mm,a-list,DTS,£17858," 7,713",11684,missing," 8,797",£14062,19137,£10656,NA,£1588
"Mar 03, 2024",comedy, 15 ,FRENCH,imax,NA,disney,autumn,$10-50m,cinema, No ,0,UK,Digital,b-list,Dolby,10730,1027,7304,17012,"11,235",9325,15759,missing,9440,882
05/10/2023, drama , R ,spanish,2d,FRANCHISE,paramount,winter,>$150m,Limited,yes,4-7,CANADA,imax_70mm,b-List, dolby ,19777,£18606,19118,12084,2953,£12083,11663,"18,769",14255,18392
22/11/2021, Comedy ,15,ENGLISH,3d,FRANCHISE,sony,-999,$50-150m,direct-to-dvd,No,0,NA,Digital,b-list,atmos,NA,13917,3694,3082,£1028,£1541," 5,929",1652,"13,722",2827
03/11/2024,documentary,missing,mandarin,2d,reboot,Disney,spring,<$10M,Limited,yes,4-7,Uk,DIGITAL,a-List,NaN,6517,12222,1219,"17,799",18949,17881,18182,17665,"10,598"," 8,553"
30/07/2023,drama,g,Hindi,2d,missing,disney, Winter ,$10-50m,limited,NO,NaN,nz, FILM ,,Dts,10778,3662," 9,893",£3741,"13,360",7292,17662,10311,8572,   541
20/06/2024,comedy,pg,hindi,3d,Spin-Off,Universal,Winter,$10-50m,missing,No,8+,nz,film,b-List,Atmos,17315,376,8689,4011,"12,707",9900,19303,"19,448",£112,NaN
02/03/2021,DOCUMENTARY,r,english,streaming,FRANCHISE,Sony, summer ,$10-50m,,no, 4-7 ,nz,digital,a-List,dts,12664,13835,2482,1638,3022,1900,NA,NA,14898," 9,948"
"Feb 22, 2024",action,r,SPANISH,2d,missing, sony ,Autumn,>$150m,direct-To-Dvd,Yes,0,uk,imax70mm,NEWCOMER,Dts,"15,795",13450,-999," 5,146",NA,16998,," 5,582",£5936,
2024-12-25, documentary ,18,English,3D,STANDALONE,warner,summer,$50-150m,Direct-To-Dvd,YES,4-7,Canada,DIGITAL,B-List, dts ,-999," 2,710",12928,"15,237",519," 1,752",15413,£10750,£13987,18193
10/03/2022,documentary,15, ENGLISH ,2d,STANDALONE,NaN, SPRING ,>$150m,,no,8+,Nz,IMAX 70MM,a-list, dolby ,6671," 4,421",missing,12427,NA,3121,4476,,£2706,£2741
"Sep 22, 2022",action,12A, english ,NA,NaN,-999,autumn,>$150m,Cinema,no,1-3,australia,,b-list,-999,19257,missing,"18,442",7509,£8898,17378,4381,5139," 3,694",13285
07/11/2022,documentary,12a,SPANISH,-999,standalone,sony,-999,>$150m,LIMITED,NO,NaN,australia,digital,newcomer,dolby,1899,,11610,"14,802",7578,16758,£16289,"11,775",£19408,9125
12/02/2021,documentary,R,hindi,2d,STANDALONE,DISNEY, autumn , $50-150m ,STREAMING,missing,0,NaN,imax_70mm,newcomer,atmos,"11,821",16823,8138,"16,988","10,036",5078,9927,NA,17007,"17,941"
16/11/2021,comedy,pg,english,2D,Reboot,PARAMOUNT, winter ,<$10m,cinema,yes,4-7, australia ,FILM,NEWCOMER,DTS,missing,NaN,"13,287",8616,12760,18566,missing,12352,11427,£16603
"May 04, 2024",DOCUMENTARY,12a, hindi ,3d,reboot,sony,spring,missing,DIRECT-TO-DVD,,8+, uk ,,NEWCOMER,ATMOS,12025,15298,missing,NA,8667,"10,339",19990,14009,13920,
12/09/2024,DOCUMENTARY,18,hindi,3d,REBOOT,Sony,SPRING,$50-150M, Streaming ,yes,0,nz,digital,b-list,atmos,248,2852,14601,"16,840",13137,"18,231",495,"12,250",,3041
22/12/2023,COMEDY,15,ENGLISH,NaN,reboot,warner,autumn,$10-50m,cinema,No,,AUSTRALIA,FILM,newcomer,dts,51,18988,£16648,9402,11333," 3,587",£5823,missing,15952,NaN
,comedy,12a,french,3d,standalone, disney ,autumn,$10-50m,streaming,NA,8+,uk,film,, atmos ,"18,750"," 1,706",£1383,missing,missing,10834,NA,10926,-999,£17234
20/04/2024,animation,-999,hindi, imax ,reboot,sony,winter,missing,Streaming,NO,4-7,CANADA,Film,b-list,dolby,4089," 9,687",66,"14,316",7304,17946,6537,3527,772,6085
2022-02-28,action,12a,english,streaming,SPIN-OFF,paramount,,<$10m, streaming ,no,1-3,missing,digital, a-list ,dts,17472,9234,18644,£12612,missing,19441,2346,,"15,485",7157
2024-01-30,ANIMATION,15,SPANISH,streaming,FRANCHISE,DISNEY,NA, <$10m ,direct-To-Dvd,No,8+,uk,imax 70mm,A-LIST,dolby,   207,£19111,,£9457,18829,12067,14964,missing,£10575,2458
28/11/2023,comedy,18,NA,streaming,SPIN-OFF, universal ,summer,$10-50m,Streaming,,1-3,us,IMAX 70MM,b-List,,,"14,459",10303," 8,249",14637,£3041,1375,15691,18670,7193
22/04/2023,ANIMATION,NaN,MANDARIN, IMAX ,franchise,missing,Winter,NaN, direct-to-dvd ,no,4-7, australia ,digital,b-list,Atmos,3512,"16,923",7125," 3,560",146,7328,14452," 2,051",£3596,NA
2021-12-29,Animation,r,french,3d,Spin-Off,Universal,Winter,$50-150m,DIRECT-TO-DVD,NaN,4-7,australia,NaN,a-list,DTS,"19,863",19890,4184,£5540,9516,10312," 7,175","18,598",19872," 6,369"
22/11/2022,documentary,12a,French,2d,spin-off,warner,AUTUMN,$50-150m,LIMITED,no,4-7,australia,film,A-LIST,dts,16108,19321,5687,14103,8804,16592,   979,13351,3357,2179
02/09/2023, COMEDY ,NaN,french,2d,Reboot,Warner,summer,$50-150m, streaming ,,8+,US,NaN,newcomer,atmos,12062,10386,8722,3032,5726,£3028,missing,2280," 7,325",2316
,horror,pg,Spanish,2d,standalone,Warner,summer,>$150M,missing,-999,4-7,Uk, imax_70mm ,Newcomer,DTS,11949,12528,"12,592",9570,NA,5083,,16276,14633,£6903
04/12/2022,COMEDY,r, mandarin ,STREAMING, spin-off ,Sony,autumn, $50-150m ,Streaming,No, 0 ,nz,imax_70mm,b-List,atmos," 4,871",2574,14354,4349,"14,018",,"16,440",12247,1044,
2024-01-07,ANIMATION,R,english,3d,spin-off,paramount,winter, $50-150m ,streaming,YES,8+,Us,Film,b-List,NA,"15,567",missing,3553,£17894,14377,13302,£5683,£7963,NA,NaN
,action,15,ENGLISH,3d,Franchise,missing,autumn,NA,CINEMA,yes,8+,Nz,Film,b-List,dts,11964,"15,609",,9162,1605,16205," 5,785",971,317,7703
"Apr 01, 2021",drama,12A,English,, spin-off ,NaN,autumn,NaN,LIMITED,Yes,8+,canada,film,b-List,Atmos,,£18261,£14908," 4,776",£5403,12521,NaN,"14,820",£17494,
16/11/2023,comedy,g,ENGLISH,2d,reboot,Warner,spring,-999,NaN,yes,1-3,-999,,a-list,atmos,11029,14808,8840,13869,19054,,6535,19982,£18624,£999
14/12/2022,horror,R,French, imax ,spin-Off,SONY,NA,<$10m,streaming,Yes, 4-7 ,us,Film,b-list,-999,9850,-999,3856,£9534,3504," 7,304","14,119",   738,,missing
,comedy,g,mandarin,2d,standalone,PARAMOUNT,summer,$50-150m,Limited,no,NaN,canada,-999, B-List ,atmos,£556,3958,5049,missing,7579,7613,2764,NaN,13821,£8313
2022-05-26,action,pg,hindi,streaming,franchise,universal,winter,$50-150m, Limited , NO ,1-3,AUSTRALIA,film,NEWCOMER,Dts,9100,4248,16738,2925,11617,10743,7976,£13436,17596,£16682
2021-02-05,drama,15,Hindi,3d,Standalone,warner,Autumn,NA,STREAMING, YES ,8+,canada,-999,b-List,DOLBY,18826," 7,112",£13332,4409,NA,348,5688,NA,£16338,4858
2023-06-23,-999,12a,french,STREAMING,reboot,universal,SUMMER, $10-50M ,cinema,no,8+,NZ,imax70mm,newcomer,dolby,8120,"18,495",8194,1747,869,missing,2307,17384,,12290
04/01/2024,Action,g,hindi,2d,STANDALONE,SONY,Winter,>$150m,cinema,yes,0,NZ,FILM,newcomer,Dts,15592,£8003,missing,NaN,NaN,13972,,19779,10686," 9,356"
2024-07-28,action,Pg,spanish,2d,reboot,Disney,summer,$10-50m,streaming,Yes,4-7,australia,digital,, ATMOS ,£19074,10521,3699,£7318,10059,13680," 3,830",13112,1849,£8360
2024-10-11,horror, r ,mandarin,2d, franchise ,NA,winter,>$150m,Limited,No,1-3,australia,digital,b-list,DOLBY,£6487,£6284,,1644,"18,395",9581,1579,-999,12437,1258
2021-07-19,comedy,pg,english,3d,Spin-Off,Paramount,spring,$10-50m,,Yes,8+,us,NA,B-List, atmos ,missing,NaN,19452,"16,367",16043,£18675,3738,£8122,£10027,9532
27/10/2021,action,pg,English,3d,NaN,missing,spring,-999,direct-to-dvd,no, 8+ ,australia,digital,b-list,atmos,£14493,18239,366,£3671,£7321,12449,£12241,8814,-999,£3174
2024-01-26,drama,g,SPANISH,imax,franchise,paramount,spring,<$10m,Limited,NaN,0,uk,imax70mm,newcomer,ATMOS,NaN," 2,820",9088," 4,090",16125,£2713,18100,9193,16431,863
18/09/2022,Horror,Pg,mandarin,STREAMING,spin-Off,universal,spring,<$10M,-999,YES, 4-7 ,australia, Digital ,missing,Dolby,13841,8920,9489,"19,139",5089,NaN," 2,042","16,900",,7416
2021-02-07,documentary,,Hindi,Imax,standalone,universal,winter,>$150M,streaming,no,1-3,uk,imax 70mm,a-list,DTS,£6544,NA,9610,19362,£494,19411,2168,£19230,12897,949
01/04/2024,horror,,French,3d,REBOOT,universal,summer,$10-50m,limited,yes,0,Uk,IMAX 70MM,newcomer,NaN,£741,7082,"18,643",£18737,"14,067",,1897,17271," 2,153",£5204
-999,comedy,,English, Imax , standalone ,Disney,Autumn,$10-50m,NA,no,8+,Nz,Digital,b-list,ATMOS,17194,5422,14876,1636,£55,NaN,7643,4034,£16172,"17,354"
15/01/2022,documentary,18,MANDARIN,imax,reboot,sony,Autumn,>$150M,Cinema,no,8+,Nz,IMAX 70MM,NaN,atmos,13308," 3,785",2370,7745,8499,17554," 4,775",9539,5079,missing
NaN,NaN,18,hindi,imax,reboot,sony,summer,$50-150M,Cinema,yes,8+,NaN,imax_70mm,B-List,Dts,1975,£11950,£5557,£8207,6951,11723,£19165,17967,5700,4623
"Jul 06, 2024",documentary,18,french,3d,franchise,warner,Spring,<$10m,LIMITED, no ,4-7,US,DIGITAL,a-List,-999,6451,19419,missing,"19,737",12543,5709,missing,9791,"19,613",£7370
08/03/2021,ANIMATION,NA,ENGLISH,streaming,,UNIVERSAL,autumn,$10-50M,direct-to-dvd,no,1-3,,DIGITAL,NaN, dts ,£1190,,19034,4068,4231,NaN,12592,12107,11757,7079
"Jan 19, 2021",horror, pg ,mandarin,missing, Franchise ,SONY,-999,<$10m,Limited,YES,-999,Australia,DIGITAL,a-list,NaN,£6552,"11,234",NaN,-999,10001,7551,-999," 1,632",£1910,£11068
2021-06-17,drama,NA,Hindi,2d, reboot ,missing,Winter,-999, DIRECT-TO-DVD ,no,8+,Us,IMAX 70MM,A-LIST,atmos,8903,£12064,   255,"10,103","10,419",1199,-999,"10,029"," 8,054",NA
13/02/2024,ACTION,18,french, streaming ,reboot,-999,summer,<$10m,-999,yes,NaN,us, IMAX 70MM , newcomer ,dts,13935,£14819,£6784,4377,3714,16804,216,£17889,2176," 1,716"
2022-10-22,ANIMATION,,mandarin,imax,spin-off,sony,summer,>$150m,limited,yes,4-7,nz,Digital, newcomer ,atmos,13470,"19,664",14354," 7,270",6831,3036,358,3451,9710,18908
2021-08-27,animation,pg,english,3d,missing,warner,Spring,,direct-to-dvd,no,8+,nz,Digital,a-list,atmos,1987,15824,1155,940,9515,1236,5118,11978,£7819,7094
2023-05-21,animation,G,mandarin,2d,standalone,Warner,winter,<$10m, cinema ,Yes,NA,uk,digital,A-List,DOLBY,£5961,"11,547",5189,13889,"10,444",4432,10439,"11,156","10,816",7886
2024-04-22,animation,15,french, 3d , franchise ,sony, winter , >$150m ,NA,yes,8+, Us ,film,newcomer,dts,£885,"11,702",3815,"15,094",12978,9602,,NA,18329,8202
21/02/2023,,12a,french,2d,Franchise,sony,NA,$50-150m,cinema,NO,0,australia,imax 70mm,NA,dolby,,£4850,14537,£18128,19503," 8,107",15413," 7,645","17,447","11,911"
"Dec 15, 2024",ANIMATION,G,,3D,REBOOT,-999,spring,$50-150m,limited,Yes,1-3,US,digital,b-list,atmos,£18449,£8726,16759,18156,£18783,16709,5068,-999,missing,
05/12/2024,HORROR,,English, imax ,reboot,sony,summer,>$150m,-999,NO,0,AUSTRALIA,FILM,newcomer,Dts,£9333,"11,760",4093,,17185,£9329,"11,950",NaN,12727,3385
"Jul 09, 2023",drama,G,NaN,-999,REBOOT,disney,WINTER,-999,limited,yes,0,Uk,Film,NA,Atmos,7411,NaN,7849,£14382,5652,12554,NA,6841,9489,11612
2022-04-13,comedy,NaN,mandarin,2d,Standalone,disney,winter,<$10m,direct-to-dvd,NO,NA,UK,Imax 70mm,b-list,dts," 9,619",1082,1556,13725,,"16,382",10465,NaN,16775,3218
03/10/2022,action,G,spanish,2d,Reboot,Paramount,summer,$10-50m,direct-To-Dvd,missing,4-7,uk,missing,NaN,atmos,-999,NaN,missing,14250,£5013,1344,£3248,7268,-999,11777
"Apr 08, 2022", horror ,Pg,french,2d,Spin-Off,missing,SPRING,$10-50m, cinema ,Yes, 4-7 ,nz,IMAX 70MM,-999,Dts,8368,6086,3433,£9687,5250,,11173,9851,16179,18181
27/07/2023,COMEDY,18,spanish,2D,missing,PARAMOUNT,autumn,$50-150m,limited,no,1-3,Canada,missing,Newcomer,atmos,7122,5616,16304,6901,15859,53,NA,£3512,£18373,17459
28/06/2021,documentary, 12a ,spanish,2D,SPIN-OFF,universal,autumn,<$10M,direct-To-Dvd,yes,4-7,australia,digital,b-list,dolby,£12886,"11,191",£3785,2963,£13199,2189,11536,NaN,3071,7766
2022-02-04,Comedy,R,hindi,NaN,FRANCHISE,DISNEY,Winter,$50-150m,missing, no ,0,australia,film,a-list,Dolby,15296,8696,12780,10682,6798,£7284,"14,870",19570,-999,£12886
2021-08-29,animation,15,missing,missing,missing,Disney,AUTUMN,<$10M,Streaming,yes,4-7,nz,Imax 70mm,newcomer,-999,£6238,17027," 1,568",NaN,2125,missing,4590,9820,13558,"18,691"
2024-04-04,comedy,G,FRENCH,2d,SPIN-OFF,universal,NaN,>$150m,LIMITED,NO,missing,CANADA,digital,newcomer,dts,NaN,3177,£6801,"14,639",14644,14375,missing,13213,11582,11266
17/01/2022,comedy,pg,hindi,STREAMING,franchise,,SUMMER,>$150m,Limited,yes,4-7,uk,film,newcomer,NA,   927,£19631,£7903,6144,"11,533",-999,9756," 9,808",9490,£5135
