DATE,genre,format,language, mood ,decade, Label ,EXPLICIT, chartPosBand ,Instrument Focus,Live/Studio, GRAMMY WON ,remastered,PLAYLIST TYPE?,audienceAge,REGION POPULARITY,Streams M,salesK,LISTENERS K, peakPos , weeks charted ,Tour Gross £M,track_length_s,bpm,Key,energy%
2022-06-16,classical,CASSETTE, german ,angry, 90s ,indie,YES,Top-40,drums,STUDIO,1-3,yes,FOCUS,seniors,latam,15514,16531,£10479,19270,11435,12313,3327,£12071,3093,2098
27/07/2021,-999,CD,french,Energetic,2000s,sony,Yes,uncharted,piano,Studio,8+,yes,workout,adults,asia,3789,2899,18174,"17,480",19013,8990,14389,7916,,£8424
2022-12-05,jazz,CD, spanish ,ENERGETIC,80s,NA,-999,top-40,strings,LIVE,4-7,No,NA,seniors,eu,4293,12694,7082,11154,15200,1383,3544,6033,"19,245",   779
2022-01-07,jazz,cassette,SPANISH,Sad,80s,warner,yes,top-10,drums,studio, 1-3 ,no,mood,kids, Us ,5220,"14,331",6437,3509,   871,6480," 7,827",379,£10014,18629
2022-10-19,NaN,Live,french,Sad,70s,universal,yes,top-40,guitar,studio,1-3,No, Party ,SENIORS,missing,9037,9717,18346,13296,2337,3807,10965,19182,"17,955",3955
NaN,hip-Hop,Live,french,chill,2020s,warner,YES,uncharted,Strings,NA,8+,no,Party,KIDS,eu,16966,£15383,NaN,£14177,NA,,-999,6706,1307,£9543
03/10/2024, HIP-HOP ,STREAMING,spanish,Chill,2020s,Indie,no,top-40,SYNTH,studio,1-3,Yes,NaN,kids,eu,1575,7988,"10,304",10961,NaN,£8963,£221,-999,,£10238
04/01/2024,edm,Cd,KOREAN,ENERGETIC,80S,indie,yes,-999, Strings , Live ,1-3,yes,Workout,seniors,eu,,9651,£9782,15704,£18065,"16,364",6735,15782,NA,13574
2022-09-06,EDM,cassette,english,NA,80s,sony, No ,top-10,piano,LIVE,4-7, yes , Party ,seniors, Latam ,£1856,£18149,10537," 4,506",6502,14000,£3757,"10,850",missing,18222
10/05/2021,,vinyl,english,missing,90s,missing,yes,top-40,GUITAR,Live,missing,Yes,-999,teens, latam ,12087,NA," 2,405",5470,19714,,2530,missing," 9,662"," 5,850"
"Sep 22, 2021",Pop,NaN,english,sad,2020s, universal ,NA,Top-100,Drums,Studio,4-7,Yes,Party,Teens,eu,12663,NA,9946,14917,"11,513",£12369,7661,11406,14643,2428
24/11/2022,Edm,streaming,,happy,2010s,INDIE,Yes,top-10,piano,live,4-7,yes,workout,Seniors,us,3445,£15114,10615,,13793,4275,8919,15320,£10440,4304
2023-02-13,classical,-999,Korean,chill,70s,NA,NA,Top-100,guitar, STUDIO ,0,yes,mood, adults ,UK,,15214,£6203,7535,5877,"11,782",-999,£7951,"12,533",1520
,JAZZ,NA,french,chill,70s, indie , yes ,Uncharted,piano,live,1-3,NO,workout,ADULTS,eu," 5,479",9793,£3286,18518,"12,033",£2509,18562,," 9,403",9328
2022-10-13,Hip-Hop, cd ,korean,sad,90s,Warner,no,-999,synth,LIVE,-999,Yes,focus,teens,UK,12912,12810,£205,NA,12044," 7,588",£3457," 3,012",1503,£7206
14/01/2022,ROCK,cassette,german,energetic,2010S, indie ,yes,UNCHARTED,SYNTH,live,1-3,-999,mood,-999,us,£16482,£17393,2009,"11,003",   236,"11,094",   156,"19,318",987,"15,102"
"Oct 10, 2023",NaN,CD,english,missing,90s,universal,yes,uncharted,Piano,STUDIO,8+,yes, focus ,teens,NA,1938,NA,4500,10564,£12565,5472,9305,£12563,11556,10641
NA,edm,Streaming, korean ,happy,80s,sony,NO,uncharted,GUITAR,studio,8+,yes,workout,seniors,,£13980,NA,£13405,1600,missing,missing,£14381,16267," 5,026",8257
01/01/2023,edm,vinyl,english,energetic,80S,warner,YES,top-40,synth,live, 0 ,Yes,Sleep,Teens,UK,14684,8134,7780,,14102,missing,10200,6965,15943,13583
26/06/2023, hip-hop ,NaN,spanish,angry,70s,universal, yes ,TOP-10,guitar,live,4-7,yes,workout,kids,-999,"11,119"," 4,075",5553,1832,£11501," 8,462"," 8,392",6023,14086,-999
03/02/2021,pop,live,english,NaN,2010s,INDIE,No,UNCHARTED,drums,STUDIO,,YES,party,Seniors,Uk,"19,079",-999,£2458,NaN,NaN,83,£1006," 2,625",NaN,"16,262"
2023-05-26,rock,live,spanish, Happy ,90S,Indie,No, UNCHARTED ,synth,Studio,4-7,NA,party,adults,EU,4692,"14,698","17,834",18033,15097,2211," 7,715",18043,missing,918
2024-11-13,ROCK,live,Spanish,ENERGETIC,90s,sony,NO,TOP-100,strings,Live,4-7,yes,MOOD,adults,us,8486,17987,   775,£15653,£7703,12743,£1987,£591,"16,035",5909
09/08/2023,rock,Live,french,Sad,80s,Universal,no, TOP-40 ,drums,live,missing,no,Mood,seniors,latam,17098,missing,13422,19674,9481,6125,missing,-999,£15452,£16157
2023-10-22,POP,cassette,spanish,happy,80s,Warner,no,NaN,guitar,studio,1-3,no,party,teens,latam,8074,£1516,"16,032",19501,9486,£11516,14205,14180,£7689,7840
2023-04-01,jazz,NA,GERMAN,ANGRY,2000s,indie,Yes,missing,strings, studio ,1-3,yes,Mood,Kids,eu,14895," 6,343",12030,11519,13524,170,16910,£16060,16237,10721
2021-04-12,NaN,cd,GERMAN,missing,2010s, INDIE ,missing,TOP-40,piano, LIVE ,4-7, yes ,NaN,kids,latam,8871,13663,6312,2428,14568,4341,£13059,457,8565,£11993
"Apr 24, 2024", CLASSICAL , cd ,spanish,happy,2020s,warner,no,TOP-10,-999,STUDIO,4-7,No,sleep,Teens,latam,NA,£17611,17398,13946,NaN,17741,14642,NA,missing,"15,552"
13/11/2024,hip-hop,missing, french ,SAD,NaN,NaN,yes,top-10,Synth,studio,4-7,no,Workout,Teens,latam,"13,657"," 2,283",NaN,missing,£4679,9698,NA,NaN,,"15,517"
2021-08-19,hip-hop,vinyl,KOREAN,ENERGETIC,2020s,SONY,no,TOP-40,guitar,live,4-7,No,Sleep,teens,Us,,18940,4854,12122,12165,£14204,1081,£6395,8315," 5,335"
2021-04-07,Classical,vinyl,french,energetic,2000s,NA,,missing,synth,STUDIO,NaN,NO, workout ,Teens, Asia ,,5265,"13,283",11458,7257,,,"11,311",2580,1491
2022-01-11, edm , CASSETTE ,spanish,chill,NA,warner,yes,Uncharted,strings,live,4-7,yes,SLEEP,adults,missing,£12891,8615,," 9,897",£10447,12452,15746,,£4063,10585
2021-04-21,classical, Cd ,french,happy, 80s ,indie,NO,top-10,guitar,studio,0,yes,Party,teens,US,9261,£7167,11109,18234,10260,9921,8771,6169,£2515,£19448
01/09/2024,missing,vinyl,English,sad,90s,indie,NO,missing,-999,LIVE,1-3,NO,WORKOUT,teens,Uk,missing,7265," 7,599",19095,£15063,NaN,14017,£6682,1124,8367
2021-08-13,JAZZ,cd,FRENCH,ANGRY,2010s,sony,yes,missing,Drums,studio,0,no,MOOD,teens,Eu,8564,10536,5610,17519,£10119,,18092,11018,6184,NA
2024-03-13,Pop,live,french,happy,2020s,indie,yes,top-10,piano,-999,NaN,yes,Party,NA,us,£14927,7298,6139,,7831,£2831,6160,11371,"10,988",£19723
14/02/2024,Edm,streaming,korean,happy,2010s,universal,missing,,GUITAR,Live, 1-3 ,yes,FOCUS,TEENS, UK ,-999,4080,-999," 2,168",£14553,8752,19044,£16313,16069,8165
2024-10-11,classical,STREAMING,korean,energetic, 2020s ,missing,yes,TOP-100,piano,Studio,-999,NA,mood,Kids,US,£5104,"11,854",-999,NaN,£12473,-999," 8,141",£17374," 4,651",18382
NaN,rock,vinyl,KOREAN,happy, 2020s ,warner,no,top-40,SYNTH, live ,4-7,Yes, sleep ,seniors,Asia,15626,15232,NaN,"18,999",8606,18076,2710,"13,809",3948,15870
2023-01-15,NA,Live,Spanish,energetic,2010s,UNIVERSAL,yes,-999,guitar,studio,4-7,Yes,NaN,teens,uk,missing,2951," 8,391",2762,£13072,16040,1487,missing,£7883,15472
2022-09-03,classical,cd,spanish,happy,2010s,Sony,YES,top-10,synth,studio,missing,No,PARTY,kids,Latam,missing,missing,-999,£859,6419,19131," 9,299","14,475",missing,4019
2022-08-31,rock,cd,german,Sad,70S,missing,YES, Top-100 ,NA,Live,8+,yes,Workout,KIDS,US,13436,£8500,£5103,missing,16698,£9942,NA,18152,1350,11187
NaN,Jazz,cd,FRENCH,chill,2000s,sony,no,top-100,synth,Studio,8+,no,workout,kids,latam,-999,10273,missing,NA,NaN,,13205,£8182,19352," 6,693"
25/04/2021,hip-Hop,streaming,KOREAN,angry,,Warner,missing, top-10 ,SYNTH,live,4-7,Yes,sleep,,uk,,£17382,7173,-999,17552,16746,NaN,6512,14886,15845
2021-06-07,edm,cassette,Spanish,happy,70s, warner ,No,Top-40, piano ,live,1-3,No,NA,KIDS,uk,901,11687,8259,£19181,14072,13921,17076,2453,£13475,16785
NA,classical,streaming,german,sad,2010S,missing,no,top-100,strings,Studio,4-7,NO,Party,seniors,,14343,£8025,9989,18899,1413,£11266,8618,7275,£17056,3101
22/02/2024,CLASSICAL,cd,english, happy ,2000S,warner,NA,NA,PIANO,STUDIO,8+,yes,NaN,TEENS,Eu,£4245,3552,NA," 8,610",8661,9135,"15,935",8270,£2989,12019
2022-07-22,pop,cassette,SPANISH,sad,2000S, universal ,yes,UNCHARTED,PIANO,STUDIO,8+,NA,workout,KIDS,latam," 3,830",17438,16776,£9758," 4,839",18188,8008,15872,10792,5238
29/10/2024,JAZZ,LIVE,german,energetic,2010s,universal,yes,top-40,,live,missing,no,workout,adults,eu,8095,1368,-999,17,13262,16263,,18282,£17827,missing
2021-05-20,hip-hop,streaming,English, sad ,NA,-999,no,top-100,Drums,Studio,NA,Yes,sleep,Seniors,LATAM," 9,266",6886,7484,,-999,17967,£3170,3895," 3,651",131
23/12/2021,hip-Hop,cassette,english,chill,80s,sony,no,uncharted,NA,NaN,-999,YES,MOOD,seniors,eu,-999," 9,111",NA,£15016,"12,608",13221,3149,NA," 8,604",-999
2021-12-02,JAZZ,VINYL,-999,happy,2000s,-999,no,missing,synth,studio,8+,no,NaN,kids,Us,8114,2788,"12,862",£2236,7468,1499,10343,£5183,£3438,NaN
missing,pop,Cd, french ,missing,2000s,universal,no,top-10,NA,live,8+,no,mood,kids,Uk,   960,3217,19864,9708,14772,£9766,13886,18436," 5,500",2118
NA,edm,VINYL,english,chill,70s,missing,YES, top-10 ,piano,studio,8+,yes,FOCUS,Teens,ASIA,£14283,£4769,16216,"15,885",14748,11362,13384,19643,9213,8028
2023-07-17,pop,vinyl,English,happy,2020S, warner ,no,top-10,synth,Live,0,yes,mood,,Uk,13923,13419,NaN,2643,3687,£13454,5908,6725,NA,3930
31/07/2023,rock,STREAMING,german,chill,2010s,Universal, no ,top-40,STRINGS,studio,4-7, YES ,sleep,Seniors,Us,NaN,,19922,15848,8701,£17908,£2758,9625,14248,4014
"Aug 26, 2022",-999, streaming ,english,Angry,80S,Universal,yes,Uncharted,Drums,NA, 1-3 ,no,SLEEP, seniors ,us,missing,1829," 6,145",2507," 4,003",missing,14065,695,18907,4576
2021-05-01,,Streaming,SPANISH,Chill,80s,Sony,no,top-40,piano,live,0,YES,workout,adults,us,"16,243",3029,19432,17070,4303,10318,NaN,601,£3678,9125
"Dec 21, 2022",hip-hop,-999,Korean,chill,2000s,INDIE,NA,uncharted,,LIVE,NA,no,SLEEP, TEENS ,us,19734,10109,18479,2,16745,11457,15252,4611," 3,998",£8264
27/10/2022,rock,cassette,french,happy,-999,sony,-999,NaN, guitar ,-999,1-3,yes,mood,-999,UK," 7,992",12702,missing,4513,£5693," 2,100",11041,5137,£7097,17821
26/04/2024,-999,Vinyl,NaN, chill ,2000S,universal,missing,TOP-40,NA,studio,1-3,yes,sleep,seniors,,1073,19127,-999,NaN,11388,"13,209",15441,£4102,15738,4602
2023-10-05,JAZZ,Vinyl,spanish,sad,70s,universal,NO,top-10,strings,live,1-3,no,missing,Kids,ASIA,£7536," 8,121",8345,missing,12461,NA,£19785,14392,-999,6647
29/12/2024,HIP-HOP,NA,Korean,happy,90s,universal,yes,top-10,synth,Live,0,no,Workout,teens,asia,9983,-999,7182,,missing,17052,12360,NA,545,6989
"Apr 02, 2023",pop,, korean ,sad, 2010s ,Warner, yes ,NaN,SYNTH,-999,4-7,No,NaN,Adults,eu,1218,"15,120",4523,,9780,6883,-999,£14176,16344,730
15/11/2022,pop,cassette,spanish,sad,70s,universal,NaN, top-10 ,Piano,live,0,Yes,mood,seniors,Eu,7535,missing,£10938,10924,£8435,£3182,"12,310",344,"17,524",12654
14/06/2023,rock,vinyl,korean,angry,2000s,missing,NaN,TOP-100, STRINGS ,studio,1-3,NaN,party,kids,asia,6448,285,"16,164",19958,15838,11754,missing,2205,3687,"18,791"
07/10/2022,JAZZ,,French,CHILL,2000s,Warner, NO ,missing, GUITAR ,-999,1-3,no,focus,ADULTS,latam,2695," 1,269",1446,"11,649",13899,£7146," 3,929",10149,1271,5992
19/07/2023,rock, cassette ,english,Energetic,2000s, universal ,yes,top-40,STRINGS,,8+,No,workout,Adults,asia,£12014,15467,5326,5589,14378,1577,NA,"19,821",missing,5420
2022-07-19,hip-Hop,Vinyl,Spanish,sad,80s,UNIVERSAL,yes,NaN,Guitar,live,8+,YES,mood,kids,missing,12960,18958,-999,7681,2110," 8,478",13963,13247,5767,3191
"Jan 22, 2022",,vinyl,german,ENERGETIC,80s,universal,No,Top-100, SYNTH ,live,4-7,no,Focus,teens,asia,731,17845,7572,9885," 8,017",15580,9939,,£2196,
2022-03-10,CLASSICAL,Vinyl,GERMAN,happy,2010S,sony,-999,top-40,STRINGS,live,NaN,yes,-999,Teens,ASIA,12434," 5,843",9612,"11,806",9406,9739,3709,£10674,17382,£18623
2023-05-27,classical,streaming,, ANGRY ,70s,sony,NO,Top-40,Strings,live,4-7,No,mood,adults, asia ,," 7,060",18179,15201,12018,"11,559",13348,18013,3191,£4645
2024-12-28,classical,CD,korean,sad,90s,indie,no,Top-10,synth,studio,1-3,YES,NA,teens,Uk,9309,£19142,,11422,£8163,£14073,14956,"15,298",5609,£4595
08/07/2021,NaN,-999,spanish, energetic ,2020s, warner ,NO,top-100,drums,live,1-3,no,Workout,TEENS,EU,15738,£353,11069,3145,2947,7369,NA,16993,missing,
,missing,cassette,spanish, HAPPY ,80s,universal,no,top-100,,LIVE,4-7,NO,NA,adults,uk,13757,4846,NaN,-999,3709,7574,NA,5877,£16547,£17655
2022-05-02,-999,, english ,chill,missing,sony,NaN,Top-40,DRUMS,STUDIO,0,YES,FOCUS,kids,Latam,4101,43,£14409,4652,3572,4938,15688,12484,,16299
27/10/2024,hip-hop,live,korean,ENERGETIC,2020s,INDIE,missing,top-40,piano,studio,4-7,NaN,FOCUS, teens ,US," 7,417",6363,£9131,-999,NA,10244,17446," 4,404",19212,-999
2024-04-30,edm,STREAMING, spanish ,energetic,90s,universal,no,uncharted,strings,live,8+,YES,focus,seniors,asia,18914,6507,,-999,NA,missing,NaN,11919," 4,807",2798
2021-02-19,pop,,spanish,energetic,2000s,indie,-999,TOP-40,synth,Studio,8+,yes,Focus,Seniors,us," 2,253",15694,5775,,£15150,£18249,10587,"18,167","14,415","13,042"
2023-01-07,rock,cd,NA,HAPPY,2000s,universal,yes,top-10,PIANO,NA,8+,Yes,missing,ADULTS,uk,7343," 1,736",16812,17094,15252,19848,14515,£10590,15512,£11670
06/10/2022,hip-hop,CD,korean,happy,2020s,SONY,Yes,top-100,guitar,,4-7,Yes,MOOD,seniors,latam,"19,067",354,-999,NA,17988," 1,793","15,855",19999,16955,missing
2022-12-09,classical,streaming,korean,angry,2010s,indie,NO,top-40,piano,Studio, 8+ ,no,sleep,kids,Eu,9410,NaN," 9,679",17433,"19,645","13,313",,"16,855",3822,£3997
2024-11-14,rock,streaming,korean, energetic ,2010s,-999,yes,Top-10,SYNTH, LIVE , 8+ ,yes,Workout,-999,us,199,15743,4780,4500,7200,£10248,16034,2587,£1418,17588
"Jun 25, 2024",-999,vinyl,SPANISH,ANGRY,2000s,indie,no,top-100,STRINGS,Studio,1-3,NaN,Mood,kids,-999,10571,"17,430",4980,8008,£13193,NaN,missing,"10,056",3158,£2960
2021-01-28,Classical,-999,GERMAN,Chill,2000s,UNIVERSAL,no,UNCHARTED,synth, live ,0,YES,workout,ADULTS,EU,19589,18215,NA,6725,9716,-999,2933,5532," 6,040",9195
24/06/2021,EDM,CD,english, chill ,missing, universal ,no,TOP-100,strings, studio , 1-3 ,No,Sleep,seniors,NaN,3314,,"18,867",missing,7044,£9793,2341,5444,5928,17929
2022-04-22,jazz,CASSETTE,spanish,ANGRY,2020s,indie, YES ,UNCHARTED,drums,STUDIO,NA, YES ,workout,kids, Latam ,7768,16658,NA,17056,13348,NaN,£18067,£17701,19621,"15,845"
06/08/2021,jazz,vinyl,korean,Angry,2010s,INDIE,no,Top-40,guitar,Live,4-7,NaN,workout,kids,US,16155,10523,17608,£13818,£4440,£10894,10470,5389,"16,048",8737
"May 15, 2024",POP,,missing,sad,2010s,universal,YES,missing,synth,Live,1-3,yes,Party,Adults,ASIA,8685,,7372,"10,196",11633,11257,£7796," 2,462",9963,11783
24/07/2021,rock,vinyl,FRENCH,happy,,indie,no,missing,drums, Live ,NaN,YES,mood,SENIORS,uk,,12956,12169,4238,19995,4849,NaN,£14855,381,missing
"Oct 16, 2021",JAZZ,missing,korean,Happy,2020S,indie,yes,top-10,synth,Live,1-3,no, mood ,Teens,latam,NaN,missing,18537,13978,£3906,7000," 8,698",17757,17748,1745
2023-01-31,HIP-HOP,VINYL, English ,,70s,warner,No,top-40, drums ,Studio,NaN,yes,MOOD,,latam,111,2054,£15168,19730,NA,12079,11132,£14764," 3,770",NaN
25/04/2022,hip-Hop,cd,French,SAD,2020s,universal,no,top-40,Drums,studio,4-7,yes,focus,Kids,uk,19622,NaN,16536,£16504," 5,568",NA,£12158,£7116,11980,15400
05/12/2022,HIP-HOP,LIVE,SPANISH,chill,70s,universal,no,top-10,missing,Live,8+,yes,Mood,adults,missing,11103,7429,-999,£7915,5077,17996,£1016,"10,575",17329,-999
2022-08-16,Rock,CD,German, chill ,80s, indie ,NA,top-100,, studio ,1-3,yes,NaN,teens,asia,15160,14239,,missing,£2835,"10,190",£14954,8163,£5207,15293
2021-04-22, jazz ,CASSETTE,Spanish,ENERGETIC,NaN,sony,no,UNCHARTED,synth,studio, 0 ,NO,NaN,adults,Us,5352,£7934,£19226,14008,6496,£14614,16111,NA,1744,11074
2021-09-20,HIP-HOP, streaming ,german,chill,NA,indie,yes,Top-10,guitar,Studio,1-3,no,mood,adults,UK,15541,£2974," 5,541",£4458,3837,4825,17278,NA,£10566,
"Feb 09, 2021",classical, streaming ,German, Chill ,90s, Universal ,NO,,NA,live, 0 ,No,party, SENIORS ,latam," 6,762",15848,5600,6227,15377,8789,5124,17377,16956,£11260
08/04/2023,pop, STREAMING ,KOREAN,sad,,universal,Yes,top-100,piano,Live,0,YES,mood,SENIORS,EU,15234,6200,4569,14416,11026,£9313,16387,£1292,NA,14375
03/12/2022, hip-hop , VINYL ,ENGLISH,Angry,2020s,sony,no,Top-40,DRUMS,-999,8+,No,party,teens,us,12282,13591,£13810,9715,"15,811",-999,19648,-999,£18104,"17,628"
23/10/2023,classical,VINYL,german,Angry,2000s,indie,no,top-10,strings,Live,8+,no,party,Seniors,UK,"16,499",17204,£1852,7217,11755,9740,10943,missing,£18545,6840
15/10/2024,jazz,Cd,korean,Sad,2020S,Universal,YES,Top-100,DRUMS,studio,0,yes,FOCUS,-999,latam,16955,4271,£1494,NA,£5299,16366,"13,612","18,475",5012,19512
2021-07-25,pop,cassette,french,angry,70s,missing, YES ,Top-100,guitar, studio ,1-3,no,Sleep,adults,NA,NaN,16814,£9293,19010,4832,2466,3398,-999,16184,7556
NaN,Rock,missing,english,happy,2020s,-999,yes,top-40,missing,live,0,no,workout,KIDS,uk,17976,NaN,£8166,5512,4134,£13693,£6006,1862,£12529,11021
"Nov 26, 2022",ROCK, Vinyl ,english,energetic,,NA,YES,top-100,strings,live,4-7,yes,focus,kids,-999,12296,1620,"19,951",-999,11608,missing,16336,10970,2732,£12595
08/07/2024,Hip-Hop,live,german, Happy ,90s,Universal,no,top-40, DRUMS ,live,NaN,NA,WORKOUT,, EU ,14688,6896," 5,913",missing,15413,1156,"19,173",12687,15278,12516
14/09/2022,Edm,cd,,chill,90s, universal ,NO,uncharted, guitar ,-999,4-7,NO,FOCUS,,us,£6661,NA,3129,"15,949",NA,17299,14759,2939,"13,887",£11598
2023-05-01,missing,vinyl, Korean ,ANGRY,2020s,universal,YES,top-40,strings,Live,8+,no,SLEEP,Kids,uk,13177,12772,NA,£3813,NA,6876,-999,15238,4253,9074
12/08/2022,HIP-HOP, Cd ,NaN,Happy,missing,Universal,no,top-100,,live,NaN,NO,Focus,Adults,Us," 4,500",£6125,12768,2173,£2437,"13,621",948,11321,18541,16270
2023-03-21,,CD,NA,energetic, 90s ,UNIVERSAL,-999,top-40,piano,studio,4-7,no,SLEEP,adults,UK,9205,missing,3049,£9977,NaN,2747,1227,14077,   207,14574
2022-10-24,hip-hop, vinyl ,ENGLISH,Chill,80s,indie,,top-100,guitar,live,0,NO,WORKOUT,teens,us,£2798,5593," 8,645",NaN,£16653,£1924,12281,£8207,,10240
,Rock,cd,NA, Chill ,90s,UNIVERSAL,NO,Top-100,strings,live, 1-3 ,no,mood,adults,Eu,NA,7488,3372,"11,598",15303,missing,13182,244,7558,£10730
2023-03-10,Edm,vinyl,english,missing,2010s,sony,NO,,strings,live,4-7,,party,Adults,Latam," 3,346",13434,10574,14944,missing,11521,"18,677"," 6,766","12,123",5185
10/03/2023,Rock,STREAMING,korean,energetic,2000S,indie,NA,top-100, PIANO ,Studio,1-3,no,NaN,ADULTS,NaN,NaN,7929,19133,"11,505",10351,1263,,"10,702",10845,16762
02/11/2021,NA,CASSETTE,Korean,sad,80s,Indie,no,top-10,strings,studio,1-3,no,mood,Adults,uk,£4189,5635,18971,,£14963,1146,15898,6001,2338,719
06/02/2021,EDM,Cd,NA,missing,2020s,sony,no,uncharted,guitar,NaN,8+,yes,NA,Teens,Uk," 6,693",7980,15614,£8532,"15,195",£15209,£5562,530,missing,2004
06/07/2023,Rock,STREAMING,german, Energetic ,2020s,WARNER,yes,top-40,drums,studio,1-3,,WORKOUT,seniors,missing," 2,679",£4447,1446,6282,1487,8817,£7536,5353,947,15199
01/06/2022,hip-Hop,cd,english,HAPPY,70s,universal,No,uncharted,guitar,Studio,0,Yes,party,kids,Uk,8793,963,£14111,-999,11091,5792,9953,"18,776",4672,13504
09/05/2023,edm,NA,spanish, sad ,2000s,,missing,top-100,Strings,,4-7,no,sleep,TEENS,Uk,10578,3073,4143,15378,£5880,4400,,"17,967",17081,16746
14/04/2023,classical,cd,missing,angry,80s,missing,yes,top-10,synth,NA,,Yes,Party,adults,us,12394,10269,6962," 1,789",16337,2516,-999,£142," 4,771",4284
01/05/2023,edm,LIVE, English , angry ,80S,Universal,yes,top-100, synth ,NaN,8+,YES,focus,adults,uk,11482,-999,12980,£4217,7421,4549,4082,£2235,-999,£9374
2023-12-23,rock,cd,english,ANGRY,2000s,warner,no,TOP-40,drums,LIVE,4-7,no,NaN,SENIORS,NA,"10,758",209,"13,018",NaN,"16,959","15,943",4117,"18,047",1903,9953
2021-12-25,rock, Vinyl ,english,sad,NA,universal,NO,NA, guitar ,Live, 0 ,NO,sleep,Kids,EU,16198,£17697,"19,797",9927,2084,£8,11206,"10,183",17095,£14844
2021-10-24,hip-hop,Live,english,happy,,indie,yes,top-40,Drums, live ,1-3,no, Focus ,Adults, asia ,"17,588",£11334,17672,14400,NaN,,16053,4003,NA,17260
2023-07-30,EDM,VINYL,korean,Sad,70s,SONY,missing,uncharted,,-999,0,YES,WORKOUT,teens,LATAM,missing,14317,5041,12002,,13643,,14708,£3086,5385
11/08/2024,Rock, cd ,spanish,chill,90s,sony,Yes,top-10,Guitar,live,4-7,yes, MOOD ,teens,US,£14154,5152,,£19498,£8810,"13,326","19,393",missing,1972,15532
2022-10-30,classical,Cd,french,ENERGETIC,90s,warner,no,top-100,GUITAR,STUDIO,1-3,-999,Sleep,TEENS,US,15757,10696,"10,269",£2591,9692,£19747,6697,12848,,missing
06/04/2023,Pop,cassette,korean,energetic,70s,warner,Yes,NA, strings ,Live,1-3,yes,FOCUS,Seniors,NA,1901,3598,16308,missing,4602,,15156,6126,missing,15776
2022-10-20,hip-hop,NA,german,energetic,2010S,sony,yes,top-10,piano,LIVE,1-3,No, mood ,Adults,Uk,£10654,NA,11993," 6,611",£7262,8389,-999,7293,NA,12612
20/04/2023,jazz,streaming,korean,chill,80S,universal,yes,top-10,missing,STUDIO, 0 ,Yes,mood,kids, Uk ,10175,"12,404","14,083",5185,£238,14340,11280,"19,760",4671,
2023-02-12,NaN,CASSETTE,english,chill,2000s,indie, yes ,top-10,PIANO,live,8+,No,SLEEP,Teens,ASIA,7336,£10599,18341,643,£1255,19244,16055,6696,9240,missing
05/04/2024,pop,cd,German,energetic,2010s,INDIE,no,top-10,Strings,live,1-3,no, workout , SENIORS ,eu,£16889,"18,507",13754,16713,9332,"19,843"," 8,473",12899,16228,£4898
27/01/2024,JAZZ,CASSETTE,french,Energetic, 70s ,universal,no,uncharted,guitar,studio,8+,yes,mood, kids ,ASIA,19646,16890,2701,1488,7121,1452,6507," 7,604",14198,3939
"Nov 09, 2021", pop ,Streaming,spanish,angry,2020S,universal,Yes,uncharted,SYNTH, studio ,0,NO,workout,kids,uk,£3962,"12,528",7856,7815,£17987,797,NA,18083,4609,£3109
02/09/2024, pop ,cassette,English,CHILL,2000s,Universal,No,top-40,PIANO,LIVE,4-7,No,party,Kids,Us,7911,13002,45,16082,-999,£16676,10613,4727,10137,1913
"Apr 20, 2022",classical,live,korean,chill,2010s,sony,Yes,top-40,Strings, STUDIO ,0,NA,focus,Adults,Asia,6155,3490,388,£10034,missing,missing,3511,NaN,12744,3191
,NA,live,korean,sad,2000s,,no,TOP-40,synth,STUDIO,8+,,Sleep,Seniors,latam,,6908,11539,missing,-999,£4504,9153,"12,096",6418,10988
28/03/2024,edm,NaN,GERMAN,energetic,70s,warner,NA,NA,Piano,Studio,0,Yes,party,seniors,ASIA,missing,£12033,4126,   787,11446,4084,,2471,5606,9682
13/06/2023,pop,vinyl,spanish,Happy,70s,,no,top-10,SYNTH,-999,4-7,no,party,kids,Latam,2059,NaN,794,16878,,17648,NA,9103," 2,287",15368
2024-10-29,classical,Streaming,german,CHILL,2020s,UNIVERSAL,no,Top-100,drums,missing,NA,no,focus,Adults,,910,7179,-999,3627,2502,2770,"16,766",£5473,1991,£3628
15/06/2022,Pop,cd,ENGLISH,chill,2010S,sony, no ,,synth,studio,4-7, no ,mood,Seniors,us,"12,840",6080,19158,-999,,2211,"17,908","11,670","13,099",10069
2024-03-20,hip-hop,live,spanish,happy,2000s,Sony,YES,uncharted,piano,studio,4-7,no,focus,adults,-999,"19,649",17404,16089,£19527," 1,551"," 4,396",£10689,6019," 4,099",11319
"Jun 13, 2023",Hip-Hop,Live, FRENCH ,happy,2000s,Sony,NO,Top-100,DRUMS,STUDIO,0,YES,FOCUS, kids ,LATAM," 3,496",14410,£8251,6619,,9668,"12,084",£9413," 3,633",£14770
2023-02-21,-999,cd,korean,angry,2010s,INDIE,No,top-40,,missing,0,no,workout,ADULTS,us,missing,8576,7402,16311,4295,£15256,2615," 9,240",15414,2499
missing,Jazz,cassette,german,,2000s,indie,No,TOP-40,guitar,studio,1-3,yes,Sleep,SENIORS,latam,6787,6201,16143,"14,611",9529,,"14,671",15147,1912,"11,956"
