DATE,make,model/,fuel_type?,transmission,Body Style, colour ,Drive Train,Trim Level,reg state, Emission Std ,Segment?,ownership type,insuranceGroup,warranty_status,MARKET REGION, ENGINE CC , horsepowerBhp ,TORQUE NM,co₂G/Km,Range Km,0-60 MPH S,fuelTankL,Boot L?,KERB WEIGHT KG,list_price_£?
09/10/2023,NaN,civic,hydrogen,dual-clutch,saloon,white,4wd,sport,new,ulez,C-COMPACT,private,11,Extended,NA,£15423,£11187,-999,£590,-999,18705,12209,"16,898",£568,14362
30/06/2021,vw,Focus,electric,Dual-Clutch,saloon,BLACK,4wd,premium,Imported,euro_4,c-compact,FLEET,31,extended,UK,£5013," 2,065","14,809",5966,£4215,11605,£12320,"11,644","13,760",2595
"Feb 27, 2024",audi,FOCUS, Petrol ,dual-Clutch,saloon,WHITE,NaN,SPORT,new,ulez,C-Compact,NaN,16,-999,eu,6995,4577,"13,695"," 7,270","16,202",12767,5640,1720,12303,missing
-999,AUDI,COROLLA,electric,Automatic,coupe,blue,rwd,sport, imported ,NaN,a-city,,47,in-Warranty,US,7348,15056,12678,11166,NaN,-999,,"18,755",NaN,14307
23/03/2024,missing,s60,HYDROGEN,Cvt,saloon,black,-999,premium,ex-lease,EURO 6,e-exec,FLEET,9,in-Warranty,Mea,7072,18745,15318,,£15499,8809,"19,071",£17499,4610,10285
2021-09-17, honda ,CIVIC,hydrogen,Manual,hatchback,BLUE,awd,base,New,euro 6,b-supermini,Demo,25,out-of-warranty,UK,424,15435,4928,1119,"15,320",10989,6272,13882,"10,435",13693
"May 03, 2022",TESLA,golf,ELECTRIC,CVT,COUPE,white,rwd,performance,ex-lease,EURO 4,c-compact,demo,34,extended,eu,19963,15819,544,£3770,8606,£4108,17032,"16,273",11666,NA
2024-10-15,Bmw,focus,DIESEL,manual,hatchback,BLUE,4wd,base,USED,ulez,d-Mid-Size,FLEET,4,missing,us,11642,5043,5903,1792,14669,7400,£4456,10708,NA,NaN
02/04/2024,Volvo,NA,Hydrogen,cvt,HATCHBACK,,Fwd,Performance,imported,Euro 5,d-mid-size,demo,36,extended,mea,NaN,NaN,£15745,"19,529",16847,"17,662",£13022,"12,587",13998,7830
2023-06-23,Ford,GOLF,diesel,cvt, saloon ,BLACK,4WD,sport,used,EURO 4,A-CITY,fleet,28,out-of-warranty,eu,16327,£3787,2576,"10,950",15643,1749,11113,19522,£13022,2073
14/01/2024,NA,320i,hybrid,cvt, suv ,BLUE,4WD,Sport,new,Euro 6,D-Mid-Size,Hire,1,In-Warranty,eu,6361,9858,-999," 1,811",7216,17384,£3629,"10,186",11987,2823
"Jun 21, 2022",TESLA,s60,PETROL,cvt,ESTATE,SILVER,rwd,Luxury,ex-lease,euro5,c-Compact,hire,31,OUT-OF-WARRANTY,eu,1148,16874,1138,£927,1300,£7831,£19534,5464," 5,658",
04/10/2021,Vw,320i, DIESEL ,-999,saloon,BLACK,Fwd,premium,Imported,euro_4,d-Mid-Size,FLEET,1,IN-WARRANTY, Uk ,"16,835",9450,3421,-999,10531,missing,missing,-999,£14411,17720
,volvo,a4,hybrid,Automatic,HATCHBACK,red,RWD,Base,NEW,Euro 4,D-MID-SIZE,fleet,8,out-of-warranty,-999,£7950,"10,208",3545,7460,£8825,2921,807,7051,2415,489
18/05/2022,Bmw,a4,hybrid,cvt,estate,red,missing,SPORT,Ex-Lease,, a-City ,hire,31,in-warranty,mea,11966,1523,-999,14361,6154,19991,NaN,£3049,709,£4506
2021-09-21,volvo,-999,diesel,-999,Hatchback,Grey,fwd,base,NaN,ulez,NA,private,43,NA,mea,4720,8256,"16,699",19987,£15667,£13613," 2,746",£3046,3433,"17,381"
03/07/2024,,model3,hybrid,CVT,hatchback,grey,awd,premium,EX-LEASE,ULEZ,A-CITY,Demo,16,out-of-warranty,mea," 9,962",16919," 4,616",10885,11005,£6481,17150,3838,1813,18042
16/03/2022,tesla,Civic,hydrogen,NaN,Suv,black,NA,sport,imported,EURO 6,a-city,-999,24, extended , uk ,£14926,£1064,"17,254","12,823",£1872,20,6810,13092,,missing
2024-10-02,Ford,S60,petrol,cvt,estate,grey,awd,Premium,imported,Euro 6,c-compact, Fleet ,45,IN-WARRANTY,mea,9878," 3,978",8603,10684,18648,9332," 1,494",£7034,19248,
2024-11-03,ford,corolla,electric,cvt,SUV,white,NaN,performance,ex-lease,euro4,b-supermini,Fleet,49, out-of-warranty ,APAC,4478,"13,129",8230,9196,£7406,17284,14938,19431," 3,317","11,022"
missing,Tesla, a4 ,DIESEL,missing,coupe,silver,rwd,SPORT,ex-Lease,Euro 6,e-exec,NaN,34,extended,apac,7933,missing,18585,NaN,2013,16458,10089,NA,17475,6436
2023-01-06,audi,Civic,hybrid,automatic,saloon,silver,Awd,-999,ex-lease, Euro 5 ,A-CITY,fleet,7,out-of-warranty,Us," 9,120",16910,14650,15888,NA,£374,18935,£4729,11485,£14634
2024-09-29,toyota,a4,diesel,Automatic,NaN,GREY,Awd,performance,used,euro 4,NA, demo ,37,IN-WARRANTY,MEA,NA,"15,114","17,541",72,6931," 5,130",6635,17124,£18360,11289
2021-04-08, volvo ,S60,Hybrid, dual-clutch , SUV ,Blue,awd,premium,imported,Euro 6,d-mid-size,HIRE,21,Out-Of-Warranty,eu,NA,-999,£8886,19357,9047,5455,£2998,3203,7077,10791
2021-04-16,ford,golf,PETROL,manual,estate,Grey,4wd,-999,Used,-999,d-Mid-Size, private ,37,extended, APAC ,missing," 1,575",1136,£1685," 2,552",1660,£19385,16377,    37,7097
11/08/2022,Bmw,a4,petrol, DUAL-CLUTCH ,coupe,silver,4wd,PREMIUM,EX-LEASE,euro 6,c-compact,Demo,19,extended,US,£16982,1870,10678,7437,4572,10810,680,8773,-999,£11623
05/11/2022,Tesla,golf,hybrid,dual-clutch,Suv,grey,Fwd,PREMIUM,imported, euro4 ,D-Mid-Size,HIRE,7,in-Warranty,Us,NA,"12,870",£15447,£13702,5894,7163,193,5548,14134,
"Nov 13, 2023",honda,,Hybrid,automatic,ESTATE,White,missing,NA,ex-lease,ULEZ,C-Compact,private,21, out-Of-Warranty ,Uk,478,1169,NA,15307,1789,18841,17028,2861,£10752," 7,448"
"Jun 26, 2023",honda,focus,-999,automatic,hatchback,BLUE,4wd,BASE,USED, Euro 4 ,c-compact,Hire, 47 , extended , us ,15598,£5140,13971,12678,10115,£5906,11924,15229,10542,13265
"Mar 20, 2021",Ford,MODEL 3,diesel,cvt,hatchback,BLUE,awd,LUXURY,new,euro_5,D-Mid-Size,FLEET,41,in-warranty,apac,2284,NaN,1002,13408,7111,missing,16859,17326,missing,14364
25/08/2024,toyota,s60,petrol,dual-clutch,Saloon,grey,fwd,LUXURY,new,missing,B-Supermini, DEMO ,30,missing,Eu,,"12,452",missing,212,805,-999,"15,224",1196,19000,missing
04/10/2021,toyota,NA,hybrid,,saloon,BLACK,4wd,Sport,imported,ULEZ,E-Exec,private,12,out-of-warranty,apac,-999,19342,13910,16960,NaN,"10,101",£8768,3740,6073," 5,655"
2024-12-20,TESLA,A4,hybrid,manual,estate,WHITE,missing,Performance,NEW,EURO 5,d-Mid-Size,fleet,8,NaN,EU,missing,15558,15535,,17465,,7285,282,11328,19729
2021-05-23,ford,a4,hydrogen,manual,SUV,blue,fwd, Performance ,ex-lease,EURO 6,-999,private,missing,in-warranty,us,3712,12867,9566,£2568,13294,14101,8933,£9764,7282,missing
2021-02-11,NA,focus,Hybrid,NaN,COUPE,blue,,NaN, Imported ,-999,B-Supermini, DEMO ,7, IN-WARRANTY ,uk,"13,423"," 4,737",17881,143,missing,14373,2071,3773,£18917,missing
08/01/2023,TOYOTA,focus, Electric ,Manual,estate,red,awd,NaN,imported,euro5,b-supermini,demo, 44 ,OUT-OF-WARRANTY,US,10587," 4,177",£7993," 8,214",4151,-999,13457,NA,NaN,827
23/02/2022,BMW,model3,petrol,Manual,Estate,NA, 4wd ,NaN,new,ulez,C-COMPACT,hire,30,extended, mea ,8053,3067,5905,8237,2262,15340,1594,6187,,1418
03/09/2022, honda ,model_3,PETROL,automatic,estate, White ,-999,missing,EX-LEASE,euro_6,b-supermini,fleet,46,extended,us,6837,£15140,17446,,£458,£19988,9722,3022,£14548,9703
2021-04-30,VW,CIVIC, hybrid ,dual-clutch,hatchback,blue,rwd,sport,new,euro_6,B-Supermini,FLEET,26,in-warranty,uk,6925,14165,19943,£3987,15843,15464,14729,£17948,"14,781",19906
2023-01-31,tesla,model 3,Diesel,Manual,NaN,silver,Fwd,luxury,imported,EURO 5, b-Supermini ,private,32,NA,Mea,2730,16312,1411,7899,3414,11241,12403,£17366," 6,530",203
NA,AUDI,A4,electric,manual,Suv,blue,rwd,premium,ex-Lease, Ulez ,b-Supermini,,8,in-warranty,eu,£7306,NaN,14557,2579,19265,£1261,£2834,NA,missing,3877
"Apr 05, 2023",NA,S60,diesel,NA,ESTATE,red,rwd,premium,ex-lease,Euro 5,-999,private,26,In-Warranty,apac,£2988,NaN,9897,1243,16390,12680,8560,"19,128",13031,16249
NA,,a4,NaN,CVT,coupe,blue,awd,BASE,NA,euro5,e-exec,private,42,Extended,NaN,17581,£19126,£4783,NaN,£19293,11621," 3,616",271,£15512,18681
-999, Ford ,320i,hydrogen,cvt,saloon,silver,4wd,SPORT,NA, Euro 4 ,NaN,hire,NaN, EXTENDED ,NA,-999,£7842,£10914,5264,1274,5663,NA,7985,18547,"10,255"
"Nov 29, 2021",FORD,model_3,hybrid,dual-clutch,SALOON,RED,fwd, PREMIUM , Imported ,euro 4,missing,NaN,26,NA,UK,,11293,10547,18144,NaN,-999," 7,813",£11876,,237
26/06/2021,TESLA,-999,hydrogen,CVT,saloon,Red, RWD ,Performance,New,euro 4,e-exec,,39,extended,uk,6104,17914,£2547,18701,5182,7775,£13953,7377,13121,18898
2023-09-02,Volvo,civic,missing,automatic,hatchback,Blue,4wd,LUXURY,USED,euro_5,a-city, fleet ,6,in-Warranty,mea,8097,5284,16004,628,16323,12675,11162,18136,£13667,5093
19/06/2021,vw,CIVIC,DIESEL,automatic,estate,NaN, Awd ,performance,New,EURO 4,c-compact,FLEET,30,Extended,apac,2468,2052,11147,"14,825",9817,9614,2073,1016,4161,4707
07/11/2022,tesla,corolla,Hybrid,cvt,estate,black,-999,LUXURY,new,EURO 4,missing,FLEET,50,in-Warranty,apac,16363,19959,7943,10746,11256,NaN,,2159,13832,4072
21/08/2023,vw,S60,,automatic,estate,black,4WD,SPORT,Used,EURO 4,B-SUPERMINI,fleet,34,in-warranty,eu," 8,081",10947," 3,591",£5399,"11,803",15167," 2,834",17780,17360,9097
22/05/2022,Toyota,model3,Hydrogen,Dual-Clutch,saloon,white,rwd,missing,,EURO 5,NA,private,27,out-Of-Warranty,Uk,3957,missing,-999,16535,7719,14308,6412,"17,524",£19942,2701
2023-08-11,bmw,golf,petrol,automatic,saloon,NaN,rwd,sport,NEW,Ulez,E-Exec,Hire,13,IN-WARRANTY,,"11,498",338,7923,4676,2529,NA,13138,"13,143",15898,NaN
05/03/2022, Audi ,corolla,NaN,manual,coupe,silver,awd,NA,used,euro6,NaN,private, 45 ,OUT-OF-WARRANTY,-999,11384,12314,£16426,14447,£2256,4639,10234,£13453,missing," 1,462"
"Apr 19, 2023",vw,, hybrid ,CVT,coupe,grey,NA,PREMIUM,NEW,ULEZ,C-Compact,Hire,41, In-Warranty ,-999,7210,1670,5577,18510,missing,1454," 1,056",17737,503,£17973
2023-05-28,VOLVO,A4,diesel,,suv,blue,4wd,luxury,new, ulez ,B-SUPERMINI,fleet,13,NA,uk,12575,13710,12242,£9106,10705,NaN,10146,12468,-999," 9,512"
"Mar 26, 2022",vw,civic,petrol,MANUAL,-999,NaN,awd, performance ,Used,ulez,a-city,hire,2,NaN,uk,"11,656"," 3,599",4990,£4091,266,722,NA,-999,NA,10926
09/01/2021, BMW ,320I, diesel ,Dual-Clutch,estate, red ,awd,sport,imported,Euro 4,D-MID-SIZE, fleet ,22,,MEA,19373,£2030,9383,£9344,8577," 9,449",9082,£19596,£6897,3447
"Sep 29, 2024",audi,golf,electric,dual-clutch,estate,silver,RWD,sport,-999,Euro 6,E-Exec,hire,41,NaN, UK ,17247,9692,2524,£4411,NA,4280,19943," 1,898",1979,6371
27/09/2024,AUDI,GOLF,hydrogen,cvt,suv,NA,4WD,luxury,EX-LEASE,EURO 4,D-MID-SIZE,Fleet,5,in-warranty,Apac,6997,£9630,18494,18843,£1532," 2,134",£12648,7452,£16518,7954
25/12/2024,NaN,,ELECTRIC,dual-Clutch,hatchback,red,fwd,sport,Used,-999,C-Compact,HIRE,41,extended,uk,"16,578",5991,3844,7900,"19,391",£7023,£18790,8853,16331,9612
18/09/2024,NA,-999,diesel,automatic,saloon,silver,awd,performance,ex-lease,euro 4,B-SUPERMINI,private,11, In-Warranty ,APAC," 9,778",12524,NaN,10024,3631,NaN,£8409,NA,8568,3041
14/07/2022,vw,NaN,diesel,cvt,estate,Grey,Fwd,sport,-999,euro 6,C-Compact,Private,NaN,, APAC ,131," 6,652",£18940," 3,349","18,929",missing,12259," 3,954",1967,£17617
01/06/2022,bmw,A4,electric,cvt,SALOON,,rwd, Premium ,used,euro4,B-SUPERMINI,-999,13,NaN, eu ,£11036,£4313,14910,£7585," 9,267",5021,18496,7460,578,
05/06/2023,tesla,golf,diesel,manual,Saloon,BLACK,4wd,SPORT,used,EURO 4, e-exec ,private,34,extended, uk ,14394,£1624,2552,NaN,£2121," 2,738",NaN,£15499,15059,9272
2021-03-12,VW,a4,petrol,Dual-Clutch,Saloon,silver,fwd,sport, EX-LEASE ,NaN,d-mid-size,private, 45 ,in-warranty,uk,NA,missing," 5,747",NaN,£1007,£10942,10464,NA,16093," 3,593"
21/11/2024,honda,FOCUS,petrol, Manual ,,BLUE,missing,PERFORMANCE,Ex-Lease,EURO 5,e-Exec,private,8,extended,us,9227,,2637,missing,"16,704",£12142,8498,-999,6739,missing
07/05/2021,toyota,model3,electric,Dual-Clutch,saloon,Grey,-999,PREMIUM,used,euro6,,PRIVATE,19,extended,Mea,1456,19173,"16,279",15091,£10222,"15,171",£11273,5858,£10354,£4011
17/10/2023,toyota,a4,diesel,NA,COUPE,blue,RWD,base,USED,euro_6,E-Exec,Hire,9,extended,UK,4487,   422,missing," 8,521",,2330,3691,£11557,19631,4545
11/02/2023,Ford,FOCUS,HYBRID,automatic,saloon, black ,AWD,sport,Used,EURO 4, D-Mid-Size ,fleet,40,IN-WARRANTY,NaN,-999,3942,£17018,-999," 9,398",16701,,"19,343","14,821",959
27/08/2021, tesla ,GOLF, hybrid ,Automatic,suv,Blue,4wd,sport,imported,NA,d-Mid-Size,PRIVATE,27,out-Of-Warranty,us,-999,4900," 5,066",missing,18194,17159,13111,18024,"11,584",15763
2021-12-06,bmw,s60,HYDROGEN,-999,estate,white,NA,luxury,ex-Lease,euro 4,e-exec,fleet,13,Extended,uk,-999,4440," 4,472",17657,£12506,"14,911",,14285,£6282,5903
16/07/2023,missing,a4,missing,cvt,Hatchback,white,Rwd,Base,imported,euro_6,C-COMPACT, hire ,35,in-warranty, APAC ,£9959,missing,,2057," 2,786",6196," 4,434",5353,£4589,NaN
2024-07-04,missing,320i,NaN,cvt,SUV, WHITE ,4wd, LUXURY ,imported,euro 4,e-exec,missing,50,In-Warranty,MEA,3254,NA,14561,5244,£13852,£18508," 5,097",£16551,"17,546",£10022
2022-12-03,tesla,Golf, Petrol ,Automatic,Estate,silver,NA,performance,USED,missing,A-City,hire,9,In-Warranty,Us,7013,13606," 4,549",£17570,NaN,3845,14076," 7,631",5558,18155
NA,FORD,civic,electric,Cvt,saloon,grey,awd,SPORT,EX-LEASE,Euro 4,E-EXEC, private ,27, EXTENDED ,eu,15461,missing,"18,382",8642,£17238,,£824,5938,14770,9450
2024-04-10,NaN,MODEL 3,ELECTRIC,dual-clutch,ESTATE,black,4wd,base,New,Euro 6,b-supermini, hire ,47,extended,uk,1119,12611,8202,£10301,-999,11219,missing,£9959,£3451,14716
"Jun 21, 2024", tesla ,CIVIC,Hybrid,Manual, hatchback ,Black,rwd,-999,imported,Ulez,a-city,DEMO, 30 ,out-Of-Warranty,apac,12987,"15,755",9804,£4223,16120,9829,1683,£19691,343,6844
2021-03-23,audi,focus,hybrid,automatic,estate,RED,rwd, performance ,Ex-Lease,Euro 6,b-Supermini,demo,40,in-Warranty,,NaN,11918,NA,"12,262",106,18485,£13739,2444,NA,£8739
2023-10-17,audi,Civic,petrol,Dual-Clutch,estate,BLUE,awd,premium,ex-lease,euro5,b-supermini,private,2,in-Warranty,US,1313," 4,331",£15679,722," 2,322",£7292,18667,"12,219",2990,19942
2023-12-06,vw,s60,electric,cvt,coupe,black,4wd,premium,new, euro4 ,D-Mid-Size,demo,43, in-warranty ,us,2324," 8,514","17,999",1591,14904,missing,-999,3590,6030,-999
20/02/2021,NA,MODEL 3,HYDROGEN,cvt,HATCHBACK,,4wd, sport ,NA, euro_6 ,E-Exec,HIRE,10,out-of-warranty,NaN,13384,10813,12225,15515,£10594,8854,NaN,3104,19347," 1,387"
2023-07-03,bmw,model 3,DIESEL,Cvt,Hatchback,RED,FWD,NaN,new,euro_5,B-SUPERMINI,fleet,3,in-Warranty,APAC,"18,530","17,809",£15016,3599,432,17858,£5835," 2,364",6765,3761
25/09/2024,audi,Corolla,Petrol,Cvt,Coupe,black,rwd,Luxury,NEW,Euro 5,B-SUPERMINI, Demo ,29,OUT-OF-WARRANTY,Apac,missing,"14,532",15706,NA,4547,£8037,2197,19855,15855,13072
13/08/2023,tesla,S60, petrol ,MANUAL,Estate,blue,,base,used,euro 6, A-CITY ,missing,missing,in-Warranty,Us,6798,£15179,15393,"14,071",12677,16114,15834,12896,10511,9159
20/08/2022,bmw,Model 3,diesel,manual,Suv,WHITE,Fwd,luxury,EX-LEASE,NaN,e-Exec,demo,14,Out-Of-Warranty,apac,7187,£3080,3692,NA,£16792," 9,257",missing," 7,808",5991,£3939
2023-02-02,bmw,320i,missing,dual-clutch,SALOON,black,RWD,PERFORMANCE,EX-LEASE,euro4,NaN,hire,13,Extended,Apac,19508,£2649,£4277,5082,19306,15436,73,NA,£8881,£2397
07/05/2024,vw,-999,hybrid,NaN,hatchback,BLUE,4WD,LUXURY,imported,ulez,d-mid-size,fleet,23,In-Warranty,mea,missing,£1873,£12978,8038,17888,£4564,1333,18691,18907,15859
09/12/2022,,s60,ELECTRIC,-999,estate,black,awd,luxury,used,euro6,b-Supermini,missing,32,extended,APAC,7633,6833,6246,19888,18233,7890,NA,150,18328,11839
24/03/2023,audi,model 3,diesel,AUTOMATIC,HATCHBACK,BLUE,4wd,-999,ex-Lease,euro5,a-City,private,24,extended,Eu,19517,6735,"15,844",NaN,8904,4774,"15,668",8732,5599,£5430
20/02/2024,volvo,-999,Hydrogen, dual-clutch ,SUV,red,AWD,luxury,Imported,euro 6,-999,fleet,-999,OUT-OF-WARRANTY,uk,6496,£12199,-999,2437," 6,173"," 4,861",13987,8333,£12829,2345
2021-09-30, audi ,golf,Electric,dual-Clutch,Coupe,NA,rwd,BASE,New,euro 6,b-supermini,fleet,43,In-Warranty,mea,4184,£18367,14191,15830," 7,713"," 2,084",9192,   629,13652,18923
25/08/2023,tesla,model3,hybrid,manual,coupe,white,rwd,performance,missing,Euro 6,e-Exec,hire,32,extended,Apac,"18,629",-999,16662,£8509,997,£4032,NaN," 5,080",13937,£7985
03/09/2022,bmw,NaN,Electric,Automatic,hatchback,SILVER,4wd,performance,NEW,euro 4,e-exec, demo ,32,Extended,APAC,3970,5026,4694,,"17,077",17962,15357,£14221,8267,14210
NA,honda,S60,hybrid,,estate,red,Awd,LUXURY,USED, Ulez ,d-mid-size,,7,out-Of-Warranty,NaN,2349,£8411,16361,11010,18460,5788,£10202,£831," 9,557",8156
22/08/2024,vw,model_3,Diesel,,-999,grey,4wd,sport,imported,NA,-999,private,12, EXTENDED ,APAC,6170,,10813,3540,16301,3782,"15,914",NaN,13128,11474
28/10/2023,BMW,a4,petrol,manual,saloon,Blue, awd ,sport,new,euro6, D-Mid-Size , Demo ,5, Out-Of-Warranty ,-999," 1,390","16,675",10859,3555,15662,," 6,243",17073,13893,5589
18/12/2023,tesla,A4,Petrol,-999,saloon,grey,RWD,Base,ex-lease,euro 4,a-city,Private,37,in-warranty,eu,12952,17418,13777,7892," 6,917",missing,13465,2249,4637,14327
02/11/2023, audi ,corolla,petrol,dual-clutch,SALOON,missing,fwd,sport,new,euro 6,e-Exec,FLEET,NaN,extended,eu,5703,NaN,15910,15337,4915," 9,558",NaN,2593,18954,16954
31/10/2022,Volvo,Golf,HYBRID,automatic,saloon,grey, 4wd ,luxury,new,euro5,b-supermini,PRIVATE,39,in-Warranty,uk,13111,19411,3424,£3297,12087,10366,   497,5016,NaN,4225
2022-08-15,toyota,s60,hybrid,MANUAL,-999,NA,Awd, Performance ,ex-Lease,euro 4,C-COMPACT,private,4,OUT-OF-WARRANTY,eu,11582,14480,1185,10160,12380,12797,£12234,£19231,£18432,12825
2021-05-28,honda,missing,HYBRID,Cvt,hatchback,blue,Fwd,Performance,new,Ulez,D-MID-SIZE,fleet, 12 ,out-of-warranty,Apac,10790,missing,1571,15278,"14,259",12231,10776," 4,310"," 9,120",missing
13/05/2022,Honda,CIVIC,NA,manual,estate,BLUE,AWD,performance,Ex-Lease,Euro 6,missing,hire,33,out-of-warranty,Eu,£4198,2246,13281,19308,2822,6302,1727,11850,18664,7857
2024-04-04,audi,S60,electric,cvt,,blue,rwd,premium,,euro 4,c-Compact, demo ,5,EXTENDED, UK ,,"19,290",2760,5161,681,   768,NaN,89," 8,703",£17941
2022-05-07,TESLA,focus,petrol,Dual-Clutch,-999,red,fwd,Base, imported , EURO 4 ,a-City,HIRE,36,out-of-warranty,APAC,9803,14595,"12,420",1470,8567,£1708,19455,missing,   768,
2022-12-28,vw, s60 ,Hybrid,cvt,estate,SILVER,missing,SPORT,new,ulez,b-supermini,hire,5,in-Warranty,Uk,NaN,6054,7242,NA,4248,,£17653,"16,202",16348,2478
04/12/2023,NaN,320i,diesel,DUAL-CLUTCH,saloon,Silver,4wd,sport,new,Euro 6,a-city,hire,NA,in-warranty,mea,9601,3996," 3,141",14137,19360,13455,7275,,7840,14823
2023-03-09,honda,golf,Hydrogen,,NA,WHITE,awd,premium,IMPORTED,EURO 4,a-city,private,missing,,apac,-999,£573,17701,11060," 9,325","17,579",4924,£6896,3978,£19587
2024-11-30,audi,civic,hydrogen,Manual, saloon ,silver,4wd,base,used,ulez,C-COMPACT,demo,NaN,In-Warranty,apac,-999,£8813,missing,1895,8332,7145,15248,£15387,£19417,12803
06/10/2024,vw,-999,-999,Cvt,estate,black,AWD,sport,used,Euro 6,a-city,demo,NA,Out-Of-Warranty,uk," 4,460",11674,5903,£18934,7957,NA,£12326,1043,missing,-999
02/11/2021,-999,GOLF,diesel,CVT,suv,black,fwd,sport,ex-lease,Euro 5,c-Compact,demo,42,OUT-OF-WARRANTY, eu ,13636,9908,missing,10987,"18,895",10322,-999,12239,NaN,11408
2024-03-12,Bmw,320i,hybrid,NaN,Saloon,White,FWD,Performance,EX-LEASE,Euro 4,E-EXEC,DEMO,31,extended,,£7699,7209,"11,797",6265,11020,12828,6138,£9892," 6,938",4645
2021-07-19,,NaN,HYDROGEN,AUTOMATIC,coupe,blue,,PREMIUM,NA,Euro 6,A-City,Demo,8,extended,eu,6590,"12,007",£5074," 6,407",missing,12997,5619,£15390,£1898,
missing,vw,golf,NaN,dual-Clutch,suv,SILVER,awd,premium,EX-LEASE,euro_5,B-SUPERMINI,demo,49,In-Warranty,MEA,4587,NaN,£14550,16,2887,14023,6127,£10460,7383,"16,973"
2024-08-06,audi,civic,Petrol,cvt,Hatchback,silver,FWD,base,USED, ulez ,a-city,FLEET,missing,NaN,eu,19978," 2,545",£2512,NA,10660,15895,9662,10239,£1893,missing
2024-08-11,missing,s60,Hybrid,NA,, WHITE , fwd ,premium,Imported,euro 5,NaN,fleet,22,in-Warranty,US,-999,16015,14176,1393,18489,7501,1300,£13932,   411,9411
03/11/2023,BMW, s60 ,diesel,AUTOMATIC,suv,BLUE,4wd, performance ,EX-LEASE,ulez,a-city, hire ,8,NA,eu,17440,15087,£11890,£4927,510,£10704,,2456,9593,1398
"Oct 25, 2021",NA,,electric,manual,hatchback, grey ,FWD,SPORT,Imported,-999,A-CITY,private,40,NA,Eu,   117,5513,NA,10195,NA,£5102,18112,£6548,5947," 4,527"
"Jun 24, 2023",ford,golf, diesel ,Automatic, coupe ,-999,NaN, base ,USED, ulez ,a-city,fleet,,missing,Uk,NaN,95," 9,247",13670,83,£19318,-999,17967,missing,4491
2023-01-26,toyota,320i,Hydrogen,dual-Clutch,suv,grey,NA,-999,Used,,A-City,DEMO,missing,Out-Of-Warranty,mea,£1496,missing," 3,439",2178,17224,£17369,693,12601,17503,7543
11/01/2022,TESLA,COROLLA,ELECTRIC,dual-clutch,hatchback,blue,RWD, luxury ,-999,ulez,e-exec,hire,21,Out-Of-Warranty,EU,897,    99,14297,8678,£779,6607,6485,£17563,19125,11618
31/07/2024,honda,Focus,hydrogen,DUAL-CLUTCH, estate ,blue,4wd, SPORT ,Imported,ulez,,demo,18,out-of-warranty,US,3577,£4457,7832,£2516,"15,461",15369,7673,4762,NA,"17,188"
07/09/2021,FORD, corolla ,Hybrid,dual-clutch,Suv,blue,4wd,luxury,new,euro6,d-mid-size, fleet , 19 ,In-Warranty,US,   921,19222,NA,2516,15205,£11598,13556,"15,042"," 1,757",2214
2024-09-25,Ford,320i,electric,automatic,Suv,Silver, rwd ,performance,USED,euro 5,B-SUPERMINI,fleet,,extended,uk,£19112,missing," 5,941","14,198",8896,8735,£15918,8723,8169," 8,342"
03/05/2021,,320i,NA,manual,saloon,silver,awd,premium, new , euro_6 ,c-Compact,Private,26,-999,-999,17972,missing,8453,"18,860",14055,"19,758",11497,14146,1524,5852
22/06/2022,Vw,A4,HYBRID, AUTOMATIC ,Suv,RED,fwd,luxury,imported,Euro 5,B-Supermini,demo,17,out-Of-Warranty,us,NaN,13187,"10,873",missing,16772,4508,9595,7586,10051,13421
18/06/2021,VW,Corolla,petrol, manual ,NaN,silver,rwd,NA,NA,euro_6,c-compact,hire,missing,NaN,NA," 8,676",15634,£14125,NA,10621,7739,10983,3262,14199,527
"Feb 19, 2021",VW,civic,-999,NA,Suv,Black,FWD,base,Imported,NaN,A-CITY,hire,8,Extended,us,10965,£17165,10759,£16333,19271,£3745,7747,690,"17,349",-999
29/10/2023,NA,Golf,petrol,cvt,Hatchback,silver,Awd,LUXURY,New,EURO 6,A-City,fleet,44, EXTENDED ,NA,£5840,14382,12623," 3,449","12,371",NaN,£6405,8882,8290,£12830
21/07/2024,volvo,model3,NA,automatic,ESTATE, blue ,-999,base, new ,euro5,c-compact,PRIVATE, 30 ,Out-Of-Warranty,Eu,£14133,130,"15,352"," 7,961",8472,1395,£7020,"15,413",NA,3906
"Mar 11, 2021",tesla, S60 ,Petrol,DUAL-CLUTCH,suv,NaN,Fwd,base,new,,c-compact,fleet,46,out-of-warranty,uk,17131," 1,180","12,466",£11038,959,£19408,13634,,,9511
2024-02-23,audi,NA, DIESEL ,Automatic,Coupe,silver,4wd,SPORT,ex-Lease,EURO 4,a-city,PRIVATE,34,extended,mea," 3,092"," 7,042",9655,7440,£11255,18979,15219," 1,796",16868,9024
27/12/2024,vw,focus,diesel,NaN,suv,Grey, rwd ,PERFORMANCE,new,ulez,c-compact,fleet, 47 ,IN-WARRANTY,apac,9240," 9,291",15845,£9426,17161,missing,4485,13443,NaN,2944
2024-03-10,missing,-999,hydrogen,manual,coupe,grey,fwd,base,imported,Euro 5,missing,missing,36, Extended ,,£8753,7162,4447,,£16878,,9292,7967,-999,8601
