DATE, transport mode , purpose , Class ,TICKET TYPE,bookingChannel,airline/Carrier,loyaltyTier, seat_preference ,accom_type,continent,Visa Required,Season,travel insurance,currency,Duration Band,distance_km,co₂_kg, trip cost £ ,DAYS AWAY, stops ,Layover H,bags,Delay Min,travel_speed_km/h,LOYALTY POINTS
11/05/2022,Bike,relocation,economy, open ,walk-in,ba,bronze,Middle,HOSTEL,asia,no,high,none,jpy, 2-4w ,£17084,18372,2204,7408,"18,418"," 5,250",4170,£8428,6272,164
04/01/2021,bus,event,Business,ONE-WAY,missing,Lufthansa,GOLD,MIDDLE,hotel,N. AMERICA,No,low,none,gbp,<3d,8755,"10,376",9297,19669,,15620,1558,14879,£12686,£4391
2022-04-24,Plane,event,premium,open,online,ba,Silver,NA,,europe,NO,LOW,NONE,usd,3-7d,19074,18283,8706,11638,14343,11033,7548,-999,9105,£17661
07/02/2023, boat ,BACKPACKING,first,one-Way,AGENT,qatar,platinum,middle,couchsurf,africa,no, low ,none,gbp,<3d,18409,5761,8016,11596,missing,£8787,19387,£17921,missing,14050
10/02/2023,bike,EVENT,missing,return,ONLINE,emirates,gold,BULKHEAD,resort,europe,yes,,Comprehensive,jpy,2-4w,£4213,"14,232",,,360,15007,£15370,1914,18278,13541
2024-04-29,Bus,backpacking,missing,return,app,emirates,Bronze,NaN,resort,n. america,No,HIGH, comprehensive ,eur,2-4w,13473,£19004,"12,372",£3624,1680,£18741,7855,10004,"13,457",13303
missing,BIKE,holiday,economy,return,Walk-In,Qatar,gold,,couchsurf,Asia,no,,none,JPY,1-2w,13301,13398,,5001," 9,730",-999,15984,4970,missing,£15648
2021-01-29,NaN,study,economy,one-way,app,lufthansa,missing,middle,Airbnb,africa,No,high,comprehensive,JPY,2-4w,9772,NaN,6801,-999,missing,£7381,NaN,NaN," 2,388",4954
2021-09-28,missing,HOLIDAY,economy,return,app, lufthansa ,BRONZE,NA,hostel,n. america, yes ,Low,BASIC,gbp,1-2w,5288," 5,590",19071,£7962,£1331,5841,1858,£18403,£13509,2451
10/02/2021,bike,Study,premium,ONE-WAY,walk-In, lufthansa ,silver,Window,airbnb,n. america,no,low, comprehensive ,gbp,-999,8070,NaN,£14083,10338,NA,£8722,8714,11188," 7,216","17,889"
2023-08-16,Bike,BUSINESS,first,return,APP,emirates,Bronze,window,hostel,asia,no,high,comprehensive,usd,NaN,14028,"13,507",£5921,£7158,"14,882",13117,£16276,"16,060",244,3847
"Oct 27, 2022",BUS,holiday,first,-999,agent,emirates,GOLD,middle,Resort,NA,no,high,NaN,Aud,NaN,1534,10510,10219,11341," 3,031",   864,12572,missing,"17,418",NaN
,bus,Event,ECONOMY,one-way,NaN,lufthansa,bronze,window,,ASIA,no,Shoulder,Basic,missing,2-4w,7241,1250," 9,361","17,383",7282,11332,4409,19618,NaN," 2,615"
02/03/2023,car,holiday,BUSINESS,One-Way,agent,Easyjet,bronze,window,couchsurf,Asia,No,High, Comprehensive ,Eur,3-7d,NA,11227,3525,2475,9667," 5,430",NA,14622,19715,£8201
10/09/2023,CAR,missing,business,Return,app,missing,BRONZE,bulkhead,missing,Asia,Yes,SHOULDER,NA,Eur,-999,13193,12213,-999,£17063,14791,13047,NA,6935,3477,39
03/03/2022,-999,holiday,business,open,app,Lufthansa,bronze,AISLE,-999,n._america,no,high,NONE,gbp,>1m,£420,7298,,861,15171,14985,13076,4817,18111,10307
missing,boat,-999,Economy,ONE-WAY,app,ba,bronze,bulkhead,resort,oceania,yes,High,none,aud,<3d,£2123,£15796,"13,687",   654,£9094,6692,2757,6752,£17159,5996
2024-04-02,train, EVENT ,economy,Return,Agent,Qatar,silver,Bulkhead,hostel,asia,no,shoulder,None,gbp,-999," 9,019",6527,missing,11992,,9001,"10,996",,£14198,16678
20/05/2022,train,NaN, FIRST ,NaN,Walk-In,qatar,gold,middle,hostel, n.America , yes ,high,none,aud,<3D,8534,15843,828,missing,11198,782,15939,£3975,1643,7587
07/10/2023,BIKE,backpacking,business,one-Way,walk-in,BA,BRONZE, bulkhead ,hostel,,no,low,comprehensive,EUR, <3d ,14413,18988,£18112,11636,4237,£2257,,6860,NA,13415
2022-01-16, car ,event,FIRST,Open,Agent,lufthansa,,window,HOSTEL,europe,no,SHOULDER,basic,Aud,NA," 2,232",14496,12685," 3,755",1258,13189,9247," 6,326",£14334,"16,240"
2023-11-22,bus,relocation,premium,return,online,emirates,gold,WINDOW,Couchsurf, europe ,YES,shoulder,basic,-999,1-2w,13301,17615,9879,5881,7734,"19,058",10076,9598,609,8549
2022-07-06,bike,Relocation,economy,OPEN,walk-in,Easyjet,gold,window,Hotel,asia,,low,none,gbp,1-2w,   805,10248,£8670,11014,17082,9255,6264,18240,1951,"19,279"
"Sep 05, 2023",train, business ,premium,one-way,online,QATAR,PLATINUM,AISLE,hostel,Africa,NO,high,comprehensive,eur, 2-4w ,10654,9325,8929,9656,5088,1668,"17,193",NA,"15,593",3928
24/04/2021,bus,STUDY,economy,one-Way,Agent,emirates, platinum ,AISLE,-999,missing,NO, High ,basic,gbp,1-2w,15024,16298,1225,£581,£14597,"15,835",15857,790,-999,14648
2021-11-08,bus,Relocation,economy, OPEN ,Walk-In,qatar,platinum,BULKHEAD,couchsurf,-999,no,high,comprehensive,JPY,missing,£1021,12246,11278,missing,16929,8613,19360,10111,NA,9607
2023-08-06,car,Study,Economy,Open,online,easyjet,NA,bulkhead,hostel,S. America,no,shoulder, basic ,eur,1-2W,-999,12428,£15803,13046," 8,999",£10556,18890,8556,£8652,7898
01/07/2023,plane,backpacking,Business,return,app,EMIRATES,NA,AISLE,couchsurf,-999,no,high,NaN,eur,<3d,15446,275,missing,8950,3861,18199,6726,16189," 7,203",£6129
17/06/2021,bus,backpacking,business,,NA,LUFTHANSA,Platinum,,hotel, africa ,yes,SHOULDER,basic,eur,>1M," 4,511",17765,8860,11202,19401,£16917,£19920,," 6,895",NA
missing,Plane,holiday,PREMIUM,one-way,NA,emirates,Platinum,aisle,couchsurf,africa,no,Low,COMPREHENSIVE,eur,1-2w,£2119,"13,869",9160,1862,12998," 7,642",963,11746,£18670,13375
26/07/2021,boat,NaN,Premium, return , agent ,lufthansa,silver,AISLE, AIRBNB ,n._america,yes,low, None ,NA,1-2w,"17,733",17153,19069,-999,£4939,NA,£18210,£3784,19613,"13,403"
2024-08-05,bike,RELOCATION,premium,,app,QATAR,platinum,Window, COUCHSURF , S. America ,no,NaN,Comprehensive,eur,>1m,4399,NaN,13731,£7366,"11,147",11677,9812,£13586,4980,-999
-999, plane ,study,NaN,return,NA, ba ,gold,Bulkhead,missing,Oceania,no,shoulder,basic, jpy ,3-7d,14981,3623,7079,2104,missing,18493,,11494,NaN,£18961
05/05/2024,car,STUDY,premium,return,Agent, easyjet ,platinum,aisle,hostel,NaN,no, Low ,comprehensive, aud ,1-2w,6425,6492," 4,814",6108,9863,10398,missing,6369,£12210,£1555
2022-02-10,plane,Business,business,-999,online,Ba,silver,middle,hotel,S. America,no,-999,missing,usd,1-2W,9366,12516,3918,16937,-999,16872,"19,045",2028,£16968,missing
2021-06-22,-999, Holiday ,First,OPEN,APP,qatar,Silver,middle, airbnb , s. america ,NO,high,NONE,jpy, <3d ,,17271,3217,8323,2577,7500,£15203," 1,979",13658,10657
"Dec 20, 2021",-999,study,PREMIUM,ONE-WAY,APP,BA,NaN,bulkhead,couchsurf,Asia, Yes ,low,comprehensive,Aud,<3d," 5,105","10,094",16333,19692,missing,£10105,11705,NA,16948,
NaN,plane,event,first,NA,walk-in,EASYJET,Gold,bulkhead,couchsurf,Oceania,no,Low,missing,,-999,missing,8776,12318,£385,"10,098",9624,missing,3588," 9,329",£16571
2022-03-26, Bus ,business,Premium,return,WALK-IN,qatar,silver,window,resort,asia,missing,Low,NONE,usd,missing,"13,402"," 2,155",10712,NaN,£13569,19233,9574,19259,5122,£14169
21/03/2023,, study ,business,NaN,walk-in,easyjet,bronze,aisle,couchsurf,EUROPE,Yes,HIGH,None,,NaN,11582,NaN,12509,11700,missing,3679,£9377,10397,16692,£19022
2024-11-09,boat,Event,premium,OPEN,online,ba,BRONZE,aisle,couchsurf,asia,no,high, COMPREHENSIVE ,eur,>1m,5514,,6284,14004,8777,1878,"14,223",,15993,17813
2023-05-16,TRAIN,holiday,first,one-way,online,easyjet,Bronze,missing,resort,n.America,no,NA, Comprehensive ,JPY,3-7d,£8346,18615,8600,£10175,NA,"17,108",13961,"19,594",£14965,10997
2022-11-01,boat,HOLIDAY,PREMIUM,open,app,lufthansa,BRONZE,bulkhead,missing,Africa,yes,HIGH,NA,aud,2-4W,"14,600",15059,missing,4917,£3460,"16,121",3003,12877,,14866
2023-01-18,train,EVENT,economy,missing,online,emirates,,NaN,Resort, asia ,NO,low,None,AUD,>1M,2565,8299,1982,6474,£721,2629,£1376,£6624,9852,NaN
01/11/2024,plane,NA,business,return,NaN,emirates,silver,window,Resort,asia,NA,missing, COMPREHENSIVE , Jpy ,2-4W,3800,-999,1583,missing,1189,£11074,NaN,15929," 2,430","10,740"
27/11/2024,boat,relocation,first,NA,WALK-IN,easyjet,gold,AISLE,HOSTEL,s._america,missing,low, comprehensive ,usd,<3d,4792,6751,13138,"19,739",£14012,"18,502",£14620,NaN,4958,8790
07/01/2024,boat,study,first, open ,Online,NA,missing, Aisle ,couchsurf,NaN,no,SHOULDER,Comprehensive,eur,<3d,4621,4212,£2128,"18,696",10807,11680,5479,4555,NaN,19718
2023-09-08,boat,Relocation,ECONOMY,one-Way,agent,ba,gold,Window,HOSTEL,n. america,yes,low,none,Aud,>1m,11815,8348," 1,854",£18686,12324,18205,10836,14118,18147,18771
20/10/2024,boat,study,first,missing,online, Lufthansa ,NA,Aisle,airbnb,N. AMERICA,missing,low,Comprehensive,USD,3-7d,£12794,£6921,"14,063",,11016,11400," 6,665",11687,1238,"12,824"
"Jan 13, 2021",CAR, relocation ,first,open,NaN,Ba,Gold,middle,Hotel,s. america,missing, HIGH ,basic,jpy,NaN,5231,NaN,3397,9556,£10339,14376,2989,5622,15771," 9,714"
16/06/2021,boat,backpacking,premium,open,walk-in,Easyjet,gold,window,hostel,europe,no,Low,none,Gbp,,"12,666",18830,6889,19692,8270,missing,8791,9618,6232,£10991
03/06/2023,bike, backpacking ,First,OPEN, agent ,Ba,gold,-999,Resort,ASIA,yes,High,none,,3-7d,"16,356",missing,6276,12168," 7,488",16983,6074," 2,266","12,810",17211
29/12/2022,BOAT, business , FIRST ,open,online,Ba,bronze,bulkhead,Hotel,Asia,yes,SHOULDER,comprehensive,GBP,3-7d," 7,305",17063,£12929,-999,1078,14098,9921,10440,8108,165
17/08/2021,BIKE,business,economy,OPEN,online,easyjet,platinum,AISLE,resort,NaN,yes,SHOULDER,NaN,gbp, 1-2w ,8761,11887,£2690,8529,19779,402,£9869,10932,"13,316",9061
2023-11-29,car,backpacking,ECONOMY,return,Online,qatar,gold, window ,resort,n.America,YES,low,-999,USD,>1m,,12380,"16,127",13534," 8,126",missing,4520,NA,16935,
12/03/2022, BUS ,holiday,premium, ONE-WAY ,App,BA,platinum,Window,resort,europe,Yes,SHOULDER,, Usd ,1-2w,£6152,737,£19727,4496," 8,121",10919,"11,405",10302,8791,3669
06/07/2023,NaN,business,-999,-999, agent ,lufthansa,silver,aisle,RESORT,oceania,NO,shoulder,None,eur,>1m,-999,1741,NaN,15823,NaN,3114,19455,4239,10844,17792
16/04/2021,-999,business,,ONE-WAY,App, ba ,silver,WINDOW,missing,S. AMERICA,no,SHOULDER,comprehensive,eur,NaN,-999,11756,12443,1392,5516,missing,14542,£1191,,6269
25/07/2024,bike,Study,ECONOMY,RETURN,agent,ba,silver,NaN,airbnb,n. america,yes,HIGH,missing, GBP ,1-2w,2211,£8020,6759,1728,"11,355",8946,6155,1761,10681,NA
26/12/2021,BOAT,backpacking,first,OPEN,walk-in,-999,missing,aisle,Hotel,europe,no,low,none,Aud,<3D,1588,,8893,£16356," 7,796",19290,3248,5314,16670,£5209
2022-08-09,Car,STUDY,FIRST,one-way,agent,ba,Gold,Bulkhead,hostel,n._america,yes,high,BASIC,usd, 3-7d ,11683,13076,"16,398",15651,13865,18603,"16,721",,"14,774",-999
2023-06-30,TRAIN,business,First,open,Walk-In,Qatar,,Middle, Hostel ,ASIA,NO,,comprehensive,usd,<3d,NaN,304,6206,13074," 5,292","19,264",NaN,398,£5061,£2143
2023-06-19,bike,NA,PREMIUM,Open, agent ,easyjet,GOLD,WINDOW,resort,europe,missing,HIGH,NONE,aud,2-4W,£15488,"11,713",13707,2386,12140,6802,3384,£4624,"17,931",NaN
30/04/2021,BUS,backpacking,premium,RETURN,walk-In,NA,-999,middle,resort,NA,NaN,shoulder, NONE ,usd,3-7d,8049,"16,171",£4276,15546,17443,-999,"10,707",£654,missing,17467
,Bike,Backpacking, PREMIUM ,ONE-WAY,APP,easyjet,bronze,middle,Hostel,NA,yes,high,basic,jpy,<3d,1952,2727,5551,NA,NaN,"19,289",12016,missing,"13,533"," 1,672"
2024-12-23, BUS ,holiday,first,open,agent,Ba, PLATINUM ,aisle,Hostel,N. AMERICA,NA,high,basic,USD,>1m,£9514,19958,8274,£18850,10706,"15,384",missing,9616,9950,£8864
23/07/2022,car,missing,business,return,NaN,easyjet,bronze, MIDDLE ,HOTEL,NA,yes,NA,None,eur,1-2w,2742,£12861,," 3,676",£72,13803," 7,974",6110,966,13021
"Aug 29, 2022",car,study,Economy,open,agent,BA,bronze,WINDOW,NA,EUROPE,-999,NaN,basic,gbp,2-4w,14158,   947,-999,19934,4877,12352,missing,5694,£13492,£17521
08/11/2022,BUS, Relocation ,FIRST,one-way,ONLINE,NA,platinum,MIDDLE,Resort,europe,no,high,none,aud,2-4w," 6,344",16142,19474,3030,2759,13910,£1585,"18,256",16979," 9,716"
13/11/2023,Train,backpacking,-999,one-way,walk-in,EASYJET,Gold,aisle,hotel,s._america,no,low,-999,EUR,1-2w,£18483,19960,£16297,18303,4467,1327,19730,10432,2963,15600
NA,PLANE,business,premium,RETURN,Online,Easyjet,platinum,window,airbnb,Europe,no,High,COMPREHENSIVE,aud,2-4w,9897,14494,19851,£15414,"18,241",1927,15284,8196,18139,"19,789"
2021-10-31,CAR,Backpacking,business,Return,walk-In,Easyjet,-999, window , airbnb ,EUROPE,No,low,basic, GBP ,3-7d,£5093,missing,£2748,14048,11427,188,14966,2041,NA,"11,856"
"Jul 15, 2021",Car,backpacking,business,open,online,Emirates,missing,middle,-999,africa,No,LOW,BASIC,jpy,1-2w,1565,-999,8081,7204,£11374," 4,869",7182," 2,455",18732,NA
06/10/2021,car,missing,first,RETURN,walk-in,Lufthansa,GOLD,middle,couchsurf,N. AMERICA,no,shoulder,comprehensive,gbp,2-4W,£2814,9028,4267,8528,missing,11977,18935,7985,"17,110",missing
"Sep 02, 2023",NA,relocation,,return,agent, Ba ,Platinum,bulkhead,HOTEL,-999,no,missing,basic,JPY,1-2w,18751,6283,15369,15231,13367,£14376,9141,12512,£15431,15101
16/11/2021,PLANE,Study,missing, OPEN ,agent,LUFTHANSA,NaN,NA,HOTEL,NA,No,Shoulder,basic,aud,2-4W,1179,,7927,£16823,   121,NaN,17494,NA," 1,540",14918
20/05/2023,NA,Holiday,First,Return,agent,NaN,platinum,Window,AIRBNB,europe,NO,low,none,NaN,,5217,2570,8221,£19212,17828,11380,6234,£2801,8130,16446
09/03/2024,,backpacking,ECONOMY,return,agent,EMIRATES,Platinum,NA,Hotel,EUROPE,yes,LOW,COMPREHENSIVE,Gbp, 3-7d ,£4301,£10685,£4204,£8611,15911,NaN,3223,7614,£12363,-999
04/10/2021,Plane,holiday,premium,one-way,NA,emirates,Platinum,bulkhead,AIRBNB,N. AMERICA,No,high,NaN,eur,3-7d,13210,"17,725",NaN,NA,2697,NaN,17011,7561,£12182," 6,201"
2022-09-05,bus,holiday,Economy,return, online ,NaN,Bronze,aisle,airbnb,africa,no,LOW,Comprehensive, jpy ,<3d,10487,   882,11204,10354,19630,£14680,-999,£5702,£4265,£5725
07/03/2023,plane,STUDY,first,return,walk-In,qatar,-999,WINDOW,Hotel,EUROPE,NaN,high,NONE,jpy,1-2w,9730,missing,16033,5145,462,10299,,missing,NA,16463
2024-02-15,Car,relocation,First, RETURN ,app,QATAR,platinum,window,NA,Europe,no,low,basic,Gbp,3-7d,£3819,14448,3883,-999,8792,£14094,   914,10625,2239,NA
11/10/2022,bus,relocation,FIRST,-999,Walk-In,Easyjet,silver,MIDDLE,,EUROPE,No,high,missing,gbp,3-7D,18566,missing,£4492,183,missing," 1,939",£19372,8778,17964,-999
NaN, car ,backpacking,ECONOMY,,missing,qatar,Gold,AISLE,HOSTEL,AFRICA,yes,low,COMPREHENSIVE,Usd,>1m,£4509,£14021,11577,"18,984",£10520,7847,£15541,4308,17336,£2358
,missing,EVENT,first,NA,APP,Qatar,bronze,missing,airbnb,EUROPE,NO,Low,missing,,2-4w,5047,15800,16277,17651,13824,4658,1472,6675,4764,"14,552"
24/10/2021,Train,HOLIDAY,,,,Emirates, PLATINUM ,window, couchsurf ,oceania,Yes,SHOULDER,Comprehensive,Jpy,1-2w,NA,£1719," 4,887",8750,3564,6454,NA,"16,068",13994,11257
NaN,plane,event,Business,one-way,WALK-IN,,BRONZE,Bulkhead,couchsurf,S. AMERICA,Yes,missing,NONE,Jpy,3-7d,3603,5587,13245,9937,9367,292,12114,17053,5354,"19,183"
26/10/2021,car,NaN, first , open ,app,NaN,platinum, bulkhead ,HOSTEL,-999,yes,missing,BASIC,Aud,<3d,NaN,£5513,NaN,3319,6673,1694,19644,16548,2111,1154
2023-10-10,BIKE,business,economy,RETURN,app,emirates,BRONZE,window,hotel,n. america,no,low,none,GBP,3-7d,5740,missing,19366,5869,"19,210",4715,14320,1421,,missing
2022-03-28,missing,Business,business,OPEN,online,qatar,platinum,window,airbnb,N. America,no,-999,comprehensive,usd,2-4w,"18,349",710,£12143,-999,£13607,2455,19689,13758,13247," 2,229"
missing,Bike, holiday ,Premium, Open ,agent,easyjet,SILVER,NaN,airbnb, s.America ,no,shoulder,none,usd,1-2w,missing,11813,4993,10168,11085,10785,"16,786",1024,1035,£8830
25/12/2022,bus,BACKPACKING,FIRST,one-way,app,QATAR,gold,bulkhead,resort,asia,yes,high,BASIC,GBP,<3d,"13,067",1472,NaN,4168,"10,578",£14524," 9,899",13572,£7353,14890
07/06/2023,-999,study,PREMIUM,RETURN,AGENT,emirates,BRONZE,aisle,,asia,yes,high,BASIC,gbp,<3D,4955,missing,"10,784",4630,£2575,," 2,141",19832,4745,missing
2023-09-24,NA,Event, business ,open,Agent,missing,bronze,bulkhead,-999,asia,No,high,basic,gbp,<3d,12485,13436,1275,£18791,£9907,481,missing,17193,13664,£9614
04/10/2023, bike ,Study,first,RETURN,walk-In,easyjet,BRONZE,aisle,Resort,europe,no, shoulder ,basic,GBP,NaN,"10,705",12701," 2,202",458,£11535,11184,£13023,12839,4514,2176
2023-09-04,bike,study,ECONOMY,NaN,walk-in,EASYJET,bronze,window,HOSTEL,Europe,No,Shoulder,comprehensive,aud,>1m," 6,454",18193,14301,16384,11908,4275,12642,15650,10995,£12105
26/01/2024, train ,study, business ,return,online,ba,Platinum,AISLE,airbnb,africa,yes,low,comprehensive,Jpy,3-7d,11938,11263,,missing,"18,653"," 1,383",13750,8215,,£2278
"Mar 10, 2022",plane,study,business,-999,walk-in,qatar,,bulkhead,RESORT,n.America,No,low,BASIC,usd,<3D,missing," 5,360",£3494,£12898,,15065,5594,,£16273,1145
2022-11-19,Plane,relocation,Business,return,app,Qatar,PLATINUM,middle,NA,oceania, yes ,low, None ,gbp,missing,£1516,NaN,15562,NaN,2514,4110,missing,15947,£10796,£14537
24/10/2024,Car,Event,BUSINESS,Open,NaN,,Silver,MIDDLE,resort,s.America,yes,shoulder,COMPREHENSIVE,usd,NA,£3233,£16211," 7,874",8253,NaN,£8460,"13,195",8397,7312,£10047
03/08/2024,BUS,EVENT,business,-999,agent,easyjet,BRONZE,AISLE,resort,Europe,yes,Shoulder,comprehensive,-999,>1m,£10288,3450,£11477,4212,5093,5267,NaN,27,5705,
04/04/2024,bike,holiday,,return,Online,Qatar,Bronze,NA, resort , Asia ,no,shoulder,basic,usd,3-7D,,233,7831,530,£8600,3343,NA,6862," 4,012","15,720"
18/10/2024,BOAT,Holiday, premium ,open, online ,Qatar,gold,aisle, COUCHSURF ,oceania,YES,LOW,missing,Usd,3-7D,£10879,6681,8443,233,15869,"11,845",19072,-999,£1183,11051
05/06/2024,bus,, ECONOMY ,Return,AGENT,QATAR,gold,missing,hotel,Asia,No,low,None,USD,>1M,"11,365",12225,"11,365",8379,7499,1950,£4442,3413,"18,152",13157
"Mar 28, 2022",plane,relocation,First,RETURN,ONLINE,lufthansa,BRONZE,aisle,airbnb,S. America,no, low ,, jpy ,1-2w,15153,"15,301",14603,14728,7818,£8778,2630,-999,£4135,8442
29/01/2024,train,business,economy,missing,online,qatar,gold,Middle,Hotel,-999,NA,NaN,none,aud,>1m,17536,10384,NA,"19,407",13148,missing,-999,,NA,16553
missing,train, Event ,business,open,APP,Lufthansa,bronze,window,couchsurf,europe,no,SHOULDER,None,gbp,3-7d,14568,100,14759,14912,£17561,3212,2171,"12,443",15853,3041
"Oct 27, 2023",plane,BACKPACKING,Premium,return,APP,easyjet, Platinum ,BULKHEAD, airbnb ,africa,yes,HIGH,basic,Gbp,<3d,£1077,£7164,12003,£5558,11295,9610,14529,13934,£8609,
26/08/2024,,event,first,one-Way,walk-in,EASYJET,SILVER,NA,hostel,n.America,no,HIGH,basic,USD,2-4W,18862,2480,16147,18418,£7665,17350,missing,£14522,18568,missing
2023-02-22,plane,backpacking,Premium,return,Walk-In,Emirates, PLATINUM ,BULKHEAD,hostel,oceania,no,high,None,jpy,1-2w,3730,12185," 3,545",14318,4805,1246,,19611,£5981,
2023-07-21,,relocation,NA,one-way,missing,EMIRATES,gold, middle ,couchsurf,NaN,no,Shoulder,comprehensive,eur,3-7d,£14096,,7163,£11806,NA,8889,"13,893",£11475,9797,12753
missing,train,business,Economy,OPEN,missing,LUFTHANSA,gold,,Hotel,asia,yes,high,None,usd,2-4W,£16474,4478,2346," 8,007",£5856,11278,2250,8839," 3,539",18115
24/11/2024,train,Backpacking,business,-999,WALK-IN,lufthansa,bronze,NaN,airbnb,EUROPE,Yes,Low,none,eur,>1M,"19,444",8200,19695," 7,857",NA,£16069,16627,£12665,17711,13548
"Dec 01, 2022",BOAT,,premium,RETURN, agent ,qatar,silver,Aisle,NA,OCEANIA,NO,low, Basic ,gbp,>1m,1364,£7331,"14,688",6018,3306,526," 2,579"," 7,705",15202,3091
NA,Bus,backpacking,-999,Open,online, Emirates ,platinum,window,Airbnb,asia,no,shoulder, comprehensive ,aud,>1m,4214,,14540,7763,£19845,1127,," 8,507",1144,13057
24/03/2022,Bus,backpacking,business, return ,agent,Easyjet,silver,aisle,HOSTEL,asia,NO,shoulder,none,GBP, 3-7D ,16411,"17,347",missing,16670,NaN,10471,18497,12481,11300,5646
2024-06-12,missing,relocation,missing, ONE-WAY ,App,BA,missing,aisle,airbnb,asia,NA,SHOULDER,None,GBP,<3d,£17383,£13481," 5,933",£4013,10157,3781,9006,   776,12476,5822
2022-12-23,BIKE,business,First,Open,AGENT,Easyjet,bronze,middle,couchsurf,europe, yes , LOW ,none,gbp,2-4W,16329,29,£1905,2152,£4282," 3,828",£7262,8526,5564," 7,037"
28/09/2021,train,holiday, economy ,One-Way,App,Qatar,Gold,middle,hostel,n.America,YES,shoulder,comprehensive,Aud,<3d,6264,15993,6566,£8399,1566,,£17266,£18808,8715,£6708
2024-08-31,CAR, holiday ,economy,return,agent,EMIRATES,bronze,missing,hotel,,yes,high,NONE,Aud, <3D ,£15183,8470,7717,NA," 6,634",£5359,9447,13693," 6,561",
"Apr 22, 2024",Bus,business,first,Open,app,qatar,platinum,middle,airbnb,ASIA,no,-999,comprehensive, Usd ,>1m,14933,£18173," 9,526",8454,£10587,5536,5451,1353,6554,16684
08/09/2024,bike,relocation,Premium,Return,online,ba,Silver,Bulkhead, couchsurf ,Europe,YES,shoulder,COMPREHENSIVE,NA,NA,NaN,13442,12708,,6325,-999," 3,533",16666,£9619,6623
06/08/2024,boat,business,NaN,return,agent,QATAR,BRONZE,middle,resort,AFRICA, YES ,LOW, NONE , aud ,2-4w,5283,missing,£13129,13300,18288,19844,9633,1436,2151,£3239
30/12/2024,BUS,business,first,-999,online,ba,PLATINUM,window,,OCEANIA,NA,low, None ,usd,>1m,£5293,5710,3694,10323,14717,£12362,18512," 4,196",£8995,"19,276"
NA,BUS,event, premium ,NA,Agent,lufthansa,Silver,NaN,AIRBNB,N. AMERICA,YES,SHOULDER,BASIC,NaN,3-7d,1225,19877,-999,£18354,2846,18615,,£18630,NA,7149
2023-03-01,train, holiday ,Premium,one-way,walk-in,easyjet, Platinum ,bulkhead,couchsurf,Africa,yes,-999,basic,EUR,3-7D,9646,NA,£10016,10632," 8,030",£605,9233,9848,£5301,9061
2022-06-23,plane,study,first,one-Way,online,missing, platinum ,window,HOSTEL,s._america,yes,low,comprehensive,Aud,>1m,19068,£3475,1174,£9275,4499,9531,16616,NaN,14851,11807
2022-08-05,Bike,event,NaN,Open,-999, ba ,Gold,NA,hostel,N. America,no,low,none,usd, 2-4w ,NaN,9016,£5194,£695,NaN,13096,£11098,16619,,£5617
22/11/2022,bike, RELOCATION ,first,one-Way,app, easyjet ,Silver,Middle,hotel,asia,yes,Shoulder,basic,Usd,>1m,4758," 5,762",,3208,13480," 3,475",-999,9929,£3146,1653
2023-03-30,bike,backpacking,business,Return,APP,-999,bronze,NaN,hostel,S. AMERICA,yes,shoulder,Basic,eur, <3D ,£4617,10817,16530,16430,4247,19625,£2711," 4,746",13414," 5,834"
2022-10-17,Bike,backpacking,FIRST,Return,Online,emirates,platinum,Window,Airbnb,s._america,Yes, low ,Comprehensive,EUR,>1m,"18,243",12853,£11258,missing,12052,-999,524,8650,662,16354
"Mar 25, 2021",BOAT,NaN,economy,One-Way,NaN,BA,GOLD,NA,couchsurf,NaN,yes,high,Comprehensive,usd,NaN,16270,3139,3218,£5304,16134,6089,11838,£4729,£16544,19070
17/12/2024,-999,RELOCATION,first,-999,App,Lufthansa,gold,WINDOW,COUCHSURF,africa,Yes,shoulder,Basic, JPY ,3-7d,-999,"13,749",£11708,2588,3256,1953,£6927,NaN,£15636,8140
2024-01-17,bike,study,premium,RETURN, online ,Lufthansa,Bronze,middle,COUCHSURF, n._america ,, SHOULDER ,Basic,,1-2w,£5656,"15,682",2921,"12,234",,13611,5387,   304,£19090,15525
missing,plane,study,PREMIUM,OPEN,NaN,BA,gold,window,hotel,oceania,NO,low,NONE,jpy,3-7d,£17917,472,   173,14641,£11172,6829,12446,10858,,11864
-999,,study,economy,missing,online,emirates,silver,bulkhead,airbnb,N. AMERICA,YES,LOW,COMPREHENSIVE,GBP,3-7d,"19,636",19999,18933,15614,19955,6782,19894,5226,1549," 3,219"
"May 03, 2023",BIKE,-999,Economy,One-Way,walk-in,ba,bronze,bulkhead,COUCHSURF,africa,Yes,low,None,Gbp,,2026,10267,"11,403",5214,4256,16848,9664," 4,846",£4283,
2024-03-08,-999,-999,economy,one-way,AGENT,EASYJET,Platinum,bulkhead,hotel,africa,yes,high,COMPREHENSIVE,EUR,2-4w,18809,"12,757",90,£8692,3563,1731,19703,missing,12919,2661
"Dec 11, 2022",train,business,NA,Open, walk-In ,EMIRATES,platinum,Bulkhead,hotel,S. America,no,Shoulder,Basic,AUD,3-7d,£16697,7151," 3,425",2754,17376,£6892,18875,8209,10216,127
2024-02-04, Bus ,holiday,first,-999,agent,emirates,silver,missing,Hotel,Africa,yes, low ,basic,usd,2-4w,8445,8466,6581,£9057,18076,4196,4962,14299,5088,13124
