 date ,Device,OPERATING SYSTEM,Processor Brand,form factor, release yr band ,market_segment,manufacturer/,CONNECTIVITY,SCREEN TYPE,energy_rating,Warranty Length,Colour,price tier,user profile,UPGRADE ELIG,PRICE £,ramGb,Ssd Gb,Battery Mah,weightG, ports ,CPU GHZ,gpu tflops,launch_score,Units Sold K
2021-04-13,TABLET, linux , amd ,missing,<2015,gaming,NaN,,oled,D,NaN, black ,Budget,creator, Yes ,NaN,NA,NA,,13810,£8993,126,NA,261,NA
2023-05-13,LAPTOP,linux,NaN,mini_pc,NA,gaming,DELL,BLUETOOTH,oled,b,5y,NA,premium,Creator,NO,12894,"18,516"," 4,788",,missing," 8,629",12406,3847,£13383,8849
"Apr 23, 2021",SERVER,Android,apple,2-IN-1,2018-20,Education,Dell,BLUETOOTH,E-INK,NaN,5y,silver,premium,Student,NaN,NaN,8176,,3969,£15379,2848,4633,8845,,£8735
2023-07-19,robot,android,Amd,Desktop,2024+,enterprise,HP,bluetooth,mini-led,d,1y,BLACK,budget,creator,no,13822,15732,,16777,15828,5077,£12035,1334,£10885,£12304
16/04/2023,laptop,ios,amd,ultrabook,2021-23,-999,LENOVO,wi-Fi, E-Ink ,A,NO WARRANTY,blue,PREMIUM,CREATOR,no,,7296,£1647,£17066,8932,2435," 7,642",missing,,£7404
02/09/2021,ROBOT,CHROMEOS,Intel,-999,2021-23,Enterprise,HP,WI-FI,Oled,-999,NA,blue,Mid-Range,student, No ," 9,516",,17776,14848,NA,£11794,13070,£17548,£6891,13789
07/12/2023,SMARTPHONE,Linux,AMD,DESKTOP,missing,gaming,acer,wi-fi, lcd ,a,2y,,FLAGSHIP,creator,NO,£10379,£7627,"10,213",,£13309,£13208,,1163,missing,16010
missing,smartphone,chromeos,amd,-999,2024+,EDUCATION,dell,WI-FI,NaN,c,5Y,WHITE,PREMIUM,student,no,£19548,£5300,-999,2231,12432,"16,865","19,801","14,468",2533,11829
"Sep 04, 2021",tablet,MACOS,amd,2-in-1,missing,Gaming,APPLE,5g,e-Ink,a,5y,grey,budget,creator,-999,-999,,157,£18378,£9909,4032,NaN,12335,11929,NaN
NA,DRONE,windows, apple ,ultrabook,,consumer,lenovo,wi-Fi, Oled ,c,3y,WHITE,Premium,GAMER, no ,NA,"16,166"," 7,310"," 7,682",£7100,16378,"16,031",£11463,-999,£18131
"Jul 19, 2024",tablet,linux,apple,mini_pc,2021-23,Gaming,lenovo,Ethernet,e-ink,D,2y,blue,flagship,GAMER,missing,£14782,"12,891",17672,£4936,missing,18856,missing,13831,£19374,1908
30/07/2021,server,-999,amd,NA,<2015,,dell,NaN,mini-led,d,No Warranty,SILVER, flagship ,gamer,yes,14720,"19,102","11,160",missing,"10,216",8784,10750,1154," 5,912",12867
2024-03-18,tablet,Ios,AMD,ultrabook,2024+,consumer, HP ,5g,lcd,d,5y,white,premium, gamer ,no,19814,5420,6525," 8,073"," 4,817",NaN,2450,3547,£6605,£17528
2024-10-23, Server ,ANDROID,apple,desktop,2024+,enterprise,hp,Wi-Fi,Oled,-999,5y,silver,FLAGSHIP,gamer,No,16010,,"18,198",£2616,4196,7190,NA,13769,15357,2696
2023-09-03,smartphone,windows,Amd,2-in-1,<2015,-999,,5g,mini-led,c,3y,white,Flagship,creator,no,4126,NaN,2825,NaN,13636,5731,£15643,4979," 7,772",£19979
2024-06-09,laptop,,qualcomm, mini pc ,<2015, Consumer ,Lenovo, bluetooth ,e-ink,D,5Y,silver, Premium ,CREATOR,yes,£10921,,4908,14826,5565,8977,13837,9695,12471,-999
03/10/2024,,macos,apple,mini pc, 2018-20 ,Consumer,Acer,5G,e-ink,d,5Y,blue,mid-range,creator,yes,14210,16512," 5,264",16671,15749,15471,-999,15761,13589," 2,937"
16/08/2022,TABLET,android,Intel,Mini Pc,2018-20, consumer , lenovo ,wi-fi,e-Ink,d,1y,silver,missing,gamer,no," 6,131",£3393," 2,750",-999,£9038,11176,NA,7209,19035,"10,562"
03/12/2024,laptop,macos, Apple , mini pc ,2018-20,consumer,asus,bluetooth,mini-led,C,1y,black,MID-RANGE,creator,yes,2283,missing,10934,-999,2458,205,6913,518,6268," 2,036"
2024-01-27,ROBOT,macos,AMD,ULTRABOOK, 2024+ , enterprise ,apple,Bluetooth,OLED,a,1y,black,Premium,Creator,NaN,15798,£14845,"14,995",14145,£7820,18874,,£12146,14061,
28/04/2022,LAPTOP,Windows,qualcomm, 2-In-1 ,2015-17,education, dell ,Ethernet,lcd,b,5y,GREY,flagship,missing,yes,"17,976",£6999,11749,-999,"19,731",17759,NaN,7664,13421,15232
01/04/2022,laptop,chromeos,Qualcomm,desktop,2021-23,consumer,Asus,5g,NA, b ,3Y,Grey,mid-range,student,-999,9998,NaN,19654,£6137,18857,13245,709,£18716,-999,13237
"Jul 28, 2023",Server,linux,INTEL,mini pc,2018-20,Education,hp,ETHERNET,e-Ink,b,5y,grey,Budget,CREATOR,yes,£5924,£240,£973,£6128,10231,1726,5527,"16,722",11063,16014
"Feb 06, 2022",Server,macos,Intel,2-IN-1,2024+,Consumer,NA,NA,LCD,a,2y,white,budget, Professional ,No,2100," 3,326",19567,11818,-999,NA,9726,£12929,5015," 8,058"
21/02/2023,smartphone,MACOS,qualcomm,2-In-1,<2015,education,ASUS,Bluetooth, mini-Led ,D,5y,white,Mid-Range,Creator,no,15890,14356,12448,£477,,15899,352,5110,5585,14705
15/02/2021,robot,ios,Amd,ultrabook,2015-17,EDUCATION,dell,ethernet,e-ink,NA,no warranty,BLACK,mid-range,Creator,NaN,18711,310,10685,3455,14058,£15454,£3335,7381,8311,8578
2023-04-29,Server,Windows,apple,missing,2021-23,enterprise,apple,ethernet,Mini-Led,c,1y,White,MID-RANGE,Creator,no,£11947,NaN,17922,missing,£4934," 5,923",,10003,NaN,"18,360"
"Apr 30, 2021",robot,NaN,intel,desktop,2015-17, enterprise ,asus,bluetooth,e-Ink,c,2Y,blue,MID-RANGE,CREATOR,Yes,£8868,18071," 2,397",16022,12313,8034,£17118,18945,6403,NA
17/03/2021,robot,android, amd ,Desktop,2015-17, consumer , Asus ,bluetooth,oled,a,1Y,NA,premium,professional,no,4453,16108,19724," 5,470",£12965,£7319,£13991,"15,186",9445,17439
2023-05-04,drone,ios,amd,DESKTOP,2018-20,EDUCATION,Hp,bluetooth,LCD,b,2y, black ,premium,gamer,no," 8,310",14107,£19654,4562,1368,,3775,£7895,3737,18784
03/12/2021,missing,MACOS,apple,DESKTOP,2018-20,missing,asus,Bluetooth,oled,a,NaN,BLACK,premium, Student ,YES,£8566,9684,6656,2945,missing,17003,11729,16195,161,5123
10/12/2022,LAPTOP,macos, INTEL ,ultrabook, 2015-17 ,consumer,Dell,5G,NaN,c,noWarranty,BLUE,premium,student,yes,2815,£185,7657,£16031," 3,475"," 5,715",16660,19902," 8,970",4247
"Jun 12, 2021",NaN,LINUX,APPLE,ultrabook,2018-20,NA,lenovo,wi-Fi,mini-led,B,2Y,silver,mid-Range,Gamer, Yes ,5234,6758,9909,3322,16517,10226,1113,   898,NaN,NA
11/10/2023,Server,chromeos,amd,missing,2015-17,consumer, ACER ,5g,lcd,B,NO WARRANTY,blue,mid-range,student,NO,3665,3110,16689,446,7240,3748,19087," 5,284",£10506,missing
14/12/2021,drone,macos,AMD,missing,2015-17,consumer,acer,-999,lcd,-999,no_warranty,BLACK,missing,Creator,yes,   310,18407,£12669,£6773,14148,£4826,"16,035",15617,£7916,18895
2021-03-15,LAPTOP,Android,intel,ultrabook,<2015,gaming,acer,ethernet,oled,d,NO WARRANTY,SILVER,budget,student,yes,NA,11743,"17,341",18271,"12,947",NA,18404,7124,12381,missing
"Oct 11, 2024",NA,ios,Intel,,NaN,CONSUMER,ASUS,5g,e-ink,a,3y,-999,mid-Range,professional,yes,£9930,£8297,12784,5320,3964,12037,missing,11005,,
"Dec 08, 2022",tablet,Macos,qualcomm,DESKTOP,<2015,NaN,lenovo,5g,oled,b,no warranty,grey,Budget,CREATOR,No,1653,5856,-999,"12,166",£4778,"14,054",18583,3510,3416,£6602
"Apr 22, 2022",LAPTOP,android,NaN,desktop,,EDUCATION,hp,Ethernet,oled,b,3y,GREY,Premium,CREATOR,YES,5332,14281," 2,961",£2116,8703,£3967,NaN,9133,-999,7153
2023-12-03,Server,Ios,amd,desktop,2018-20,education,apple,wi-fi,OLED,D,noWarranty,white,flagship,student,no,£14627,NaN,5863," 8,170"," 6,823",16979,10601,NA,NA,765
08/01/2023,Tablet,windows,missing,Desktop,NA,ENTERPRISE,DELL,NaN,E-Ink,C,1y,blue,MID-RANGE,gamer,YES,15400,£12647,18153,4009,missing,775,NA,£19576,13112,19174
2023-03-02,laptop,chromeos,qualcomm,2-IN-1, 2024+ ,consumer,Asus,bluetooth,e-ink,b,missing,silver,flagship,STUDENT,NO,13307,6056,14948," 1,920",15015,"12,173",11706,6182,missing,6202
2021-09-16, Drone ,IOS,intel,miniPc,2024+, education ,lenovo,Bluetooth,mini-led,d,2Y,Grey,budget,gamer,yes," 6,480",14432,2082,£12978,£5430,£8156,9957,"18,990",7695,£19222
"Feb 22, 2024",server,Ios, Intel ,missing,2021-23,enterprise,Lenovo,ETHERNET,lcd,a,3y,grey,flagship,Professional,YES,18019,4326,3406,NaN,NaN,3043,16209,-999,872,£18266
2023-09-23,drone,-999,amd,Ultrabook,2024+,enterprise,Dell,ethernet,Mini-Led,d,2y,missing,mid-range,student,-999,5711," 7,003",6682,11924,19504,3893,1569,15318,7938,NaN
2024-06-21, LAPTOP ,macos,apple,ultrabook,<2015,consumer,missing,5g,,a,3y,grey,Flagship,professional,no,3789,-999,11948,15296,NA,"12,326",13906,18326,missing,2935
2022-03-18,ROBOT, linux ,,2-in-1,2021-23, GAMING ,apple,bluetooth,Mini-Led,D,1Y,NaN,FLAGSHIP,student,Yes,12013,NA,15249,11561,4209,-999,£7406,,1995,"17,605"
2023-04-10,NaN,linux,intel,ultrabook,<2015,Consumer,DELL,ETHERNET,NaN,B,1y,BLUE,flagship,creator,yes,"18,461",17817,£3992,18018,10256,4062,"16,680",9275,£4649," 2,657"
27/06/2021,TABLET,android,missing,ultrabook,2021-23,gaming,Apple,BLUETOOTH,E-INK,C,1y,GREY,mid-range,professional,yes,6897,missing," 5,936",18729," 3,016","18,345",18354,£19312,,£19949
19/02/2024,server,chromeos,AMD,ULTRABOOK,2024+,GAMING, Hp ,NaN,lcd, A ,No Warranty, Black ,mid-range,gamer, Yes ,9593,8718," 8,651",,NaN,17972,13398,£1405,3883,9256
NA,NaN,Ios,apple,ultrabook,2018-20,consumer, Lenovo ,WI-FI, oled ,NaN,5y,NA,mid-range,student,NA,-999,3450,£11727,14016,3856,6861,18158,,9060,17424
08/09/2021,Robot,macos,INTEL,NA,2021-23,gaming,lenovo,5g,NaN,c,,Silver, MID-RANGE ,student,no,3006,,£6302,missing,8641,"16,235",,19640,10703,15143
23/08/2021,smartphone,CHROMEOS,apple,2-in-1,<2015,CONSUMER,dell,Ethernet,mini-led,D,no_warranty,blue,budget,Gamer, no ,10082,17581,11720,432,6293,£4147,12618,9703,10664,16678
2024-04-27, tablet ,linux, Qualcomm ,Desktop,NA,enterprise,ASUS,wi-Fi,oled,c, 5y ,black,Mid-Range,gamer,No,4511,4981,13651,"17,729",£4645,£9350,NaN,15158,18249,£9169
06/08/2023,LAPTOP, Macos ,missing,ultrabook,2021-23,NaN,APPLE,5g,Lcd,d,1y,white,FLAGSHIP,gamer,no,1531,£6513,16109,14200," 5,574",1737,"12,741",18755,12664,18809
15/08/2024,robot,chromeos,,Desktop,2021-23,Gaming,apple,5g,mini-led, C ,No Warranty,white,Premium,creator,No,17682,10254,15407,17042,£19490,541,1323,4604,£18716,5425
10/12/2022,server, linux ,apple,-999,2024+,education, Hp ,bluetooth,MINI-LED,d,5y,NaN,Mid-Range,professional,no,13761,4619," 1,449",3145,,7710,-999,£13127,778,missing
24/11/2021,,ios,QUALCOMM,,2015-17,Gaming,apple,wi-fi,Oled,d,missing,silver,mid-range,PROFESSIONAL,YES,10378,13529,£9974,7284,758,9834,"10,456",£9871,£2080,£18699
29/03/2024,Robot,NA,qualcomm, 2-in-1 ,2018-20,Gaming,DELL,5g,MINI-LED,NA,1Y,WHITE,mid-Range,Student,no,616," 1,161",£848,11351,£2288,1561,10871,18202,11227,10022
"Nov 16, 2022", server ,Chromeos,amd,desktop,2024+, education ,lenovo,5G, LCD ,C, 1y ,White,premium,professional,YES,NA,902,12445,7289,£18192,£14027,missing,15102,missing,£13056
2021-01-07,drone,missing,qualcomm,ultrabook,NaN,Consumer,Hp,missing,Mini-Led,B,missing,GREY,MID-RANGE,Professional,yes,5526," 3,644",5447,£2298,"10,168",£12728,12428,NaN,2896,322
"Apr 16, 2021",server,windows,qualcomm,missing,2021-23, Consumer ,LENOVO,bluetooth,NaN,-999,2y,Grey,BUDGET,GAMER,yes,4939,8059,£14339,13653,14014,,3439,5605,NaN,14617
-999,-999,missing,AMD,ultrabook,<2015,ENTERPRISE,dell,wi-Fi,missing,a,5y,white, MID-RANGE ,creator,-999,-999,£12210,6232,£15817,£17483,19783,,19540,8525,14545
NA,robot,windows,APPLE,2-in-1,2018-20,Education,Lenovo,BLUETOOTH,Lcd,B,1y,Silver,Premium,Creator,,5304,12517,12044," 3,783",8859,"16,937",397,NA,£15333,17569
29/03/2022,Robot,Linux,Amd,2-IN-1,2021-23,GAMING,asus,5g,lcd,c,no_warranty,grey,premium,student,no,13169,2081,16571,NA,£13275,NA,-999,1710,,10877
14/10/2022,Robot,chromeos,Intel, 2-in-1 ,2024+,Consumer,Dell,Ethernet, mini-led ,C,NA,black, premium ,,YES,£7938,£19053,4105,11291,6201,   983,,5244,"12,169",£16037
03/12/2023,ROBOT,CHROMEOS,INTEL,mini_pc,2021-23,GAMING,HP,ethernet,,C,3y,grey,Flagship,student,yes,"10,936",NaN,"16,407"," 1,895",4695,18058,"10,946",1190," 9,029",1658
2022-04-06,Drone,LINUX,Qualcomm,Mini Pc,2018-20,enterprise,NA,,mini-Led,d,No Warranty,white,flagship,gamer,yes,"10,785",£11598," 6,804",£1602,"17,953",£17353,8906," 4,916",1773,£18487
27/02/2022,Smartphone,windows,missing, desktop ,2015-17,gaming,ASUS,5G,OLED,B,3y,BLACK,flagship,Creator,No,NA,11305,13973,12129," 3,784",18281,6507,18887,£13702,11476
04/12/2022,TABLET,NA,amd,2-In-1,2024+,Enterprise,dell,wi-fi,Oled,c,1y,Silver,Mid-Range,student,NO,17016,13037,missing,19388,£8809,8654,16992,17909,17442,£18254
2022-04-28,Tablet,chromeos,NA,Desktop,2024+,-999,Apple,Bluetooth,,C,3Y,silver,mid-range,Professional,no,"17,195",,£11395,10636,18309,5937,6833,14271,NA," 8,727"
24/11/2022,drone,Linux, Intel ,mini_pc,<2015,ENTERPRISE,hp,Ethernet,E-Ink,b,,silver,Premium,Professional,no,15440,11624,16577,7680,£7352,1147,,£17429," 6,515","12,271"
-999,server,MACOS,Apple,desktop,missing,EDUCATION,acer,5g,OLED,D,1y,blue,flagship,STUDENT,yes,-999,4592,5748,16577,2933,13576,18918,NA,15882,"11,080"
17/12/2023,DRONE,windows,QUALCOMM,desktop,2021-23,education,Apple,ethernet,e-ink,a,5Y,Black, flagship ,STUDENT,no,15960,15287,14805,-999,2702,-999,11451,13767,896,16715
23/04/2022,server,chromeos,NA,2-in-1,2021-23,NaN,apple,wi-Fi,lcd,B,1y,Black,budget,professional,Yes,2357,8023,£3674,2122,£5547,-999,14298,£3530,10503,18572
2023-03-26,Smartphone,windows, Amd ,2-In-1,<2015,CONSUMER, apple ,wi-fi,e-ink,B,5y,SILVER,PREMIUM,creator,No,8833,"10,991"," 1,357",4911," 6,493"," 7,862",£4260,£13535,15004,£18341
-999, tablet ,macos,intel,miniPc,missing,consumer,Dell,5g,oled,C,3y,blue,PREMIUM,student,yes,-999,17562,19806,18460,"17,245",-999,8350,17421,NaN,£6174
10/12/2024,Drone,ANDROID, qualcomm ,2-in-1,2018-20,GAMING,acer,ethernet,missing,B,NaN,Blue,premium,student, yes ,9256,-999,NA,1695,3370,missing,11566,18973,-999,3680
14/12/2024,server,macos,INTEL,desktop, <2015 ,education,hp,ETHERNET,Lcd,c,no_warranty,blue,Mid-Range,gamer,yes,£14724,"10,998",10124,2888,"16,788",   801,3583,-999," 2,143",9161
29/06/2024,laptop,MACOS,apple,2-In-1,<2015,gaming,apple,5G,,a,5Y, Grey ,NA, professional ,missing,10470,18215,NaN,£14678,"18,998",5536,14703,14698,£17198,15505
18/06/2021,SMARTPHONE,NaN,Qualcomm,MINI PC,2015-17,Education,missing,bluetooth,e-Ink,c,1Y,grey,Mid-Range,Creator,NA,17928,8065,1449,15997,missing,"17,160",£18567,11156,1554,"11,039"
-999,drone,android,amd,mini pc,2024+,NA,hp, 5g ,oled,,5y,NaN,BUDGET,Gamer,NO,2734,"15,713",6054,£5227,£18269,6072,£1035,1383,£11305,8672
2024-01-16,-999,ANDROID,QUALCOMM,Desktop,2018-20,EDUCATION,LENOVO,ETHERNET,oled,C,3y,GREY,budget,student,yes,£3564,13523,2662,14584,£2131,11543,8692,£2891,-999,12913
2024-07-26,LAPTOP,macos,qualcomm,mini pc,2015-17,gaming,asus,bluetooth,E-Ink,B,NO WARRANTY, silver ,budget,-999, YES ,7347,18534,£8699,"14,450",£14276,"19,219",6357,1191,18958,
01/04/2022,NaN,Android,Amd,mini pc,2024+,EDUCATION,hp, WI-FI ,OLED,B,No Warranty,-999,Mid-Range, creator ,yes,missing,£16215,7600,£11343,,14537,5478,£16429,3639,£7370
"Aug 24, 2023",DRONE,windows,apple,Mini Pc,2024+,education,asus,bluetooth,OLED,a,,silver,mid-range,professional,NO," 7,445",9137,5443,16015," 7,339",11091," 4,861",£6221,"15,052",4807
2021-05-24,server,macos,apple,desktop,2021-23,gaming,lenovo,ethernet,LCD,b,3y,black,premium,Student,missing,17361,1697,17719,5738,8702,"15,266",4403,-999,"18,521","18,297"
2024-06-25,SMARTPHONE,macos,qualcomm,Desktop,-999,EDUCATION,Asus,5G,MINI-LED,B,No Warranty,SILVER,premium,gamer,yes,12861,1318,10192,£9736,"16,768",£9070,18239,3891,4319,11258
2021-12-06,Smartphone,NaN,qualcomm,NA,2021-23,gaming,DELL,ethernet,-999,b,2y,NaN,flagship,Creator,no,14743,6443,5145,4801,£14778,£17117,£4199,6170,NA," 4,854"
18/12/2024,robot,android,-999,ultrabook,2024+,ENTERPRISE, LENOVO ,5g,lcd,b,3y,black,Premium,creator,YES,-999,£2300,19235,-999,18994,5591,17941,NA,missing," 5,411"
2022-03-09,-999,Chromeos,intel,NaN,2021-23,Gaming,Acer,5G,LCD,a,1Y,Silver,FLAGSHIP,PROFESSIONAL,yes,,£1274,18566," 3,257",missing,£1917,12370,NA,10330,15705
23/09/2022,Tablet,macos,NaN,,2015-17,,dell, 5g ,MINI-LED,d,5y,NA,missing,-999,yes,10142,18204,17511,5325,NaN,NA,"11,691",14674,£13572,18035
"Aug 06, 2021",smartphone,NA,APPLE,2-In-1,2021-23,enterprise,asus, ethernet ,MINI-LED,NA,3y,White,premium,NaN,NA,"10,873",£19009,4735,19247,11592,"14,517",missing," 7,159",£16253,15059
"Jul 10, 2023",server,Android,apple,miniPc,2018-20,education,LENOVO,ETHERNET,lcd,,2y,blue,mid-range,Creator,no,-999,£12168,10823,5452,16046,10157,£14750,£9410,£11254,18080
2023-01-14,tablet,Ios,qualcomm,Desktop,2021-23,gaming,ASUS,wi-fi,OLED,D,3y,BLACK, Budget , Gamer ,yes," 2,662",NA,£13742,£12195,NaN,6547,13962,318,£12015,2341
2022-02-17,laptop,Linux,apple,desktop,2021-23,gaming,LENOVO,WI-FI,lcd,a,1y,blue,Budget, Gamer ,yes,NaN,12012,£14451,£13876,1926,13253,10610,15780,£16808,5370
,robot,LINUX, qualcomm ,desktop,2021-23,Consumer,NA,bluetooth,oled,d,3Y,white,flagship,-999,No,£16567,"11,140",,£7268,17226,9798,1212,8890,missing,17222
2023-06-05,Robot,missing,APPLE,Ultrabook,2021-23,enterprise,ASUS,ethernet,e-Ink,NA,2Y,missing,budget,Professional,missing,"16,052",18313,3099,15994,12090,18036,£5226,£2788,£2417,9948
"Aug 20, 2021", Tablet ,missing,AMD,desktop,2024+,Consumer,-999,WI-FI,Oled,D,missing,black,budget,Student,yes,15216,,"11,231",10503,NaN,   548,"15,893",3321,13317,£12119
"Aug 22, 2024",Drone,Linux,amd,ultrabook,<2015, gaming ,ASUS,ethernet,LCD,c,NaN,White,Flagship,STUDENT,NaN,5910,13580,2353,£10359,"17,939",9398,1966," 9,307",-999,"16,582"
20/02/2023,NA, windows ,apple,Mini Pc,-999,missing,acer,ethernet,Mini-Led,B,1y,missing,flagship,Gamer,no,NaN,4873,6737,1169,8576,18201,£3470,£3631,16274,8276
2023-12-19,Laptop,chromeos,amd,-999,2021-23,Consumer,dell,ethernet,MINI-LED,b,3y,NaN,flagship,student,no,missing,NaN,9265,18297,15069," 8,252",11628,"14,543",,15966
17/05/2021,drone,-999,QUALCOMM,NaN,2021-23,gaming,asus,bluetooth,oled,b,3y,NaN,premium,GAMER,no,9894," 2,043",10421,NaN,missing,-999,£1815,£6411," 3,963",19706
08/11/2024,NA, Linux ,Apple,Ultrabook,2024+, ENTERPRISE ,lenovo,wi-fi, oled ,c,2Y,grey,PREMIUM,gamer,yes,19510,638,8182,NaN,11696,NA,15747,£2416,19848,19564
2024-03-15,laptop,macos,apple, ultrabook ,2015-17,consumer,NaN,bluetooth,e-ink,B,No Warranty,white,Budget,-999,YES,missing,17928,£1848,£6787,13059,10693,5548,4595,NA,£4792
07/06/2021,robot,windows,Apple,-999,2024+,GAMING,missing,5g,mini-Led,D,5y, blue ,NA,gamer,no,4780,8617,14020,10674,NA,2098,14869,17147,"10,227",18046
2022-09-10,DRONE,ios, Apple ,mini pc,<2015,enterprise,Apple,5g,E-Ink,b, 5Y ,white,MID-RANGE,professional, no ,"10,456"," 8,314",16102,2857,12678," 9,342",6586,9368,4672,15873
28/04/2023,laptop,chromeos,qualcomm, ULTRABOOK ,<2015,education, LENOVO ,ETHERNET,MINI-LED,a,NA,Black,budget,NaN,yes," 9,831",£10176,missing,£16738,611,3433,17494,£11847,£1692,13662
2023-04-29,robot,ANDROID,intel,2-in-1,2024+,Enterprise,lenovo,ethernet,e-ink,NaN,1y,BLACK,Flagship,gamer,yes,5039,15358,£1081,£12160,3267,1572,£17482,£17452,missing,17760
"May 26, 2023",Server,windows,Qualcomm,NaN,2021-23,consumer,,Bluetooth,E-Ink,d, 5Y ,Blue,Flagship,missing,YES,10120,"15,733","15,491",12519,16005," 7,228",12708,"17,549",11877,11249
"May 25, 2023",NaN,windows,QUALCOMM,NaN,-999,NA,dell,ETHERNET,lcd,c, no_warranty ,Black,Budget,professional,,2959,16460,£6544,11417,£9885,-999,7872,missing,8287,2882
-999,smartphone,android,amd,Ultrabook,2015-17,education,missing,NaN,,c,1y,missing, MID-RANGE ,NA,yes,£3783,missing,1022,7870,4226,7911,,NaN,17644,"13,097"
missing,-999,linux,Qualcomm,2-In-1,2021-23,CONSUMER,lenovo,5g,-999,b,noWarranty,White,PREMIUM,professional,yes,£12059,18312,2587,4960,£13005,NA,missing,947,,8739
2021-10-26,,windows,intel,miniPc,<2015,-999,hp,, mini-Led ,c,missing,SILVER,missing,gamer,no,14,43,8092," 4,998","11,408",15285," 6,400",-999,NaN,£16442
2023-08-13,Robot,IOS, qualcomm , mini_pc ,-999,gaming,Dell,5g,e-Ink,d,2y,-999,Flagship,GAMER,NO,5501,3947,14687,9218,"19,902",18256," 2,598",12595,19137,"13,418"
21/08/2024,Tablet,Ios,intel,NA, <2015 ,-999,dell,ethernet,OLED,b,3y,BLUE,missing,creator,yes,£15664,11016,NA,18378,,15484,15752,8698," 1,111",
"May 04, 2023",smartphone,NaN,amd,mini pc,2015-17,enterprise,hp,wi-fi,,-999,3y,missing, premium ,student,yes,5203,4316,10207,19914,missing,14821,14139,1502,NA,17508
2023-04-04,ROBOT,macos,-999,desktop,2024+,enterprise,ASUS,wi-fi,Oled,C,1y,blue,mid-range,CREATOR,no,149,18005,888,£13344," 6,033",3396,13102,"11,359"," 4,858",missing
25/06/2023,server,Chromeos,Intel,ULTRABOOK,<2015,NA,ASUS,NaN,Mini-Led,NA,1y,black,FLAGSHIP,Student,yes,12351,£599,9852,18256,-999,16892,NA,4773,£10996,
2023-03-23,laptop,Macos,-999,Mini Pc,2024+,education,apple,wi-Fi,e-Ink,a,5y,black,mid-range,NaN,yes,19141,8676," 9,107",8598,17351,£12508,"19,567",£7547,11450,4618
2021-09-01,-999,Linux,APPLE,miniPc,2021-23,consumer,apple,wi-fi,lcd,d,5y, black ,premium,student,Yes,£13701,11089,16587,15143,16909,19006,"19,252",£11674,18890,6555
2024-08-24,tablet,LINUX,,MINI PC,<2015,education,DELL,bluetooth,missing,B,3y,white,NA,Creator,No,9894,11101,"13,793","10,762",8865,£16481,13126,4817,£1595,11681
26/08/2024,drone,windows,,2-In-1,-999,Education,dell,Bluetooth, oled ,A,1y,silver,mid-range,Gamer,Yes,6708,14,"11,000",11229,missing,19058,13615,missing,-999," 5,700"
2024-03-26,tablet,LINUX,AMD,ULTRABOOK,2021-23,gaming,APPLE,ETHERNET,,a, 3y ,Blue,Flagship,Student,Yes,NaN,19653,"15,075",11381,19658,£598,18204,17888," 3,282",14507
NA, drone ,windows,intel,ultrabook,2018-20,consumer,acer,wi-fi,LCD,a,2y,white,NaN,Student,no,10704,missing,,NaN,16072,£6847,16049,3741," 6,845",£10639
25/12/2022,robot,android,intel, DESKTOP ,2024+,enterprise,ASUS,Ethernet,mini-led,b,5y,black,budget,NA,No,£1640,10661,9467,15341,NA,,"17,095",£3729,7219,£4102
31/03/2022,Robot,chromeos,-999,DESKTOP,NaN,education,lenovo,missing,mini-Led,a,no warranty,Silver,MID-RANGE,professional,no,£14816,,13567,£16017,19568,3507,NA,missing,1347,10992
16/01/2024,-999,MACOS, apple ,ultrabook,<2015,NaN,acer,wi-fi,E-Ink, B ,,GREY,FLAGSHIP,Professional,yes,"16,847",2464,7727,"13,719"," 6,006",   116,£15248,£13566,£5232,12796
13/01/2024,drone,WINDOWS,NA,mini_pc,<2015,consumer,acer,wi-fi,e-Ink,A,missing,silver,premium,student,yes,19614,missing,6552,14146,17482,11138,£18647,"17,409",£3897,NA
20/11/2024,Drone,IOS,QUALCOMM,2-In-1,2024+,missing,Hp,wi-Fi,Mini-Led,A, 2y ,BLACK,Flagship,creator,Yes,£12011,£999,£2183,15233,£10859,19415,NaN,NA,7426,13753
2022-03-23,-999,ANDROID,apple,Mini Pc,2015-17, Gaming ,asus,wi-fi,NaN,D,1y,GREY,budget,NA,YES,£4442,12579,17042,7399,15972,,£12666,1701,£8207,1699
23/01/2022,Smartphone,Android,AMD,Ultrabook,2024+,Consumer,NA,Ethernet,e-ink,b, NO WARRANTY , White ,premium,creator,NO," 3,404",9133,"15,301",8262,758,11485,14874,NA,NA,NaN
2023-06-04,LAPTOP,Ios,apple,NA,2024+,enterprise,HP,BLUETOOTH,-999,B,-999,SILVER,Mid-Range,student,no,4345,2196," 7,169",5221,12648," 5,771",7932,missing," 8,526",£8071
13/10/2023,NA,linux, intel ,mini_pc,2024+,EDUCATION,lenovo,wi-fi,e-ink,d,-999,Grey,BUDGET,student,No,7728,£11617,2562,-999,7397,12154,3306,£15265,,13486
2024-05-16,-999,Ios,-999,-999,2015-17,consumer,lenovo,5G,mini-Led,a,5Y,black,Flagship,student,Yes,NaN,7132,2861,£10255,£8660,8491,,,5583,9871
