 date , Breed ,colour,COAT LENGTH,pattern,eye_colour, vaccination_status ,microchipped?,age band?,indoor/Outdoor, favouriteToy ,temperament,food preference?,Litter Type/,Adoption Source,health issue,weight kg,age_months,LENGTH CM, height_cm ,daily calories,vet visits/,litterUsedKg,Play Sessions/Week, NAPS/DAY ,cost_£/month
2022-04-21, BRITISH SHORTHAIR ,Orange, hairless ,SPOTTED,Green, up-To-Date ,NO,JUNIOR,both,String,FRIENDLY,raw,silica,friend,ALLERGY,-999,4721,2736,£1194,8226," 7,530"," 8,494",14980,3102,NA
19/07/2023,BRITISH SHORTHAIR,ORANGE,long,solid,copper,,no,Junior,Outdoor,laser_pointer,playful,dry, recycled_paper ,missing,allergy,16764,11381,10410,2334,"18,809",13282,9144,13599,NA,16568
2022-11-20, sphynx ,missing,Hairless,POINTED,odd-eyed,Not Required,yes,Senior,BOTH,ball,playful,dry,recycled_paper,Online,arthritis,13207,£7974,12234,19391,2126,6207," 5,398",£15957,3391,£7178
"Jan 30, 2023",BENGAL,,medium,solid, BLUE ,up-To-Date,missing,missing,indoor,BALL,lazy,-999,missing, friend ,arthritis,7123,18440,NA,"10,770",NA,,missing,6140,10815,"15,680"
22/04/2023,missing,orange,Medium,tabby,copper,not required,yes,senior,NA,CATNIP MOUSE,PLAYFUL,RAW,non-clumping,stray,dental,-999,212," 3,997",6731,"13,870",£6426,£3097,14593,missing,"15,175"
04/11/2023,British Shorthair,black, short ,TABBY,copper,Not Required,Yes,kitten,outdoor,CATNIP MOUSE,Shy,dry,NA,Online,none,£15092,£9517,NA,14333,2383,3245,"13,600",£9473,16644,9365
2024-06-23,Ragdoll,white,short,BI-COLOUR,odd-Eyed,OVERDUE,,SENIOR, OUTDOOR ,string,SHY,Dry,,SHELTER,Obesity,missing,£17495,4077,£1135,"14,676",£8590," 5,329",15375,NA,226
2021-04-22,siamese, Black ,SHORT,spotted, green ,unknown,no,MATURE,OUTDOOR,CATNIP MOUSE,playful,missing,Non-Clumping,friend,allergy,6041,553,£17382,9333,2847,2705,11509,£9454,4871,16442
31/12/2022,RAGDOLL,tortoiseshell,hairless,SOLID,copper,, NO ,prime,OUTDOOR,laser pointer,Playful,WET,non-Clumping,ONLINE,NONE,9485," 1,123",13813,14328,7612,NA,15131,"17,829",NaN,9583
09/11/2021,siamese,cream,,spotted,green,UP-TO-DATE, Yes ,prime,outdoor,Catnip Mouse,aggressive,wet,clumping,online,,8920,15833,NA,"18,320",£18211,£1946,,3371,-999,18229
"Aug 12, 2024",tabby,Cream,Medium,spotted, blue ,notRequired,yes,mature,NA,NaN,shy,Wet,recycled paper,ONLINE,none,"16,537",-999,8085,-999,6841,7349,£3736," 1,827",£7043,17879
"May 21, 2021",TABBY,GREY,Long, POINTED , blue ,notRequired,yes,MATURE,INDOOR,,shy,DRY,-999,friend,none,,£6067,£18791,3327,17039,18158,,1118,4381,
2023-09-24,British Shorthair,TORTOISESHELL,-999, POINTED ,odd-eyed,overdue,missing,geriatric,BOTH,catnip mouse,missing,wet,RECYCLED PAPER,Breeder,ARTHRITIS,£12119,13132,10943,16329,5706,461,"15,091",90,3864,8272
15/11/2022,bengal,cream,medium,-999,blue,NaN,no,junior,indoor,Laser Pointer,aggressive,raw,-999,online,obesity,16748,   910,9993,-999,£17772,missing,14517,£18411,10140,£271
-999,Siamese,NaN,short,NA,GOLD,Overdue,NO,kitten,indoor,FEATHER WAND,friendly, wet ,silica,BREEDER, dental ,13513,14027,NA,£13447,   103,10190,16934,18635,17934,£18759
22/09/2023,siamese,BLACK,long,Spotted,ODD-EYED,unknown,missing,Prime,outdoor,FEATHER WAND,shy,DRY, recycled paper ,shelter,arthritis,209,£11585," 4,522",17206,£17472,,   356,£134,6929,17593
26/09/2023,Sphynx,brown,Medium,missing,NaN,unknown,no,GERIATRIC,outdoor,ball,aggressive,DRY,RECYCLED PAPER,Stray,ALLERGY,-999,1797,955,758,12542,14300,8596,NA,12952,6209
06/03/2021,missing, Orange ,short,solid,green,Overdue,NO,Kitten,outdoor,FEATHER WAND,aggressive,DRY,recycled paper,friend,arthritis,3605,19035,18382,1998,15924,"19,356"," 2,459",19633,4549,16768
2024-09-06,tabby,white,short,NA,copper,NOT REQUIRED,No,PRIME,both,Feather Wand,aggressive,wet,-999, FRIEND ,dental,9611,17953,2075,5123,-999,," 2,156",-999,£2050,£9963
01/07/2023,british shorthair,tortoiseshell,MEDIUM,bi-colour,NA,up-to-date,yes,geriatric,indoor,feather wand,friendly,mixed,NON-CLUMPING, BREEDER ,-999,14684,,1991,missing,13015,19709,8424," 7,700",6905,1505
27/01/2024,siamese,white,Short,solid,Gold,OVERDUE,yes,geriatric,INDOOR,NaN,playful,mixed,NON-CLUMPING,friend,dental,3009,18557,6643,12032,11130,8646,4585,3130,£17884,NaN
04/08/2023,maineCoon,white,HAIRLESS,bi-Colour,gold,UP-TO-DATE,yes,junior,-999,ball,AGGRESSIVE,missing,recycledPaper,online,-999,7220,19793,18740,10526,969,-999,6286,£13923,12158,15469
22/08/2024,persian,,hairless,pointed,gold,unknown,no,NA,Both,catnipMouse,NaN,dry,CLUMPING,SHELTER, OBESITY ,"15,594",8638,15259,"12,250",3920,3753,3647,£8485,18894,10367
16/09/2021,persian,CALICO,long,tabby, BLUE ,not required,no,senior,outdoor,catnipMouse,aggressive,WET,clumping,STRAY,obesity,£5848,10507,2432,2788," 5,994",18786,9168,"19,009",8898,£11390
25/08/2022,persian,Calico,long,tabby,Copper,NOT REQUIRED,missing,PRIME,Both,feather_wand,aggressive,missing,Non-Clumping,shelter,Dental,£332,missing,15747,3475," 5,629",8273,8070,16245,13381,13364
2021-11-07,persian, calico ,short,tabby,gold,up-To-Date,-999,prime, both ,BALL,shy,wet,non-clumping,breeder,Dental,"17,491",10835,19981,£6920,10614,£5068,missing,7117," 7,658",1845
2022-03-08,Tabby,Brown,HAIRLESS,solid,Odd-Eyed,up-To-Date,yes,Mature,indoor,feather_wand,aggressive,Dry,recycled_paper, online ,none,2925,6697," 4,110",497,13396,18607,£14417,6554,16680," 6,759"
08/04/2023,bengal,brown,Hairless, Solid , gold , overdue ,-999,NaN,OUTDOOR,BALL,shy,Raw,NA,breeder,dental,12998,3342,16544,11152,12041,11736," 5,514",,13974,8835
16/04/2024,Ragdoll,BLACK,medium,POINTED,copper,UP-TO-DATE,No,mature,NA,Laser Pointer,Shy, wet ,Silica,friend,dental,16892,8466,NA,NA,£3935,3474,£2919,"16,026",15860,4486
"Apr 11, 2021",ragdoll,WHITE,long,NaN,copper,overdue,no,Senior,Indoor,laser pointer,missing,,Clumping, online ,OBESITY,19160," 9,684",14848,16782,"19,458",£8685," 2,338",5580,NaN,5072
06/07/2024,ragdoll,TORTOISESHELL,missing,tabby,Gold,unknown,yes,kitten,INDOOR,laser pointer,friendly, wet ,NON-CLUMPING,friend,dental,£5796,7229,17446,-999,12357,630,£10333,"13,655",7390,12056
23/05/2024,persian,black,MEDIUM,SOLID,COPPER,OVERDUE,yes,geriatric,Indoor,ball, lazy ,dry,non-clumping, shelter ,none,3750,NaN,missing,14141,£902," 4,039",£9644,369,"14,047",3238
"Jun 14, 2024",Bengal,tortoiseshell,Short,missing,odd-eyed,overdue,-999,prime,Both,string,playful,raw,CLUMPING, ONLINE ,ALLERGY," 2,983",£4600,6575,15859," 7,217",10596,14686,£4298,£15512,£14943
2021-12-23,britishShorthair, grey ,short,spotted,green,unknown,YES,NA,NaN,string,aggressive,mixed, Silica ,online,dental,£17042,NaN,£5216,16288,NA,1804,£19612,7720,16851,NA
2021-10-01,NaN,WHITE,,SPOTTED, Blue ,unknown,no,-999,indoor,-999,NaN,raw,clumping,ONLINE,none,NaN,NaN,£5138," 1,089","19,444",19028,NaN,18681,6807,6978
2023-12-25,persian,NA,NaN,spotted,ODD-EYED, UNKNOWN ,no,prime,both,ball,Playful,Wet,CLUMPING,Shelter,none,3049,missing,£18188," 4,067",£8843,£12835,missing,2102,8437,17
21/05/2024,tabby,cream,MEDIUM,solid,ODD-EYED,notRequired,No,NA,indoor,Catnip Mouse,missing, raw ,-999,online, Allergy ,£3762,3045,14194," 7,949",626,19419," 6,019",£15447,13731,"19,868"
14/01/2023, SPHYNX ,white,MEDIUM,pointed,-999,overdue,Yes,kitten,Both,string,Shy,raw,CLUMPING,friend,ALLERGY,15108,NA,7675,£5739,4818,1815,6892,5978,NaN,13265
2022-08-05,tabby,CREAM,Short,bi-Colour,green,NA,NO,Prime,Both,-999,aggressive,wet,non-Clumping,breeder,NONE,13437,"17,306",5567,14555,missing,15703,363," 8,891",8433,NA
07/02/2023,BRITISH SHORTHAIR,missing,hairless,NA,GREEN,OVERDUE,yes, junior , Outdoor ,BALL,lazy,dry,non-Clumping,shelter, obesity ,"13,318"," 7,010",19264,"12,124",£13231,£8588,£6891,"10,404",19791,11705
NA,,NaN,hairless,bi-Colour, gold ,unknown,yes,geriatric,OUTDOOR,Laser Pointer,LAZY,mixed,Silica,FRIEND,Arthritis,11964,£4526,,   692,17452,7705,4558,£14792,£5825,4583
14/07/2024, maine_coon ,TORTOISESHELL, long ,TABBY,blue,Up-To-Date, yes ,geriatric,BOTH,laser_pointer,AGGRESSIVE,mixed,clumping, Online ,none,£19417,missing,16760,missing," 7,398"," 7,568","19,854",10916,12184,19441
24/01/2024,maine coon,grey,Hairless,NaN,copper,NaN,no, KITTEN ,Both,laser pointer,playful,Dry,NaN,online,OBESITY,19343,11486,missing,13000,1471,£1654,9030,340,£1559,1327
2023-06-12,PERSIAN,tortoiseshell,Medium,tabby, Odd-Eyed ,NOT REQUIRED,no,geriatric,OUTDOOR,feather_wand,aggressive,MIXED,missing,Breeder,obesity,8581,9560,3208,"13,311",8661,missing,"11,517",7070," 6,916",6579
07/11/2022,sphynx, GREY ,HAIRLESS,SOLID,gold, UNKNOWN ,Yes,junior,both,ball,Playful,Wet,CLUMPING,friend,obesity,991,£12572,11929,16501,£13618,4283,10253,15557,4168,15239
NA,siamese,orange,long,missing,Blue,unknown,YES,senior,Indoor,Catnip Mouse,AGGRESSIVE,WET,silica,BREEDER,missing,10978,£1931,3388,£430,15515,12785,6847,missing,4292,-999
20/10/2021,persian,brown,HAIRLESS,Spotted,BLUE,not required,yes,missing,Indoor,Feather Wand,friendly,mixed,clumping,breeder,NA,17788,missing,16859,16010,£16220,6323,444,18997,5945,9651
24/10/2022,BRITISH SHORTHAIR,brown,Hairless,bi-Colour,copper,up-To-Date,no,Geriatric,indoor,-999,friendly,Mixed,silica,breeder,arthritis,19280,£13848,15278,NA,11999,9462,-999,15194,12216,9712
2024-08-07,bengal,brown,Medium,,,UNKNOWN,Yes,geriatric,-999,string,lazy,raw,clumping,shelter,none,£10768,£16887,17151,2419,"10,234",4917,10716,£9568," 3,053",2534
15/01/2023,maine_coon,TORTOISESHELL, Hairless ,pointed,copper,not required,NO,prime,indoor,BALL,shy,dry,silica,shelter,allergy,-999,7737,10449,5060,£5267,6340,NA,14019,£2714,10683
2021-01-16,siamese,Brown,short, SOLID ,odd-eyed,UP-TO-DATE,yes,geriatric,both,Feather Wand,playful,MIXED,NaN,ONLINE,None,"15,218",6654,£15594,NA,11319,17150,11954,missing,12265,£471
-999,siamese,white,MEDIUM,BI-COLOUR,copper,Up-To-Date,NaN,senior,outdoor,featherWand,FRIENDLY,raw,clumping,Breeder,DENTAL,16320,13785,£5109,11666,NA,"13,675",19538,5974,£15049,£2934
28/10/2024,BENGAL,cream,short,solid,blue,Overdue,yes,prime,both,string,playful,dry,RECYCLED PAPER,shelter,,10878,9046," 3,909",NA,NaN,8070,11603,4284,"13,278",18706
"Feb 26, 2024",british_shorthair,ORANGE,long,bi-colour,Gold,Overdue,-999,missing,Both,catnip mouse,AGGRESSIVE,Wet,non-clumping,stray,arthritis,missing,13233,1053,NA,8957,"10,539",£4867,10868,18063,121
18/11/2023,,NaN,long, tabby ,copper,up-to-date,yes,Mature,indoor,Feather Wand,aggressive,wet,-999,STRAY,allergy," 4,557",5265,£18704,missing,"10,436","17,222"," 6,591",8973,£3051,
2023-01-05,British Shorthair,White,hairless,Tabby,Gold,unknown,no,senior,both,LASER POINTER,FRIENDLY,raw,Clumping,ONLINE,Allergy,17897,13655,11384,,-999,17997,"18,294",missing,1351,4767
2022-05-17,SIAMESE,cream,MEDIUM,missing,gold,,yes,geriatric,both,catnip mouse,PLAYFUL,raw, non-Clumping ,BREEDER, dental ,"13,710",£3033,19708,"12,237",£10463,£19671,missing,4114,8231,6658
19/05/2024,SIAMESE,grey,MEDIUM,Solid,gold,overdue,no,mature,indoor,ball,playful,mixed,Clumping,breeder,OBESITY,5345,8600,17288,19743,missing,17869," 5,372",-999," 5,869",1732
20/01/2023, persian ,tortoiseshell,missing,BI-COLOUR,odd-eyed,UP-TO-DATE,yes,senior,Indoor,missing,aggressive,Dry, recycled_paper ,friend,NA,1087,"15,215",11960,2423,19979,9068,16360,£1779,841,12715
2022-12-29,tabby,BROWN,HAIRLESS,Spotted,green,UNKNOWN,missing,PRIME,both,ball,playful, raw ,non-clumping,,allergy,17395,NaN,5935,NA,"15,184",6918,18550,10668," 7,049",-999
2021-01-01,Siamese,calico,Hairless, Spotted ,Copper,up-to-date,yes,kitten,OUTDOOR,Ball,friendly,,Non-Clumping,friend,Arthritis,-999,13039,13173,15282,13622," 8,793"," 6,614",£2742,12977,17083
24/07/2022,-999,Black,Hairless,pointed,BLUE,Overdue,yes,geriatric,NA,-999,shy,Dry,non-Clumping,FRIEND,arthritis," 9,565",1873,   788,"19,660",£13224,missing,12670,£17690,6839,£17095
2021-10-20,britishShorthair,black, LONG ,pointed,copper,-999,No, kitten ,OUTDOOR,string,lazy,-999,non-clumping,Friend,none,9495,£3027,£9383,NaN,12918,1346,,15511,6623,12667
2021-02-15,maine_coon,BROWN,medium,-999,gold,OVERDUE, yes ,Mature,-999,Feather Wand,playful,raw,CLUMPING,-999,NA,17671,3982,missing,18563,1903,8381,15901,NA,-999,1735
2024-04-30,siamese,tortoiseshell,short, SOLID ,gold,not_required,NO,Prime,outdoor,LASER POINTER,shy,DRY, Clumping ,,none,15971,"12,059",£10932,£17125,18625,NA,3004,15830,18972,6887
"Aug 10, 2021",bengal,Cream,hairless,solid,copper,overdue,NO,geriatric,NA,NA,FRIENDLY,dry, Recycled Paper ,Online,Arthritis,11652,12052,£8216,£7096,14899,13261,11656,£12976,£14954,
12/10/2023,SPHYNX,calico, hairless , pointed ,Gold,up-To-Date,no,SENIOR,indoor,ball,playful,dry,silica,,NA,"18,332",14167,4898,18033,12344,13991,9096,12438,15622,345
-999,maineCoon,NaN,short,spotted,copper,overdue,no,geriatric,both,Catnip Mouse,friendly,-999,Silica,Friend,dental,£2985,7494,11486,6905," 9,908"," 4,188",18754,6824,6262,£14079
2024-12-18,bengal, ORANGE ,hairless, bi-colour ,gold,Not Required,yes,JUNIOR,Indoor, laser_pointer ,FRIENDLY,dry,,SHELTER,dental,7670,4534,"16,269",missing,-999,1488,15561,£1300,15694,"11,569"
2022-01-04,tabby,black,Short,Pointed,Blue,missing,no,GERIATRIC,Outdoor, STRING ,lazy,dry,non-clumping,breeder,allergy,18833,12180,£396,6483,9384,missing,£18877,9103,,1634
"Jun 14, 2021",RAGDOLL,white,Medium,solid,NA,up-To-Date,no,junior, both ,ball,FRIENDLY,wet,silica,BREEDER,Allergy,10703,13054,£7124,11972,   392,10433,8409,2243,19630,-999
2022-11-01,-999,,Long,bi-colour,Green,overdue,yes,senior,Both,catnipMouse,FRIENDLY,dry,Recycled Paper,shelter,dental,9164,3724,10160,NaN,3336,10370,NA,"11,068",15718,11837
28/11/2023,persian,black,short,missing,Odd-Eyed,not required,no,kitten,both,Ball,friendly,Raw,recycled paper,stray,dental,£10812," 5,153",1526,11352," 1,668",9281,10444,14947,5197,17933
25/09/2021,tabby,BLACK,Short,solid,odd-eyed,up-To-Date,no,mature,outdoor,-999,aggressive,Raw,NON-CLUMPING,STRAY,dental," 5,728","12,731",£11546,NaN,17379,11482,£4967,8493,15477,14358
12/11/2023,PERSIAN,calico,missing,NaN,gold,up-to-date,yes,junior,NaN,catnip_mouse,shy,raw, recycled paper ,NA,obesity,£10581,1899,missing,4087,2721,missing,NA,NaN,14933,11712
23/02/2023, ragdoll ,orange,SHORT,pointed,Odd-Eyed,overdue,Yes,geriatric,OUTDOOR,, shy ,Wet,recycled_paper,friend,allergy,14772,5174,74,£8323,,149,16474,5913,9171,19744
2023-04-28,PERSIAN,BLACK,medium,spotted,green,-999,yes,junior,both,string,friendly,DRY,Recycled Paper,shelter, none ,14086,465,3014,2588,5061,6688,9981,£7627,£3199,£18930
24/06/2023,sphynx,white,long,bi-Colour,gold,Up-To-Date,yes, Mature ,-999,featherWand,playful,MIXED,non-clumping,shelter,NONE,2797,NA,19753,4721,3971,12014,2734,3548,9585,1466
07/05/2021,missing, WHITE , long ,solid,odd-eyed,unknown,Yes,senior,both,catnip mouse,SHY,Dry,-999,Friend,obesity,£12946,"13,114"," 5,918",£5082,£15062,10693," 8,760",14919,"17,017",
2022-11-26,tabby,white,MEDIUM,NA,odd-eyed, Unknown ,Yes,geriatric,BOTH,string,lazy,wet,clumping,friend,Obesity,NaN,£16666,£5551,£19599,4840,"14,004","11,381",NA,1302,2233
"Sep 29, 2022",maineCoon,White,short,bi-colour,green,UP-TO-DATE,No,junior,indoor, Feather Wand ,Aggressive,dry,Silica,Stray,ARTHRITIS,£12484,2901," 3,510",-999,8310,13023,2151,19643,13919,18963
19/06/2022,ragdoll,grey,long,TABBY,GOLD,unknown,YES,Mature,Both,string,aggressive,raw, RECYCLED PAPER ,Shelter,None,13168,£19035,15497,NA,19562,965,7639,12714,-999,18198
20/01/2024,britishShorthair,White,-999,Pointed,blue,Up-To-Date,Yes,KITTEN,INDOOR,ball,lazy,mixed,clumping,breeder,,9178," 5,156","12,299",7931,£2819,4451,," 7,678",5653,11603
"Oct 15, 2022",bengal,BROWN,LONG,tabby,odd-eyed,unknown,yes, senior ,OUTDOOR,LASER POINTER,lazy,wet,clumping,NA,obesity,6807,£10511,"16,618",-999,8675,5166,14820,"15,593",7563,£7592
"Jan 13, 2022",maineCoon,BLACK,long,spotted,NaN,Up-To-Date,yes,prime,OUTDOOR,missing,Friendly,raw,silica,shelter,DENTAL,1465,17301,£16419,1681,   256,"12,726",£11127,8859,£7758,7741
NaN,maine_coon,grey,Short,SOLID,Odd-Eyed,Overdue,NO,kitten,outdoor,ball,playful, RAW ,SILICA, SHELTER ,Dental,£9958,£10301,13509,"13,628",£4658,-999,269,10020,£2153,NA
01/03/2023,siamese,cream,MEDIUM,missing,odd-eyed,-999,NO,junior,both,string, playful ,wet,RECYCLED PAPER,NA,Obesity,"14,498",13845,"14,180",5618,£1935,£688,16668,£14675,£6698,9510
03/04/2021,sphynx,BROWN,HAIRLESS,Tabby,gold,not_required,Yes, prime ,indoor,string,lazy, dry ,RECYCLED PAPER,breeder,arthritis,6366,-999,NA,£855,15141,2360,10355,,NaN,£18287
11/06/2022,RAGDOLL,-999,HAIRLESS,tabby,green,unknown,yes,-999,INDOOR,feather wand,friendly,mixed,Silica,breeder,Arthritis,18618,NA,£13172,11410,3564,16200,£2780,-999,12682,17513
09/10/2022,ragdoll, white , Short ,TABBY,blue,up-to-date, Yes ,SENIOR, indoor ,NA,SHY,wet,clumping,friend,dental,"10,072",18427,-999,8513,10109,12288,17955,671,£18927,£10205
2022-06-06,bengal,brown,HAIRLESS,spotted,COPPER,missing,no,KITTEN,indoor, BALL ,LAZY,raw,Non-Clumping,breeder,none,£9842,£13737,19994,"11,654"," 3,707",5708,"12,411",NA,   829,1081
06/12/2022,persian,-999,long,spotted,odd-eyed,up-To-Date,yes,senior,,,shy,Wet,recycledPaper,shelter, NONE ,£3800,£11482,2265,17013," 5,039",5108,1365,2089,,1458
"Dec 21, 2021",british shorthair,brown,HAIRLESS,spotted,gold,overdue,No,Junior,missing,ball,shy, wet ,Non-Clumping,shelter,Obesity,13058,£18635,NaN,7097,£16244,15047,"11,766"," 1,866",£19962,3191
04/10/2023,MAINE COON,tortoiseshell, short , Spotted ,NA,Up-To-Date, YES , Kitten ,indoor,catnip_mouse,playful,MIXED,RECYCLED PAPER,Friend,obesity,6579,£2245,£1846,NA,£8529,NaN," 5,486",-999,£16569,12359
16/05/2024,sphynx,black,short,pointed,copper,Up-To-Date,no,kitten,NA,string, shy ,raw,silica,shelter,allergy,6312,missing,£14980,9204,6427,14299,,£9366,11383,2270
NA,tabby,calico,SHORT, BI-COLOUR ,BLUE,unknown,no,prime,both,feather wand,PLAYFUL,Wet,SILICA,Friend,ARTHRITIS,4342,"19,443",£7289,3451,"18,402"," 6,441",50,-999,£1729,10597
2024-11-28,British Shorthair,orange,Short,spotted,copper,OVERDUE,yes,mature,INDOOR,feather_wand,PLAYFUL,NA,missing,breeder,ARTHRITIS,2417,14547,2520,   281,19021,NA,16433,2044,13881,8868
13/07/2023,Maine Coon,grey,medium,Bi-Colour,odd-eyed,Overdue,No,geriatric,indoor,laser_pointer,missing,wet,Silica,breeder, arthritis ,15348,£698,6432,5612,£1292,5581,13102,6353,11499,NA
16/08/2023,persian,black,HAIRLESS,bi-colour,Green,not_required,no,Junior,NaN,NaN,Friendly,mixed,clumping,SHELTER,DENTAL," 7,368",£11207,£1183,£3832,11993," 9,065",£11051,missing,£5939,£8103
"Sep 24, 2023",sphynx, BROWN ,hairless,SOLID,blue, Up-To-Date ,no,MATURE,NaN,Laser Pointer,friendly,Raw,non-Clumping,friend,Arthritis,365," 8,325",10688,14914,"12,824",1328,9668,11940,8337,NaN
,BRITISH SHORTHAIR,black,missing,pointed,green,up-To-Date,NA,,both,LASER POINTER,Friendly,dry,non-clumping,BREEDER,none,10827,missing,8584,11874,652,15060,NaN,12758,19937,17978
2024-01-15,missing,White,hairless,Pointed,blue,overdue,-999,kitten,both,laserPointer,FRIENDLY,WET,clumping,ONLINE,obesity,19035,4790,5231,5090,-999,441,17440,16754," 6,733",2919
05/03/2021,missing,CALICO,hairless,pointed,blue,unknown,no,senior,indoor,ball,Lazy, raw ,Clumping,online,obesity,12288,missing,8724,8147,NaN,,-999,17138,14122,17177
16/09/2022,sphynx,black,medium, Spotted ,green,unknown,Yes,kitten,indoor,string,shy,raw,silica,shelter,NA,12246,£17517,251,7398," 4,020","14,867",11086,10348,17109,missing
2021-09-03,tabby,brown,short,Spotted,-999,not_required,No, junior ,NaN,BALL,AGGRESSIVE,wet,recycled_paper,shelter,Obesity,£9202,"15,295",12674,630,missing,9064,10489,"11,777"," 1,322",10184
04/03/2024,siamese,ORANGE,-999,tabby,Copper,up-to-date,no,missing,-999,laserPointer,playful,DRY,recycledPaper,friend,none,£14949,1622,19099,14372,£19771,-999,3996,£12651,," 4,343"
08/02/2024,Tabby,TORTOISESHELL,Long,tabby,,OVERDUE,YES,,INDOOR, String ,lazy,raw,clumping, stray ,NONE," 9,637",£6976,7194,£3720,NaN,19413,15969,626,11210,£18537
29/12/2023,british shorthair,CREAM,,tabby,gold,UNKNOWN,Yes,prime,Both,Laser Pointer,shy,wet,recycled paper,BREEDER,OBESITY,"10,707",10763,missing,17687,14144,£9717,2014,15994,3284,-999
02/09/2024, TABBY ,Cream,hairless,SOLID,blue,missing,No, geriatric ,outdoor,FEATHER WAND,NaN,wet,Recycled Paper,BREEDER,ARTHRITIS," 1,672",£13414,18544,NaN,8864,9275,"13,698",1933,"19,375",13055
28/10/2024,bengal, White ,long,SOLID,copper,overdue,yes,NA,outdoor,featherWand,friendly,WET,non-clumping, breeder ,arthritis,3555,missing,£3968,£16060,17181,2918," 8,124",,-999," 8,927"
2022-05-20,ragdoll,orange, MEDIUM ,solid,BLUE,up-To-Date,YES, geriatric ,outdoor,feather_wand,playful,MIXED,Clumping, stray ,DENTAL,missing,£16068,17661," 1,456",17512," 6,133",9256,2337,11021,2913
09/03/2024,bengal,White,hairless,Spotted, green ,UNKNOWN,NO,Geriatric,INDOOR,ball,Playful,Mixed,recycled paper,friend,NaN,15239,3697," 7,496",£16719,,9608,725,12339,NaN,11778
2021-10-16,missing,Brown, short ,Bi-Colour,gold, overdue ,no,MATURE,NA,CATNIP MOUSE,lazy,raw,recycled_paper,Stray,allergy,"17,286",£12595,8475,£10772,13789,11808,15706,16577,9026,3891
2022-04-29,NaN,,HAIRLESS,Bi-Colour,GOLD,OVERDUE,no,NA, indoor ,catnip mouse, PLAYFUL ,dry,clumping,online,obesity,£15712," 7,935",18868,£6979," 4,424"," 9,079","17,960",7522,£9599,missing
"Jul 11, 2023",bengal,Black,short,pointed,odd-eyed,OVERDUE,no,mature,,catnip mouse,aggressive,NA,NA,Breeder,obesity,£2361,"16,579",2689,6876,11242,8349,£3036,16625,10135,7428
"Jan 26, 2022",,calico,hairless,solid,COPPER,OVERDUE,no,geriatric,both,FEATHER WAND,aggressive,-999,clumping,stray,none,8453,16304,£3083,17772,"16,715","11,939"," 2,345",9269,13828,8691
"Oct 07, 2023",MAINE COON,ORANGE,Hairless,tabby,gold,missing,yes,mature,OUTDOOR, feather wand ,shy,MIXED,NA,BREEDER, none ,4994,,£7599,£3791,4233,19548,£3658,£5050,   558,19933
27/05/2023,Bengal,white,missing,Bi-Colour, blue , not_required ,Yes,prime,Indoor,Feather Wand,shy,RAW,clumping,friend,none,£13539,16008,9052,15154,£18495,NA,£257,5925,1588,12383
2023-10-27,TABBY,WHITE,long,SPOTTED,gold,NaN,yes,junior,NaN,CATNIP MOUSE,friendly,raw,non-clumping,Shelter, allergy ,12411,18903,11097,3258,12235,£6299,£19797,11301,£16476,6406
,TABBY,calico, MEDIUM ,TABBY,Odd-Eyed,Up-To-Date,Yes,NaN,outdoor,BALL,,DRY,non-Clumping,Breeder,missing,NaN,,£8589,"16,781","14,314",12838,£3483,2856,16446," 5,156"
2022-07-14,bengal,Orange,Hairless,bi-colour,copper,NOT REQUIRED,no,Mature,Both,catnipMouse,shy,wet,CLUMPING, stray ,dental,19876,"17,518",6579,770,NA,"16,383",NA,17743,17458,12694
2023-11-26,Sphynx,Cream, hairless ,SPOTTED,-999, Not Required ,no,NaN,Both,ball,playful,-999,missing,shelter,arthritis,16191,,1859,5423,£7870,1722,£5178,£1903,7248,12327
22/10/2024,RAGDOLL,black,hairless,spotted,GOLD,unknown,no,kitten,missing,STRING,Lazy,dry,silica,-999,Obesity,£15315,missing,£1185,11508,"19,634",£826,47,£10000,"19,356","17,855"
07/11/2024,sphynx,tortoiseshell,medium,spotted,COPPER,NOT REQUIRED,no,prime, outdoor ,catnip_mouse, playful ,Dry,non-Clumping,BREEDER,allergy,8910,19415,NaN,-999,missing,1978,2720,"17,451",£2727,9430
30/08/2021,maine_coon,WHITE,medium,Pointed,Green,Overdue,no,JUNIOR,Outdoor,FEATHER WAND,-999,DRY,missing,stray,ALLERGY,9057,£15182," 4,251",18626,15720,£10630,8077,19864,1137,12374
"May 06, 2024",persian,missing,short, pointed ,NaN,NA,NO,mature,both,feather_wand,SHY,RAW,silica,missing, ALLERGY ,£9617," 2,762",£621,19844,£7339,9340,11138,    49,£9338,£6077
04/07/2024,Siamese,white,long,NaN,blue,Unknown,yes,kitten,indoor,catnipMouse,aggressive,DRY,clumping,shelter,NONE,6767,3917,£17312,19566," 4,822"," 4,409",6270,"11,754",15131,11178
"May 09, 2021",persian,Cream,LONG,bi-colour,Gold,NOT REQUIRED, No ,Junior,Indoor,laser pointer,shy,wet,silica,online,None,9412,£1883,14657,12813,£15136,£3843,18665,2439,£10581,4133
,persian,BLACK,,Pointed,blue,notRequired,YES,SENIOR,both,Ball,aggressive,Raw,NA,breeder,arthritis,4457,8465,£3712,15609,NaN,11370,7535,18837,£12137,£12959
