DATE,sport, surface ,competition_level, Gender Cat ,SEASON,weatherCond,Venue Type,team_name,coach, League /,equipment brand, scoringMethod ,Time Slot,official count,broadcast net, attendance ,ticket £?,Game Time Min/,Possession %, Fouls ,shots,pass_accuracy_%,Yards,ERRORS,sponsorship £k/
2023-09-11,-999, CLAY ,PRO,women,playoffs, dry ,Indoor,BEARS,,c-League,wilson,GOALS,Morning,3,NA,16261,9548,15143," 5,944",10868,£3800,£19439,1903,£693,4581
2021-10-28,Rugby,grass,pro,WOMEN,playoffs,snowy,outdoor,Lions,rookie,a-League,Adidas,NA,evening,2,missing,,6445,£12085,NaN,£12141,2296,15248,9854,18979,10241
12/05/2024,NA,Road,NaN,women, pre-season ,windy,outdoor,, interim ,B-League,wilson,sets,afternoon,2,BBC,"13,021",11439," 7,601",missing,11814," 6,367",£16214,£8310,£15215,£518
,FOOTBALL,Indoor,amateur,men,pre-season,-999,outdoor,eagles,veteran, c-league ,puma,Runs,evening,4,NA,10325,9533,missing,£17134,8780,£7817,18718,£4489,13240,10051
2023-11-21,RUGBY,Hardcourt,INTERNATIONAL,MEN,regular,snowy,indoor,bears,INTERIM,c-league,Wilson,goals,Afternoon,1,ESPN,"18,266",£10545,9765,£12275,6077,NA,"18,960",2831,19260,£3304
16/06/2023,football,indoor,international,mixed,regular,windy,outdoor, Lions ,interim,b-league,missing,goals, evening ,5,sky,£16097,11085,NA,"10,642"," 5,780",7072,19877,£4551,17066,16654
2023-03-26,rugby,SYNTHETIC,international,WOMEN,playoffs,Wet,indoor,eagles,missing,C-League,Puma,points,evening,-999,espn,£18993,17828,670,18472,8734,921,11814,-999,10628,2100
15/05/2022,running,grass,international,mixed, playoffs ,SNOWY,missing,wolves,rookie,B-League,Adidas,Sets,missing,3,espn,14682," 2,965",18880,"19,663",14222,11408,"14,581","13,445",667,7220
2022-03-26,football,indoor,,MIXED,Pre-Season,NA,INDOOR,tigers,ROOKIE,B-League,puma,Points,Afternoon,3,sky,11757,10580,1894,6726,"12,072",£19165,12950,"15,711",12670,12803
10/08/2024,Football,CLAY,semi-pro,women,regular,snowy,INDOOR,tigers,INTERIM,c-league,puma,sets,afternoon,1,espn," 2,724",2520,6632,10692,9826,,10062,£10293,"13,693",NA
27/10/2021,Running,Clay,NA,women,pre-season,windy,outdoor,-999,veteran,c-League,NA,sets,Night,3,sky,1473,2664,7446,4740,NaN,8006,£7755,15693,7067,£18687
2022-05-19,Basketball,Clay, pro ,mixed,regular,dry,indoor,Bears,interim,B-League, wilson ,NA, afternoon ,3,bbc,18202,13511,11244,16370,£19393,£6611,£11215,"10,498",8855,11736
2021-11-05,tennis,grass,Pro,men,Regular,WET,indoor,lions,interim,c-league,PUMA,points,evening,5,bbc,-999,8251,1373,-999,£19107,15055,,2781,17721,16124
22/07/2023,RUGBY, indoor ,international,men,regular,-999,outdoor,sharks,NA,C-LEAGUE,Nike,points,afternoon,5,sky,"16,310",13386,"17,222",£8679,13520,NA,17918,-999,678,8340
"Dec 07, 2021",rugby,clay,international,MIXED,regular,dry,indoor, bears ,VETERAN,B-League,puma, sets ,morning,-999,missing,18616,8405,17370,11476,13850,£11198," 1,192",missing,13295,"11,885"
2023-09-25,FOOTBALL,CLAY,PRO,women,REGULAR,wet,outdoor,BEARS,veteran,C-League,NaN,Runs,morning,1,Bbc,18789,19533,2217,7355,"10,199",1119,-999,-999,3555,11797
2021-06-28,tennis,hardcourt,NA,mixed,Pre-Season,Dry,NaN,WOLVES,interim,C-LEAGUE,WILSON,NA,afternoon,5,ESPN,4716,£11941,-999,11275,9027,14904,12321,15169,7488,7901
12/03/2024, basketball ,indoor,amateur,Women,PRE-SEASON,snowy,Outdoor,lions,rookie,a-league,wilson,goals,Morning,1,nbc,3104,NaN,-999,13428,19821," 9,249",17443,8437,17527," 9,068"
13/03/2021,running,synthetic,missing,women,REGULAR, HOT ,indoor,Sharks,VETERAN,a-league,NA,goals,night,5,Espn,1018,78,"13,153",9013,10255,16758,£1128,9399,missing,2049
2021-03-08,NA,NaN,Amateur,mixed,regular,WET,Indoor,EAGLES,interim,c-league,NIKE,SETS,NIGHT,1,sky,£13626,12120,3365,18344,,12212," 8,277",£18453,"16,851",£7528
19/11/2021,Cricket,clay,international,women,playoffs,WINDY, outdoor ,eagles,interim, A-LEAGUE ,Adidas,RUNS,evening,1,sky,-999,13862,15924,"17,013",4560,£10333,14531,NA,£3144," 9,130"
"Sep 03, 2023",basketball,clay,semi-pro,-999,PLAYOFFS,windy,outdoor,tigers, rookie ,c-League,Nike,POINTS, Morning ,,NA,19116,14268,10035,15495,"16,742",11743,12663,18239,15974,8467
03/10/2024,football,Grass,Pro,Men,playoffs,WINDY,Outdoor,missing,veteran,b-league,wilson,goals,evening,2,Nbc,5292,15813,"13,301","13,862",10991,5528,£12557,NA,£3352,17734
18/07/2024,basketball,grass,NA,WOMEN,pre-season,-999,outdoor,NaN,rookie,-999,adidas,GOALS, evening ,3,NBC," 5,826",8960," 7,823",£6665,607,11834,14331," 9,316",4815,£6781
"Jun 18, 2022",RUGBY,indoor,missing,Women,regular, windy ,Outdoor,missing,INTERIM,A-LEAGUE,missing,goals,afternoon,2,NBC,13144,£11134,£11731,4277,9535,4566,,£16680,18297,7545
"Oct 06, 2022",BASKETBALL,hardcourt, semi-pro , women ,Pre-Season,windy,outdoor,tigers,veteran,C-League,nike,RUNS, afternoon ,1,NA,,£13555,NA,14613,," 8,144",10851,19861,11296,2961
"Nov 03, 2023",rugby,indoor,international,WOMEN,playoffs,hot,indoor,wolves,missing,NA,missing,points,afternoon,,-999,18612,,£12202,7760,17074,18394,8342,£17548,3588,13193
17/02/2023,Cricket,Synthetic,Amateur,Men,REGULAR,SNOWY,outdoor,tigers,rookie,C-League,NaN,goals,-999,1,sky,£5397,£13573,NaN,missing,"18,859",£16518,19186,£7944,9106,£10895
09/06/2021, RUNNING ,synthetic,Semi-Pro,mixed,Regular,dry,Indoor,sharks,interim,c-League,adidas,runs,Night,1,nbc,"11,684"," 6,495",4656,£19515,6628," 1,409",16042,NA,4714,17503
-999,,Clay,NaN,MIXED,pre-Season,dry,indoor,lions,Interim,,puma, points ,Afternoon,4,bbc,£13972,"13,593",£13850,6557,£132,NaN,£12668,19225,19765,15887
"Nov 25, 2024",tennis,grass,Semi-Pro,WOMEN,PRE-SEASON,dry,outdoor,eagles,NaN,NA,puma,goals, MORNING ,NA,sky,4605,"17,293",7528,4366,missing,517,18285,2162,15134,17525
2022-02-19,BASKETBALL,synthetic, semi-Pro ,Mixed,NA,windy,INDOOR,NaN,INTERIM,NA,missing,goals,,5,nbc,5518,£12721,3948,4214,3181,6180,NA,-999,"13,639",16054
2022-04-20,Running,Road,Semi-Pro,mixed,pre-season, Wet ,indoor,lions,rookie,A-League,adidas,NA,night,1,NBC,9307," 8,239",NA,missing,13056,2765,14882,missing,11872,18933
2023-05-22,running,synthetic, SEMI-PRO ,men,NaN,windy,indoor,lions,missing,A-LEAGUE,PUMA,SETS,,4,espn,"18,358",11110,2521,5297,-999,17394,1496,7445,"11,780",£2761
2023-12-14,RUNNING,road,INTERNATIONAL,MIXED,pre-season,Hot,Indoor,SHARKS,-999,NaN, wilson ,sets,Afternoon,2,BBC,7314,13744,NaN," 9,691",NaN,11872," 6,889",missing,NaN,13105
2023-07-03,tennis,NA,semi-pro,MEN,PLAYOFFS,Wet,indoor,lions,interim, b-league ,nike,NaN,afternoon,2,espn,11681,13587,£11667,NA,95,15087,missing,"12,883",£5489,4334
04/11/2021,tennis,synthetic,International,mixed,playoffs,windy,indoor,Wolves,veteran,B-LEAGUE,puma,points,EVENING,3,NBC,12058,13001,16534,missing,,NaN,13230,3240,2561,16160
2023-05-30,running,synthetic,semi-pro,women,regular,Hot,OUTDOOR,Tigers,rookie,A-League,nike,runs,evening,3, bbc ,1933,13809," 2,124",3722,missing,,4947,missing,19311,£6568
28/08/2024,missing,-999,international,men,REGULAR,dry,Indoor,wolves,rookie,a-League,NA,POINTS,Night,2,Espn,,15223,14523,12191,13449,19605,,£17763,12772,7539
NA, rugby ,grass,Amateur,women,Regular,-999,outdoor,Bears,interim,C-League,PUMA,runs,,1,espn,missing,£10841,8224,5668,"13,462","17,384",£9271,"11,752",4169,6729
2024-12-01,rugby,-999,amateur,mixed,playoffs, snowy , indoor ,sharks,interim,a-league,wilson,-999,afternoon,4,ESPN,19194,19813,£19106,NaN,£15505,10716,1890,3146,3027,9464
2023-07-04,Running,synthetic,International,mixed,,hot,missing,lions,interim,C-League,nike,Points,afternoon, 5 ,nbc," 4,205",,-999,£8128,£3918,10814,"13,066",£18117,5215," 3,293"
2024-06-24,RUGBY,hardcourt,NA,men,playoffs,DRY,indoor,Bears, Veteran ,a-league,Wilson,goals,night,5,ESPN,,£6436," 4,152",11757,"16,426","10,986",12048,£17537,3178,"15,666"
26/06/2022,Running,Clay,amateur,mixed,,Snowy, indoor ,lions,rookie, A-LEAGUE ,ADIDAS,NA,-999,3,Espn,£3072,3047,10882,£284,"12,953",3102,£17619,"19,830",-999,£13674
"Jan 06, 2023",missing,indoor,international, men ,PLAYOFFS,NaN,indoor,wolves,veteran,c-league,PUMA,-999,evening,1, Nbc ,7351,18557,8075,6745,10903,1473,missing,£19207,£2709,£220
2023-07-01, Running ,SYNTHETIC,Amateur, women ,NaN,dry,indoor,wolves,ROOKIE,A-LEAGUE,Nike,RUNS,Night,missing,,," 4,298",£17798,missing,4798,"14,828",£16344,"12,935",£5617,1684
2024-03-05, RUGBY ,HARDCOURT,pro,-999,PLAYOFFS,snowy,-999,wolves,veteran,b-League,Wilson,runs,morning,NA,espn,8854," 9,973",15506,13694,19197,missing,8299,14737,17683,
14/12/2024,Tennis,road,SEMI-PRO,WOMEN,PLAYOFFS,wet,INDOOR,sharks,interim,a-League,Adidas,runs,evening, 4 ,nbc,missing,4951,5075,7186,,-999,5965,6477,missing," 5,487"
01/06/2023,running,synthetic,amateur,Men,-999,wet,indoor,lions,Rookie,c-League,Nike,Goals,morning,2,missing,1417,17850,18450,15717,4594,£14345,12470,,3834,13657
,tennis,grass,amateur,men,Pre-Season,WET,indoor, LIONS ,rookie,a-league,wilson,runs,night,3,NBC,£6885,£11756,17424,missing,17227,missing,12976,£7067,10076,£2362
17/06/2023,running,indoor,International, WOMEN ,playoffs,wet,indoor,lions,veteran,c-league, puma ,points,afternoon,,,18315,"13,132",£12547,19148,16562,5058,2452,7690,8684,19958
12/12/2022, rugby ,clay,pro,mixed,pre-Season,NA,outdoor,wolves,INTERIM,a-league,adidas, Runs ,, 3 ,bbc,£1263,4852,1511,14359,13426,7057,13092,£2761,£7490,2621
23/04/2021,football,Indoor,INTERNATIONAL,mixed,missing,WET,outdoor,NA,interim,c-league,NIKE,sets,evening,2,Bbc,12755,8750,12520,433,10839,£5119,17737,"18,316",12504,16995
06/09/2022,cricket,synthetic,INTERNATIONAL,men,missing,Hot,outdoor, sharks ,veteran,b-league,wilson,runs,evening,5,NaN,missing,£819,11623,13054,7404,£14260," 3,884"," 2,775",,18714
30/10/2024,basketball, clay ,semi-pro,mixed,regular,snowy,INDOOR,SHARKS,ROOKIE,B-LEAGUE,Adidas,sets,afternoon,5,nbc,3683,,£13271," 4,439"," 5,175",6427,12554,-999,7477,12260
,RUNNING,hardcourt, international ,mixed,NaN,snowy,OUTDOOR,wolves,NA,A-LEAGUE,ADIDAS,GOALS,afternoon,5,espn,5301,£131,11148," 3,190",-999,19148,777,4612,2705,NA
20/07/2022,Football,Synthetic,amateur,mixed, Playoffs ,Snowy,Outdoor,tigers,interim,A-League,adidas,RUNS,-999,4,sky,16464,£9853,"14,059",missing,£14871,18591,1327,£18012,£7028,19080
2024-09-06, Basketball ,missing, semi-pro ,MEN,PRE-SEASON,dry,INDOOR,TIGERS, veteran ,B-League,Nike,RUNS,morning,2,espn,"14,363",12327,17805,10800,£7837,£1816,,8917,12425,"19,053"
NaN,tennis,INDOOR,international,men,REGULAR,snowy,outdoor,eagles,interim,b-league,Nike, Goals ,evening,4,espn,19709,£8565,NaN,£14808," 7,802",25," 1,470",£714,17615,2843
13/04/2022,-999,CLAY,International,MIXED,pre-Season,DRY,Indoor,bears,veteran,B-LEAGUE,ADIDAS,Runs,night,2,NBC,"15,650",18674,9625,8947,£13626,13883,11838,NaN,11194,15069
"Sep 19, 2022",football,hardcourt,International,NaN,,WET,NA,wolves,interim,B-League,PUMA,points,NIGHT,,,£15258,missing,8731,13125,17490,£13572,6424,£3461,£14604,910
21/02/2024,running,synthetic,INTERNATIONAL,women,Regular,hot,indoor,NaN,interim,c-league,puma,Points,morning,2,Nbc,15217,13140,14034,"10,211",,3606,17743,£6708,£14783,12464
2022-10-13,running,synthetic,Pro,Mixed, Regular ,dry,Indoor,bears,VETERAN,a-league,WILSON,goals,morning, 1 ,bbc,-999,8067,,"11,585",11628," 3,793",NA,£13174,missing,11468
"May 13, 2021",RUGBY,clay,Amateur,women,Pre-Season,snowy, indoor ,-999,rookie,b-league,NaN,Points,missing,2,NaN,"14,543",3673,13851,,NaN,9711,10949,NaN,3199,7942
2022-05-21,Basketball,road,PRO, women ,regular,dry,Indoor,,veteran,c-league,NaN,goals,AFTERNOON,5,nbc,NaN,4380,-999,7261,-999,4371,16609,"18,969",14188,NaN
"Sep 27, 2023",tennis,road,SEMI-PRO,men,Playoffs,windy,Outdoor,tigers,veteran,a-league,WILSON,sets,morning,5,Espn,2355,,"15,929",£6166,12708,£16642,9235,12840,3216,-999
NA,BASKETBALL,,international,women,pre-Season,missing,outdoor,tigers,rookie,a-league,NIKE,SETS,afternoon,3,espn,1251,£2931,17756,9019,9617,4045,18263,11717,£3429,-999
2022-12-28,running,synthetic,NA,Mixed,Playoffs,snowy,outdoor,Lions,,a-League, nike , goals ,morning,1,NA,17719," 9,312","14,854",,14793,NA,10720,£1638,£18707,"19,113"
-999,tennis,Road,NaN,women,Regular,snowy,OUTDOOR,SHARKS,rookie,c-league,Adidas,SETS,missing,3,-999,539,£10527,1997,13196,10972,£17382,14809,4638,missing,3772
2023-04-13,Basketball,road,Amateur,men,PLAYOFFS,Wet, indoor ,wolves,VETERAN,a-League,NIKE,runs,morning,missing, Bbc ,NA," 9,248",,"11,285",7348,19023,4660,14609,£3801,11124
12/06/2024,cricket,road,pro,Women,playoffs,wet, outdoor ,tigers,rookie,A-League,adidas,sets,Morning,5,sky,5926,£16038,19069,15073,15391,19221,3507,5156,16121,11811
19/06/2021,running,GRASS,Amateur,Mixed,,wet,INDOOR,Lions,Veteran,b-League,nike,runs,,3,Espn,19881,4624,"17,060",12420,18039,10724,18434,14499,£7960,19032
-999,cricket,hardcourt,INTERNATIONAL,missing,pre-Season,windy,INDOOR,,ROOKIE,NaN,nike,goals,Morning,5,nbc,12209,8562,"12,059",14331," 4,799",14168,"13,327",3997,11465,"18,754"
18/03/2023,running,road,semi-Pro,MIXED,pre-season,Snowy,OUTDOOR,tigers,interim, B-League ,wilson,runs,Evening,1,nbc,13610,9132,19341,£17243,    99,"11,698",7319,2495,"14,638",   142
17/06/2021,running,Synthetic,NA,Mixed,Playoffs,windy,indoor, sharks ,ROOKIE,c-league,puma,NaN,Morning,3,bbc,10558,"10,725",13754,11301,11152," 6,423","16,470",14822," 3,119",6243
10/05/2023, football ,grass,,men, playoffs ,WINDY,outdoor,TIGERS,ROOKIE,B-LEAGUE,Adidas,Points,afternoon,4,Nbc,2038,2793,19542,439," 9,124",2973,10731,8437,,17329
07/03/2023,rugby,NaN,semi-Pro,MIXED,playoffs,, indoor ,WOLVES,ROOKIE,a-league,Wilson,,afternoon,5,NaN,18227,9499,£6045," 7,062","11,234",-999,-999,12413,5049,12296
"Jan 25, 2021",football,,international, Men ,missing,Wet,INDOOR,lions,NaN,c-league,Adidas,runs,-999,5,espn,£19665,NA,£4318,£12606,1923,9424,3169,11075,6339,19473
15/09/2022, Running ,grass,amateur,Women,regular,-999,indoor,Eagles,NaN,-999,Nike,NA,evening,5,espn,14356,£15011,NaN,9700,17636,£6979,6070,£3566,16094,4871
11/07/2023,football,synthetic,amateur,women,regular,Wet,NA,sharks,-999,B-LEAGUE,Nike,RUNS,evening,,NaN,£14797," 7,738",7979,16898,NaN,£18097," 4,689",,15239,12906
"Apr 26, 2022", rugby ,ROAD,missing,WOMEN,missing,NaN,outdoor,wolves,veteran,c-league,Puma,Points,MORNING,4,-999," 1,098",9957,"13,498",15088,1488,425,12406,16372,missing," 5,609"
13/07/2023,Basketball,CLAY, AMATEUR ,MIXED,Pre-Season,Dry,outdoor,tigers,interim,b-league,Nike,SETS,EVENING,4,nbc,206,12891,5492,12819,£17860,£17438,990,3023,£9785,12479
2024-09-11,RUNNING,clay,amateur,WOMEN,pre-season, DRY ,missing,sharks, rookie ,b-League,,Goals,evening, 4 ,,"13,757",£9474,£6401,"13,018",9505," 1,910",9040,1922,,6592
28/02/2024,Rugby,indoor, SEMI-PRO ,NaN,regular, snowy ,Outdoor,Lions,Interim,A-League,wilson, Points ,MORNING,3,sky,18632,16862,£4869,3528,12277,missing,4017,NaN,4268,£18495
10/05/2024,rugby,road,AMATEUR,men,pre-Season,Hot,indoor,tigers,rookie,-999,puma,POINTS,evening,4,bbc,16981,,6773,£10867,19749,9473,missing,NaN,"12,663",9854
2021-05-15,BASKETBALL,road,semi-Pro,men,PRE-SEASON,Snowy,Indoor,EAGLES,interim,B-League,ADIDAS,POINTS,MORNING,5,Sky,6981,6428,2651,13442,2369,14199,16513,£134,£1473,2139
28/04/2021,Rugby,Indoor, pro ,missing,PLAYOFFS,NaN,outdoor,LIONS,veteran,C-League,Nike,RUNS,NaN,1, nbc ,-999,NA,13035,15470,3357,-999,,6655,"10,429",9958
04/08/2024,tennis,CLAY,SEMI-PRO,Men,NaN,wet,INDOOR, tigers ,interim,a-League,nike,sets,-999,5, SKY ,16813,13942,"11,331",£6019,,4920,missing,3392,"12,787",19704
2021-07-15,basketball,clay, semi-Pro ,men,playoffs,NaN, OUTDOOR ,Wolves,rookie,C-LEAGUE,WILSON,missing,AFTERNOON,4,espn,8248,3163,3962,12185,£17855,£491,£10507,8076,£19011,missing
2023-05-09,basketball,CLAY,amateur,NA,-999,hot,Indoor,sharks,rookie,B-League,Wilson,POINTS,morning,4,espn,£11946,-999,11923,£3438,-999,18067,£10221,8609," 2,267",NA
15/12/2021,RUGBY,Grass,NaN,WOMEN,pre-season,Dry,,EAGLES,interim,c-league,Puma,points,NIGHT,4, bbc ,£2232,16491,,8582,2547,10162,916,£11717,£11064,3382
"Dec 21, 2023",,grass,-999,men,playoffs,windy,indoor,TIGERS,ROOKIE,NaN,WILSON,points,night,4,bbc,"15,189","11,173",1483,10974,17510,1401,5752,£16171,£5388,-999
29/05/2023,NaN,Grass,Amateur,MEN,Pre-Season, windy ,indoor,eagles,VETERAN,c-league,Nike, points ,MORNING,3,espn,2121,£6576,13351,£1100,£4906,£11351," 4,874",17136,NA,NA
2021-08-28,running,NA, international ,WOMEN,Playoffs,NA,OUTDOOR,sharks,Veteran,B-League,puma,runs,morning,4,sky,18870,1207,£13510,14570,16486,18145,11082,£7362,18878,1377
04/08/2021,cricket,indoor, PRO ,men,regular,Windy,indoor,, ROOKIE ,a-league, PUMA ,Sets,morning,5,Sky,"16,688",9063,9044,387,9536,£4218,9962,£10149,£7084,£855
03/11/2024,tennis, SYNTHETIC ,semi-Pro,NA,Pre-Season,snowy,INDOOR,NA,veteran,NA,,points,MORNING,1,-999,15053,-999,"10,753",7474,16648,19999,10130,NA,NaN,6027
2023-10-06,Football,CLAY, INTERNATIONAL , women ,missing,WET,indoor,-999,rookie,c-league,nike,runs,night,5,Sky,18889,"14,043",800,"13,094",5889,15672,£6147,£6515,£2654," 9,912"
09/02/2024,rugby, indoor ,amateur,WOMEN,Playoffs,Wet,,tigers,veteran,missing,ADIDAS,-999,MORNING, 2 ,Bbc,10871,19361,NaN,19982," 6,172",14679,missing,908," 2,055",15052
"Sep 07, 2023",running,road,international,MEN,NA,hot,NA,WOLVES,rookie,c-League,puma,Runs,evening,NA,Bbc,NaN," 7,660",9042,-999,£6589,4703,12643,"15,912",17959,"11,049"
missing,RUNNING,,amateur,-999,Pre-Season,Wet, outdoor ,Bears,rookie,b-league,Nike,Goals,missing,5,NBC,"10,189",£573,"12,443",NaN,15054,£15100,"12,287",NA,NA,8818
23/04/2021,rugby,road,,Mixed,playoffs,WINDY,outdoor,lions,veteran,C-LEAGUE,Adidas,sets,evening,1,nbc,"12,672",NA,16468,10220,12227,"10,981",£446,18850,1854,1759
2022-10-25,-999,INDOOR,amateur,WOMEN,Regular,HOT,outdoor,bears, interim ,b-league,-999,missing,Night,3,-999,12024,15699,£9125,7659,3871,"14,884",16403,11118,13705,10141
2021-11-06,FOOTBALL,hardcourt,INTERNATIONAL,women,playoffs,windy,outdoor,WOLVES,ROOKIE,b-League,nike,runs,-999,3, Bbc ,£12331,224,"17,399",11730,£10136,8540," 8,883",10610,missing,14928
NaN,RUNNING,Grass,pro,MIXED,,,outdoor,Bears,interim,b-league,wilson,Goals, EVENING ,4,espn,NA,7274,12796,£5484,NA,£6578,12270,19359,15288,17753
2021-01-28,RUNNING, synthetic ,missing,mixed,Regular,wet,outdoor,tigers,NA,B-League,adidas,goals, night ,,espn,-999,19605,18845,6333,£19874,10511,11426,17606,"12,562",17013
"May 31, 2023",TENNIS,indoor,AMATEUR,WOMEN,regular,SNOWY,indoor,WOLVES,veteran,NA,puma,-999,afternoon,2,missing,£13657,4299,£4734,13727,17318,19717,17731,NA,7711,NA
12/09/2021,rugby,Clay,international,men,Pre-Season,Windy,outdoor,Sharks, interim ,a-league,puma,NA, morning , 5 ,bbc," 9,008",1248,9500,13125,"19,104",£18333,-999,"15,305",694,13940
19/12/2023,cricket,Road,international,Men,missing,windy,missing,bears,,C-LEAGUE, nike ,goals,Night,3,espn,5510,17733,5820,£18756,14062,775,18803,11292,£14470,19442
23/09/2022,basketball,clay, semi-pro ,mixed, regular ,Snowy,Outdoor,lions,interim,b-league,wilson,-999,Night,2,nbc," 9,239",12307,-999," 2,431",£12350,£7811,NA,4092,19502,missing
27/01/2024,football,road, pro ,men,Playoffs,NA,NaN,BEARS,veteran,a-League,wilson,sets,-999,2,espn,1951,19978,17681,17940,9415,14170,449,£5660,1962,13311
09/01/2023,missing,clay,semi-pro,Mixed,playoffs, wet ,,tigers,Interim,a-league,adidas, Sets ,night,4,NA,-999,13084,11427,10190," 2,085",£9376,-999,18395,1214,£10660
2024-05-18,Running,-999,PRO,MIXED,PLAYOFFS,snowy,INDOOR,wolves,interim, b-League ,adidas,GOALS,Night, 1 , Nbc ,5131," 9,287",440,12251,2294,"14,061",14437,missing,£17,
2021-02-03,running,HARDCOURT, PRO ,MEN,playoffs,windy,-999,missing,Interim,a-league,wilson,points,NA,5,espn,13380,"14,913",£2543," 6,854",9538,NaN," 3,037",NaN,7265,£18234
2023-09-27,missing,CLAY,amateur,mixed,regular,windy,outdoor,EAGLES,INTERIM,B-LEAGUE, ADIDAS ,points,evening,3,Nbc,"17,984",5514,10980,£15942,2254,4326,14944,6509,11458,5747
04/03/2022,Football,grass,semi-pro,MEN,regular, hot ,indoor,Eagles,Rookie,c-league, nike ,goals,morning, 3 ,,17631,£8641,16794,5660,1147,£10264,-999,£4173,7259,19960
2022-07-29,basketball,Synthetic,PRO,women,regular,hot,Outdoor,sharks,interim,B-League,puma,NA, morning ,5,Bbc,£15841,£1033,-999," 5,680","10,760",18126,£685,16386,14271,-999
"Dec 13, 2021",missing,HARDCOURT,international,men,pre-Season,snowy,Indoor,wolves,NA,C-LEAGUE,wilson,Goals, Morning ,3, ESPN ,18448,18472,£9997,£12131,NA,£11214,18930,13671,4949,10039
02/04/2022,Tennis,INDOOR,PRO,mixed,regular,,outdoor, TIGERS ,interim,,NIKE,sets,afternoon,4,ESPN,10802,missing,1851,14167,£11001,12993,16344," 2,784","14,814",9252
20/06/2021,NA,ROAD,Amateur,MIXED,missing,DRY,INDOOR,lions,veteran,A-League,nike,sets,morning,4,ESPN,missing,12658,£16063," 1,899",£7393,2444,9353,4205,12337,6478
13/09/2022,running,clay,semi-pro,mixed,PRE-SEASON,snowy,Outdoor,Lions,ROOKIE,NaN,adidas,goals,EVENING, 4 ,espn," 8,406",£9397,£5660,"13,544",3107,1172,£7033,10052," 8,820",11883
18/09/2024,basketball,road,pro,Mixed,regular,hot, outdoor ,,VETERAN,a-League,nike,NaN,evening,2,bbc,missing,2516,13484,19790,12282,15673,19919,14545,£6242,4550
2023-04-02,running,Hardcourt,INTERNATIONAL,mixed,Regular,snowy,INDOOR,eagles,missing,c-League,puma,points,morning,2, NBC ,18463,9342,7534,missing,,9171,2521,14212,7540,4216
2021-09-24,-999,indoor,semi-pro,Men,regular,Snowy,outdoor,WOLVES, ROOKIE ,C-League,PUMA,runs,morning,4,nbc,,-999,£15790,16743,2003,10276,6159,NaN,14938,NaN
02/11/2024,NaN,Synthetic,international,men, Regular ,hot,, wolves ,veteran, B-LEAGUE ,Nike,RUNS, AFTERNOON ,3,espn,"10,719","11,900",3872,NaN,17531,,-999,£3239,12112,16452
23/09/2023,cricket,missing,pro,NA,Pre-Season,windy,NA,bears,interim,NA,adidas,runs,AFTERNOON,5,sky,4916,8617,15861,£13032,5991,19016,NA,13752," 3,500",14639
2024-03-14,RUGBY,CLAY,international, mixed ,Regular,wet,Indoor,wolves,Interim,C-LEAGUE,Nike,POINTS,night, 1 , nbc ,£12281,-999,14368,£4612,3728,£19490,7429,1304,-999," 3,772"
2022-05-25,Running,grass,AMATEUR,Mixed,Playoffs,Snowy,outdoor,tigers,VETERAN,b-League,adidas,-999,Evening,2,nbc,£19762,£18903,75,£3645,£14901,14632,missing,14419,£806,NaN
2022-02-11,,-999,Semi-Pro,mixed,pre-Season,wet,indoor,lions,-999,b-League,wilson,sets,NA,-999, bbc ,£6978,7989,19310,14041,9847,£19086,9310,11805,7991,10472
2021-01-23,football,synthetic,INTERNATIONAL,mixed,-999, Windy ,,Bears,Interim,a-League,puma,missing, AFTERNOON ,3,Sky,NA,£17010,9702,missing,2495,3915,17737,£2817,5684,17004
12/08/2023,basketball,Grass,pro,Mixed,pre-Season,snowy, INDOOR ,EAGLES,interim,C-League,puma,runs,evening,3,bbc,14493," 2,139",3482," 5,884",-999,348,11731,14178," 5,561",£5776
2021-07-01,Rugby,ROAD,,women,playoffs,hot,Indoor,lions,veteran,C-League, Wilson ,GOALS,Morning,,sky,-999,16545,16881,"18,680",9843,-999,3192," 6,200",1492,4035
2024-12-27,Cricket,SYNTHETIC,amateur,men,Pre-Season, HOT ,-999,eagles,interim,NA,wilson,goals,night,missing,sky,,15075,17518,2468," 6,876",£6018,10837,1094,NaN,£13669
25/12/2023,rugby, clay ,semi-pro,men,playoffs,NaN,INDOOR,bears,rookie, a-league ,adidas,runs,AFTERNOON,1,espn,17593,-999,8389,£7668,missing,18217,NaN,£2685,£10389,17909
13/02/2021,cricket,hardcourt,pro,women, regular ,hot,NA,eagles,veteran,a-league,adidas, points ,afternoon,4, bbc ,19456,missing,17567,778,£6144,,NaN,10142,12586,-999
2024-06-10,NA,SYNTHETIC,international,Men,PRE-SEASON,,outdoor,LIONS,interim,b-league,wilson,Runs, night ,3,BBC,£15196,18836,missing,17348,7420,,£12547,"10,889",8714,10721
2023-06-23,cricket,Clay,SEMI-PRO,MIXED,Pre-Season,Dry,OUTDOOR,eagles,VETERAN,a-league,puma,SETS,night, 3 ,NBC,£8361,14962,1906,12246,16006,"12,820",£15233,1961," 7,322",12110
24/04/2024,Tennis,grass,INTERNATIONAL,,regular,windy,INDOOR,tigers,ROOKIE,B-League,WILSON,points,NIGHT,1,Espn,5441,,15050,NA," 5,236",£7511,18961,5204,12054,£15986
